"id";"name_pt";"name_en";"code";"name_ascii_pt"
82;"granada";"grenada";"GRB";"granada"
205;"ilha santa helena";"saint helena";"SHN";"ilha santa helena"
204;"samoa ocidental";"samoa";"SAM";"samoa ocidental"
126;"irã";"iran";"IRA";"ira"
208;"são cristóvão e neves";"saint kitts and nevis";"KNA";"sao cristovao e neves"
209;"são marino";"san marino";"SMR";"sao marino"
210;"são pedro e miquelão";"saint pierre and miquelon";"SPM";"sao pedro e miquelao"
213;"seicheles";"seychelles";"SYC";"seicheles"
214;"senegal";"senegal";"SEN";"senegal"
203;"el salvador";"el salvador";"ELS";"el salvador"
215;"serra leoa";"sierra leone";"SRL";"serra leoa"
218;"síria";"syria";"SIR";"siria"
219;"somália";"somalia";"SOM";"somalia"
220;"sri lanca";"sri lanka";"SRI";"sri lanca"
221;"suazilândia";"swaziland";"SUA";"suazilandia"
222;"sudão";"sudan";"SUD";"sudao"
223;"suécia";"sweden";"SUE";"suecia"
224;"suíça";"switzerland";"SUI";"suica"
229;"tajiquistão";"tajikistan";"TAD";"tajiquistao"
225;"suriname";"suriname";"SUR";"suriname"
165;"moçambique";"mozambique";"MBQ";"mocambique"
230;"tanzânia";"tanzania";"TAN";"tanzania"
234;"togo";"togo";"TGO";"togo"
235;"tokelau";"tokelau";"TKL";"tokelau"
236;"tonga";"tonga";"TON";"tonga"
238;"tunísia";"tunisia";"TUN";"tunisia"
240;"turquemenistão";"turkmenistan";"TUC";"turquemenistao"
241;"turquia";"turkey";"TUR";"turquia"
242;"tuvalu";"tuvalu";"TUV";"tuvalu"
243;"ucrânia";"ukraine";"UCR";"ucrania"
244;"uganda";"uganda";"UGA";"uganda"
252;"zimbabue";"zimbabwe";"ZIN";"zimbabue"
245;"uruguai";"uruguay";"URU";"uruguai"
246;"usbequistão";"uzbekistan";"UZB";"usbequistao"
249;"vietnã";"vietnam";"VTN";"vietna"
248;"venezuela";"venezuela";"VEN";"venezuela"
251;"zâmbia";"zambia";"ZAN";"zambia"
140;"laos";"laos";"LAO";"laos"
151;"madagáscar";"madagascar";"MAD";"madagascar"
3;"áfrica do sul";"south africa";"AFS";"africa do sul"
29;"bielo rússia";"belarus";"BEA";"bielo russia"
141;"lesoto";"lesotho";"LES";"lesoto"
63;"emirados árabes unidos";"united arab emirates";"EAU";"emirados arabes unidos"
92;"guiné equatorial";"equatorial guinea";"GNQ";"guine equatorial"
253;"vaticano";"vatican";"VAT";"vaticano"
96;"hong kong";"hong kong";"HKG";"hong kong"
174;"nicarágua";"nicaragua";"NIC";"nicaragua"
186;"papua nova guiné";"papua new guinea";"PNG";"papua nova guine"
260;"aruba";"aruba";"ABW";"aruba"
217;"cingapura";"singapore";"CIN";"cingapura"
267;"escócia";"scotland";"ESC";"escocia"
271;"holanda";"netherlands";"HOL";"holanda"
277;"ilhas midway";"midway island";"MID";"ilhas midway"
279;"ilhas nortfolk";"norfolk island";"NFK";"ilhas nortfolk"
290;"ilhas wake";"wake island";"WAK";"ilhas wake"
291;"ilhas wallis futuna";"wallis futuna island";"WLF";"ilhas wallis futuna"
261;"antartida";"antarctica";"ATC";"antartida"
262;"birmânia";"myanmar";"BIR";"birmania"
266;"dijibuti";"dijibuti";"DJI";"dijibuti"
278;"formosa";"formosa";"FOR";"formosa"
269;"gales";"wales";"GAL";"gales"
272;"iémen do sul";"south yemen";"IMS";"iemen do sul"
274;"irlanda do norte";"northern ireland";"IRN";"irlanda do norte"
275;"iugoslávia";"yugoslavia";"IUG";"iugoslavia"
281;"pafic island";"pafic island";"PCI";"pafic island"
282;"pitcairn";"pitcairn";"PCN";"pitcairn"
284;"reunião";"reunião";"REU";"reuniao"
255;"união soviética";"soviet union";"URS";"uniao sovietica"
273;"inglaterra";"united kingdom";"ING";"inglaterra"
254;"vanuatu";"vanuatu";"VUT";"vanuatu"
11;"antilhas holandesas";"netherlands antilles";"AHL";"antilhas holandesas"
180;"nova zelândia";"new zealand";"NZL";"nova zelandia"
27;"benim";"benin";"BEN";"benim"
34;"brunei darussalam";"brunei darussalam";"BRN";"brunei darussalam"
55;"coreia do sul";"korea south";"CRS";"coreia do sul"
84;"groelândia";"greenland";"GRL";"groelandia"
45;"república centro africana ";"central african republic";"RCA";"republica centro africana "
132;"jamaica";"jamaica";"JAM";"jamaica"
145;"líbia";"libyan arab jamahiriya";"LIB";"libia"
160;"mauritânia";"mauritania";"MTN";"mauritania"
187;"paquistão";"pakistan";"PAQ";"paquistao"
169;"montenegro";"montenegro";"MNE";"montenegro"
181;"omã";"oman";"OMA";"oma"
183;"palau";"palau";"PLU";"palau"
1;"afeganistão";"afghanistan";"AFG";"afeganistao"
185;"panamá";"panama";"PAN";"panama"
189;"peru";"peru";"PER";"peru"
188;"paraguai";"paraguay";"PRG";"paraguai"
206;"santa lúcia";"saint lucia";"LCA";"santa lucia"
211;"são tomé e príncipe";"sao tome and principe";"STP";"sao tome e principe"
227;"tailândia";"thailand";"TAI";"tailandia"
237;"trindade e tobago";"trinidad and tobago";"TRT";"trindade e tobago"
31;"bósnia e herzegovina";"bosnia and herzegovina";"BOS";"bosnia e herzegovina"
231;"território britânico do oceano índico";"british indian ocean territory";"IOT";"territorio britanico do oceano indico"
289;"ilhas turcas caicos";"turcas caicos island";"TCA";"ilhas turcas caicos"
69;"estados unidos";"united states";"EUA";"estados unidos"
179;"nova caledónia";"new caledonia";"NCL";"nova caledonia"
