"names";"parana";"santa catarina";"sao paulo";"rio de janeiro";"goias";"pernambuco";"rio grande do sul";"minas gerais";"rio grande do norte";"maranhao";"paraiba";"amazonas";"federal district";"mato grosso";"bahia";"ceara";"espirito santo";"para";"mato grosso do sul";"tocantins";"piaui";"acre";"alagoas";"sergipe";"rondonia";"roraima";"amapa"
"parana";"116";"13";"106";"10";"1";"0";"0";"4";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"santa catarina";"3";"163";"40";"7";"0";"1";"12";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"sao paulo";"14";"21";"2626";"42";"1";"7";"20";"34";"2";"0";"3";"2";"11";"0";"7";"5";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"rio de janeiro";"22";"10";"140";"713";"0";"1";"12";"9";"1";"0";"2";"1";"2";"1";"2";"3";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"goias";"1";"0";"26";"4";"1";"0";"1";"2";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"pernambuco";"3";"1";"48";"6";"0";"87";"2";"10";"0";"0";"2";"1";"3";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"rio grande do sul";"10";"22";"92";"19";"0";"2";"388";"14";"2";"0";"0";"2";"7";"0";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"minas gerais";"15";"4";"144";"44";"1";"0";"8";"353";"1";"0";"1";"0";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"rio grande do norte";"0";"1";"16";"1";"0";"3";"0";"0";"18";"0";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"maranhao";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"paraiba";"0";"7";"41";"6";"0";"7";"4";"1";"5";"0";"37";"0";"1";"0";"1";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"amazonas";"0";"0";"6";"1";"0";"0";"0";"2";"1";"0";"0";"9";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"federal district";"1";"1";"33";"9";"0";"0";"2";"2";"0";"0";"1";"0";"67";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"mato grosso";"0";"0";"12";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"bahia";"1";"0";"25";"6";"0";"0";"2";"4";"1";"0";"0";"0";"1";"0";"32";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ceara";"2";"2";"28";"2";"0";"7";"1";"3";"3";"0";"0";"0";"2";"0";"1";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"espirito santo";"0";"0";"9";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"para";"2";"0";"16";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"3";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"mato grosso do sul";"2";"0";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"tocantins";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"piaui";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"acre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"alagoas";"0";"0";"3";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0"
"sergipe";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"rondonia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"roraima";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"amapa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
""
