"names";"parana";"santa catarina";"sao paulo";"rio de janeiro";"goias";"pernambuco";"rio grande do sul";"minas gerais";"rio grande do norte";"maranhao";"paraiba";"amazonas";"federal district";"mato grosso";"bahia";"ceara";"espirito santo";"para";"mato grosso do sul";"tocantins";"piaui";"acre";"alagoas";"sergipe";"rondonia";"roraima";"amapa"
"parana";"390";"13";"132";"15";"1";"5";"20";"8";"2";"0";"1";"1";"2";"1";"0";"1";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"santa catarina";"22";"299";"66";"28";"2";"2";"33";"12";"1";"0";"1";"0";"6";"0";"7";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"sao paulo";"36";"12";"3377";"59";"7";"11";"24";"50";"7";"0";"2";"5";"21";"0";"16";"11";"2";"9";"5";"0";"0";"0";"2";"0";"1";"0";"0"
"rio de janeiro";"32";"5";"119";"1143";"1";"4";"16";"33";"4";"1";"2";"1";"13";"0";"6";"4";"4";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"goias";"1";"1";"22";"6";"89";"0";"1";"4";"0";"0";"0";"0";"20";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"pernambuco";"1";"2";"39";"21";"1";"305";"5";"4";"7";"0";"15";"3";"3";"0";"9";"7";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0"
"rio grande do sul";"19";"32";"81";"24";"2";"5";"928";"16";"3";"0";"1";"1";"4";"1";"6";"1";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"minas gerais";"11";"2";"171";"50";"9";"7";"17";"916";"2";"1";"6";"3";"18";"1";"7";"1";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"rio grande do norte";"0";"0";"19";"4";"2";"4";"0";"1";"101";"0";"4";"1";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"maranhao";"0";"1";"18";"3";"0";"3";"0";"3";"1";"5";"5";"0";"2";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"paraiba";"2";"4";"30";"5";"0";"28";"5";"6";"9";"1";"186";"1";"4";"0";"4";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"amazonas";"1";"2";"15";"2";"0";"0";"2";"4";"0";"0";"1";"43";"4";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"federal district";"2";"4";"36";"9";"9";"0";"7";"7";"4";"0";"1";"0";"189";"0";"2";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"mato grosso";"1";"1";"16";"3";"1";"0";"4";"1";"0";"0";"2";"0";"4";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"bahia";"2";"1";"30";"7";"0";"8";"5";"7";"3";"0";"5";"0";"2";"0";"170";"2";"2";"3";"0";"0";"0";"0";"1";"4";"0";"0";"0"
"ceara";"1";"5";"26";"7";"0";"10";"3";"4";"6";"0";"6";"3";"5";"0";"3";"233";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"espirito santo";"1";"0";"10";"5";"0";"0";"2";"7";"0";"0";"0";"0";"1";"0";"2";"0";"36";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"para";"1";"0";"15";"19";"0";"2";"4";"4";"1";"0";"0";"1";"2";"0";"3";"0";"0";"106";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"mato grosso do sul";"5";"2";"25";"3";"2";"2";"4";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0"
"tocantins";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"piaui";"0";"0";"6";"3";"0";"1";"1";"0";"9";"1";"1";"0";"0";"0";"1";"5";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0"
"acre";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"alagoas";"0";"0";"4";"2";"0";"8";"0";"1";"0";"0";"5";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"23";"0";"0";"0";"0"
"sergipe";"2";"0";"7";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0"
"rondonia";"0";"0";"3";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"roraima";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"amapa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
""
