id,oX,oY,dX,dY,trips
2,-25.428,-49.273,-23.548,-46.636,24
3,-25.428,-49.273,-29.76,-51.147,1
4,-25.428,-49.273,42.60003,-5.57032,1
5,-25.428,-49.273,-22.883,-43.104,1
6,-25.428,-49.273,-22.903,-43.208,12
8,-25.428,-49.273,-22.018,-47.891,5
9,-25.428,-49.273,-8.054,-34.881,1
10,-25.428,-49.273,-22.906,-47.061,7
11,-25.428,-49.273,51.45625,-0.97113,1
12,-25.428,-49.273,-27.597,-48.549,17
15,-25.428,-49.273,-23.463,-46.533,2
16,-25.428,-49.273,-30.033,-51.23,2
17,-25.428,-49.273,-19.817,-43.956,2
18,-25.428,-49.273,-22.315,-49.061,4
20,-25.428,-49.273,-23.425,-51.939,3
22,-25.428,-49.273,-5.795,-35.209,1
24,-25.428,-49.273,-21.764,-43.35,1
29,-25.428,-49.273,-7.115,-34.863,1
32,-25.428,-49.273,-23.31,-51.163,1
33,-25.428,-49.273,-12.971,-38.511,1
34,-25.428,-49.273,-15.78,-47.93,4
38,-25.428,-49.273,-29.684,-53.807,2
52,-25.428,-49.273,-20.754,-42.882,1
73,-25.428,-49.273,30.62798,-96.33441,1
76,-25.428,-49.273,-22.744,-43.708,1
81,-25.428,-49.273,41.89193,12.51133,1
105,-25.428,-49.273,-7.231,-35.881,1
124,-25.428,-49.273,-23.694,-46.565,1
129,-25.428,-49.273,48.24896,11.65101,1
135,-25.428,-49.273,51.88921,0.90421,1
186,-25.428,-49.273,47.60621,-122.33207,1
189,-25.428,-49.273,48.47629,8.93528,1
190,-25.428,-49.273,40.42972,-3.67975,2
229,-25.428,-49.273,52.6386,-1.13169,1
237,-25.428,-49.273,41.14961,-8.61099,1
323,-25.428,-49.273,41.88753,-88.30535,1
328,-25.428,-49.273,43.63276,1.39399,1
465,-26.908,-48.662,-30.033,-51.23,1
898,-23.548,-46.636,-25.428,-49.273,5
902,-23.548,-46.636,42.60003,-5.57032,1
903,-23.548,-46.636,-22.883,-43.104,3
904,-23.548,-46.636,-22.903,-43.208,24
905,-23.548,-46.636,-16.679,-49.254,3
906,-23.548,-46.636,-22.018,-47.891,15
907,-23.548,-46.636,-8.054,-34.881,9
908,-23.548,-46.636,-22.906,-47.061,60
910,-23.548,-46.636,-27.597,-48.549,11
911,-23.548,-46.636,41.85003,-87.65005,1
913,-23.548,-46.636,-23.463,-46.533,29
914,-23.548,-46.636,-30.033,-51.23,3
