Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1848,"tombos,minas gerais,brazil",,tombos,minas gerais,brazil,-20.905,-42.023
1849,"lavras da mangabeira,ceara,brazil",,lavras da mangabeira,ceara,brazil,-6.753,-38.972
1850,"tome acu,para,brazil",,tome acu,para,brazil,-2.419,-48.152
1851,"vitoria do mearim,maranhao,brazil",,vitoria do mearim,maranhao,brazil,-3.462,-44.871
1852,"santo inacio,parana,brazil",,santo inacio,parana,brazil,-22.698,-51.794
1853,"abidjan,lagunes,ivory coast",,abidjan,lagunes,ivory coast,5.30966,-4.01266
1854,"palermo,sicily,italy",,palermo,sicily,italy,38.13205,13.33561
1855,"alvorada,rio grande do sul,brazil",,alvorada,rio grande do sul,brazil,-29.99,-51.084
1856,"mata,rio grande do sul,brazil",,mata,rio grande do sul,brazil,-29.566,-54.46
1857,"vargem alegre,minas gerais,brazil",,vargem alegre,minas gerais,brazil,-19.608,-42.298
