id,oX,oY,dX,dY,trips
4,-27.597,-48.549,-23.548,-46.636,1
23,-27.597,-48.549,-23.463,-46.533,1
53,-27.597,-48.549,-1.456,-48.504,1
634,-25.428,-49.273,-22.903,-43.208,3
635,-25.428,-49.273,-23.548,-46.636,4
639,-25.428,-49.273,-22.883,-43.104,1
641,-25.428,-49.273,-16.679,-49.254,1
651,-25.428,-49.273,-30.033,-51.23,1
1897,-22.903,-43.208,-23.548,-46.636,8
1903,-22.903,-43.208,-16.679,-49.254,1
1904,-22.903,-43.208,-22.018,-47.891,1
1906,-22.903,-43.208,42.04114,-87.69006,1
1924,-22.903,-43.208,-15.78,-47.93,1
1941,-22.903,-43.208,-12.971,-38.511,1
1983,-22.903,-43.208,40.42587,-86.90807,1
1998,-22.903,-43.208,29.65163,-82.32483,1
2004,-22.903,-43.208,48.85341,2.3488,3
2006,-22.903,-43.208,34.05223,-118.24368,1
2027,-22.903,-43.208,52.52437,13.41053,1
2029,-22.903,-43.208,42.3751,-71.10561,1
2072,-22.903,-43.208,43.07305,-89.40123,1
2093,-22.903,-43.208,44.93333,4.9,1
2116,-22.903,-43.208,40.71427,-74.00597,1
2128,-22.903,-43.208,25.53844,-80.40894,1
2132,-22.903,-43.208,29.76328,-95.36327,1
2136,-22.903,-43.208,41.52519,-88.0834,2
2150,-22.903,-43.208,42.73698,-84.48387,1
2162,-22.903,-43.208,48.76507,2.26655,1
2308,-22.903,-43.208,48.77644,2.29026,1
2349,-22.903,-43.208,43.63276,1.39399,1
2350,-22.903,-43.208,-15.934,-50.14,1
2525,-23.548,-46.636,-25.428,-49.273,1
2527,-23.548,-46.636,-22.903,-43.208,3
2538,-23.548,-46.636,51.50853,-0.12574,1
2539,-23.548,-46.636,-22.906,-47.061,4
2544,-23.548,-46.636,-30.033,-51.23,1
2547,-23.548,-46.636,-23.463,-46.533,3
2550,-23.548,-46.636,-23.31,-51.163,1
2552,-23.548,-46.636,-22.315,-49.061,2
2555,-23.548,-46.636,-15.78,-47.93,1
2577,-23.548,-46.636,-1.456,-48.504,1
2578,-23.548,-46.636,-22.411,-47.561,1
2580,-23.548,-46.636,-21.178,-47.81,4
2594,-23.548,-46.636,-23.179,-45.887,2
2614,-23.548,-46.636,40.42587,-86.90807,1
2635,-23.548,-46.636,48.85341,2.3488,2
2642,-23.548,-46.636,43.4668,-80.51639,1
2645,-23.548,-46.636,42.00833,-91.64407,1
2651,-23.548,-46.636,39.16533,-86.52639,1
2656,-23.548,-46.636,45.46427,9.18951,1
2660,-23.548,-46.636,42.3751,-71.10561,1
2675,-23.548,-46.636,30.26715,-97.74306,1
2687,-23.548,-46.636,42.44063,-76.49661,1
2689,-23.548,-46.636,37.87159,-122.27275,1
2723,-23.548,-46.636,42.03336,-87.73339,1
