id,oX,oY,dX,dY,trips,cO,cD
1,-27.597,-48.549,-25.428,-49.273,7,brazil,brazil
2,-27.597,-48.549,-26.908,-48.662,5,brazil,brazil
3,-27.597,-48.549,-22.903,-43.208,4,brazil,brazil
4,-27.597,-48.549,-23.548,-46.636,13,brazil,brazil
8,-27.597,-48.549,-22.883,-43.104,1,brazil,brazil
11,-27.597,-48.549,-22.018,-47.891,1,brazil,brazil
15,-27.597,-48.549,-22.906,-47.061,10,brazil,brazil
20,-27.597,-48.549,-30.033,-51.23,5,brazil,brazil
23,-27.597,-48.549,-23.463,-46.533,1,brazil,brazil
24,-27.597,-48.549,-31.772,-52.343,1,brazil,brazil
27,-27.597,-48.549,-19.817,-43.956,2,brazil,brazil
28,-27.597,-48.549,-22.315,-49.061,1,brazil,brazil
36,-27.597,-48.549,-29.684,-53.807,2,brazil,brazil
41,-27.597,-48.549,-7.115,-34.863,1,brazil,brazil
42,-27.597,-48.549,-3.717,-38.543,1,brazil,brazil
43,-27.597,-48.549,48.89198,2.20675,1,brazil,france
49,-27.597,-48.549,-26.177,-50.39,1,brazil,brazil
50,-27.597,-48.549,-2.53,-44.303,1,brazil,brazil
55,-27.597,-48.549,-24.956,-53.455,1,brazil,brazil
63,-27.597,-48.549,-27.096,-52.618,1,brazil,brazil
89,-27.597,-48.549,35.6895,139.69171,1,brazil,japan
102,-27.597,-48.549,-26.725,-53.518,1,brazil,brazil
118,-27.597,-48.549,43.4668,-80.51639,1,brazil,canada
131,-27.597,-48.549,53.48095,-2.23743,1,brazil,united kingdom
145,-27.597,-48.549,53.55014,-113.46871,1,brazil,canada
153,-27.597,-48.549,48.11198,-1.67429,1,brazil,france
210,-27.597,-48.549,48.93333,2.36667,1,brazil,france
237,-27.597,-48.549,42.03471,-93.61994,1,brazil,united states
271,-27.597,-48.549,-33.86785,151.20732,1,brazil,australia
313,-27.597,-48.549,49.00937,8.40444,1,brazil,germany
415,-27.597,-48.549,48.77644,2.29026,1,brazil,france
416,-27.597,-48.549,45.16667,5.71667,1,brazil,france
631,-25.428,-49.273,-27.597,-48.549,18,brazil,brazil
634,-25.428,-49.273,-22.903,-43.208,24,brazil,brazil
635,-25.428,-49.273,-23.548,-46.636,38,brazil,brazil
642,-25.428,-49.273,-22.018,-47.891,6,brazil,brazil
643,-25.428,-49.273,-8.054,-34.881,2,brazil,brazil
646,-25.428,-49.273,-22.906,-47.061,13,brazil,brazil
651,-25.428,-49.273,-30.033,-51.23,4,brazil,brazil
654,-25.428,-49.273,-23.463,-46.533,9,brazil,brazil
655,-25.428,-49.273,-31.772,-52.343,1,brazil,brazil
656,-25.428,-49.273,-28.467,-49.007,1,brazil,brazil
657,-25.428,-49.273,-23.31,-51.163,2,brazil,brazil
658,-25.428,-49.273,-19.817,-43.956,4,brazil,brazil
659,-25.428,-49.273,-22.315,-49.061,7,brazil,brazil
661,-25.428,-49.273,-23.425,-51.939,1,brazil,brazil
662,-25.428,-49.273,-15.78,-47.93,1,brazil,brazil
666,-25.428,-49.273,40.4165,-3.70256,1,brazil,spain
668,-25.428,-49.273,43.70011,-79.4163,1,brazil,canada
671,-25.428,-49.273,-3.102,-60.025,3,brazil,brazil
672,-25.428,-49.273,-7.115,-34.863,1,brazil,brazil
675,-25.428,-49.273,-22.109,-50.172,1,brazil,brazil
679,-25.428,-49.273,-12.971,-38.511,1,brazil,brazil
684,-25.428,-49.273,-1.456,-48.504,1,brazil,brazil
687,-25.428,-49.273,-21.178,-47.81,2,brazil,brazil
693,-25.428,-49.273,-9.666,-35.735,1,brazil,brazil
695,-25.428,-49.273,-26.919,-49.066,1,brazil,brazil
699,-25.428,-49.273,-32.035,-52.099,1,brazil,brazil
700,-25.428,-49.273,-15.596,-56.097,1,brazil,brazil
721,-25.428,-49.273,40.42587,-86.90807,1,brazil,united states
722,-25.428,-49.273,-21.245,-45,2,brazil,brazil
726,-25.428,-49.273,-21.429,-45.947,1,brazil,brazil
727,-25.428,-49.273,-23.694,-46.565,1,brazil,brazil
728,-25.428,-49.273,-20.443,-54.646,1,brazil,brazil
729,-25.428,-49.273,-20.754,-42.882,2,brazil,brazil
742,-25.428,-49.273,48.85341,2.3488,3,brazil,france
759,-25.428,-49.273,30.62798,-96.33441,1,brazil,united states
766,-25.428,-49.273,-22.744,-43.708,2,brazil,brazil
792,-25.428,-49.273,39.29038,-76.61219,1,brazil,united states
801,-25.428,-49.273,-22.426,-45.453,2,brazil,brazil
852,-25.428,-49.273,36.97412,-122.0308,1,brazil,united states
854,-25.428,-49.273,40.71427,-74.00597,1,brazil,united states
872,-25.428,-49.273,50.82838,-0.13947,2,brazil,united kingdom
945,-25.428,-49.273,39.96118,-82.99879,1,brazil,united states
1039,-25.428,-49.273,29.95465,-90.07507,1,brazil,united states
1056,-25.428,-49.273,53.57532,10.01534,1,brazil,germany
1069,-25.428,-49.273,-23.11,-50.368,1,brazil,brazil
1087,-25.428,-49.273,43.63276,1.39399,1,brazil,france
1262,-26.908,-48.662,-27.597,-48.549,2,brazil,brazil
1266,-26.908,-48.662,-23.548,-46.636,1,brazil,brazil
1893,-22.903,-43.208,-27.597,-48.549,13,brazil,brazil
1894,-22.903,-43.208,-25.428,-49.273,49,brazil,brazil
1897,-22.903,-43.208,-23.548,-46.636,81,brazil,brazil
1898,-22.903,-43.208,-29.168,-51.179,1,brazil,brazil
1901,-22.903,-43.208,-22.883,-43.104,41,brazil,brazil
1903,-22.903,-43.208,-16.679,-49.254,1,brazil,brazil
1904,-22.903,-43.208,-22.018,-47.891,4,brazil,brazil
1905,-22.903,-43.208,-8.054,-34.881,4,brazil,brazil
1907,-22.903,-43.208,51.50853,-0.12574,12,brazil,united kingdom
1908,-22.903,-43.208,-22.906,-47.061,29,brazil,brazil
1913,-22.903,-43.208,-30.033,-51.23,3,brazil,brazil
1915,-22.903,-43.208,42.65258,-73.75623,1,brazil,united states
1916,-22.903,-43.208,-23.463,-46.533,9,brazil,brazil
1919,-22.903,-43.208,-23.31,-51.163,2,brazil,brazil
1920,-22.903,-43.208,-19.817,-43.956,6,brazil,brazil
1921,-22.903,-43.208,-22.315,-49.061,5,brazil,brazil
1924,-22.903,-43.208,-15.78,-47.93,4,brazil,brazil
1929,-22.903,-43.208,-29.684,-53.807,1,brazil,brazil
1930,-22.903,-43.208,43.70011,-79.4163,2,brazil,canada
1931,-22.903,-43.208,-21.754,-41.324,2,brazil,brazil
1934,-22.903,-43.208,-7.115,-34.863,3,brazil,brazil
1935,-22.903,-43.208,-3.717,-38.543,1,brazil,brazil
1936,-22.903,-43.208,48.89198,2.20675,1,brazil,france
1939,-22.903,-43.208,-20.288,-43.508,1,brazil,brazil
1940,-22.903,-43.208,41.14961,-8.61099,1,brazil,portugal
1941,-22.903,-43.208,-12.971,-38.511,5,brazil,brazil
1943,-22.903,-43.208,-2.53,-44.303,1,brazil,brazil
1946,-22.903,-43.208,-1.456,-48.504,2,brazil,brazil
1949,-22.903,-43.208,-21.178,-47.81,3,brazil,brazil
1950,-22.903,-43.208,50.87959,4.70093,1,brazil,belgium
1952,-22.903,-43.208,-22.827,-43.054,1,brazil,brazil
1953,-22.903,-43.208,39.95233,-75.16379,1,brazil,united states
1959,-22.903,-43.208,41.55032,-8.42005,1,brazil,portugal
1962,-22.903,-43.208,-15.596,-56.097,1,brazil,brazil
1963,-22.903,-43.208,-23.179,-45.887,7,brazil,brazil
1965,-22.903,-43.208,48.78232,9.17702,1,brazil,germany
1971,-22.903,-43.208,38.71667,-9.13333,4,brazil,portugal
1972,-22.903,-43.208,53.79648,-1.54785,1,brazil,united kingdom
1975,-22.903,-43.208,52.9536,-1.15047,1,brazil,united kingdom
1976,-22.903,-43.208,36.11561,-97.05837,1,brazil,united states
1988,-22.903,-43.208,-21.429,-45.947,1,brazil,brazil
1998,-22.903,-43.208,29.65163,-82.32483,1,brazil,united states
2001,-22.903,-43.208,-22.505,-43.179,1,brazil,brazil
2004,-22.903,-43.208,48.85341,2.3488,13,brazil,france
2007,-22.903,-43.208,41.38879,2.15899,4,brazil,spain
2009,-22.903,-43.208,49.24966,-123.11934,1,brazil,canada
2012,-22.903,-43.208,50.85045,4.34878,1,brazil,belgium
2014,-22.903,-43.208,42.00833,-91.64407,1,brazil,united states
2017,-22.903,-43.208,54.04649,-2.79988,1,brazil,united kingdom
2018,-22.903,-43.208,32.84727,-117.2742,2,brazil,united states
2024,-22.903,-43.208,53.48095,-2.23743,2,brazil,united kingdom
2027,-22.903,-43.208,52.52437,13.41053,1,brazil,germany
2028,-22.903,-43.208,-22.744,-43.708,10,brazil,brazil
2029,-22.903,-43.208,42.3751,-71.10561,4,brazil,united states
2034,-22.903,-43.208,40.11642,-88.24338,1,brazil,united states
2037,-22.903,-43.208,52.62783,1.29834,1,brazil,united kingdom
2038,-22.903,-43.208,53.55014,-113.46871,3,brazil,canada
2040,-22.903,-43.208,25.72149,-80.26838,2,brazil,united states
2045,-22.903,-43.208,43.60426,1.44367,3,brazil,france
2049,-22.903,-43.208,35.7721,-78.63861,2,brazil,united states
2056,-22.903,-43.208,42.44063,-76.49661,1,brazil,united states
2058,-22.903,-43.208,37.87159,-122.27275,2,brazil,united states
2063,-22.903,-43.208,-22.426,-45.453,1,brazil,brazil
2070,-22.903,-43.208,44.97997,-93.26384,3,brazil,united states
2072,-22.903,-43.208,43.07305,-89.40123,2,brazil,united states
2092,-22.903,-43.208,42.03336,-87.73339,1,brazil,united states
2093,-22.903,-43.208,44.93333,4.9,2,brazil,france
2096,-22.903,-43.208,38.89511,-77.03637,2,brazil,united states
2097,-22.903,-43.208,45.07049,7.68682,1,brazil,italy
2102,-22.903,-43.208,40.44062,-79.99589,1,brazil,united states
2103,-22.903,-43.208,48.93333,2.36667,3,brazil,france
2105,-22.903,-43.208,42.98339,-81.23304,1,brazil,canada
2108,-22.903,-43.208,51.75222,-1.25596,3,brazil,united kingdom
2112,-22.903,-43.208,47.60621,-122.33207,1,brazil,united states
2113,-22.903,-43.208,52.2,0.11667,1,brazil,united kingdom
2116,-22.903,-43.208,40.71427,-74.00597,4,brazil,united states
2118,-22.903,-43.208,41.49109,2.14079,1,brazil,spain
2120,-22.903,-43.208,42.27756,-83.74088,2,brazil,united states
2128,-22.903,-43.208,25.53844,-80.40894,2,brazil,united states
2133,-22.903,-43.208,48.58392,7.74553,1,brazil,france
2136,-22.903,-43.208,41.52519,-88.0834,2,brazil,united states
2150,-22.903,-43.208,42.73698,-84.48387,1,brazil,united states
2154,-22.903,-43.208,52.15833,4.49306,1,brazil,netherlands
2162,-22.903,-43.208,48.76507,2.26655,2,brazil,france
2164,-22.903,-43.208,-33.86785,151.20732,1,brazil,australia
2176,-22.903,-43.208,41.68338,-86.25001,1,brazil,united states
2189,-22.903,-43.208,52.40656,-1.51217,1,brazil,united kingdom
2195,-22.903,-43.208,45.76667,4.88333,1,brazil,france
2205,-22.903,-43.208,43.15478,-77.61556,1,brazil,united states
2206,-22.903,-43.208,49.00937,8.40444,1,brazil,germany
2207,-22.903,-43.208,39.96118,-82.99879,1,brazil,united states
2212,-22.903,-43.208,42.41843,-71.10616,1,brazil,united states
2239,-22.903,-43.208,23.13833,-82.36417,1,brazil,cuba
2243,-22.903,-43.208,47.9959,7.85222,1,brazil,germany
2248,-22.903,-43.208,50.90395,-1.40428,2,brazil,united kingdom
2249,-22.903,-43.208,54.97328,-1.61396,1,brazil,united kingdom
2269,-22.903,-43.208,38.70734,-77.02303,1,brazil,united states
2271,-22.903,-43.208,51.45523,-2.59665,1,brazil,united kingdom
2300,-22.903,-43.208,54.32133,10.13489,1,brazil,germany
2306,-22.903,-43.208,52.13459,-0.46632,1,brazil,united kingdom
2307,-22.903,-43.208,51.27904,1.07992,1,brazil,united kingdom
2315,-22.903,-43.208,51.05,3.71667,1,brazil,belgium
2524,-23.548,-46.636,-27.597,-48.549,8,brazil,brazil
2525,-23.548,-46.636,-25.428,-49.273,10,brazil,brazil
2527,-23.548,-46.636,-22.903,-43.208,25,brazil,brazil
2532,-23.548,-46.636,-22.883,-43.104,2,brazil,brazil
2535,-23.548,-46.636,-22.018,-47.891,4,brazil,brazil
2536,-23.548,-46.636,-8.054,-34.881,4,brazil,brazil
2537,-23.548,-46.636,42.04114,-87.69006,2,brazil,united states
2538,-23.548,-46.636,51.50853,-0.12574,11,brazil,united kingdom
2539,-23.548,-46.636,-22.906,-47.061,80,brazil,brazil
2540,-23.548,-46.636,51.45625,-0.97113,1,brazil,united kingdom
2544,-23.548,-46.636,-30.033,-51.23,12,brazil,brazil
2545,-23.548,-46.636,52.48142,-1.89983,1,brazil,united kingdom
2547,-23.548,-46.636,-23.463,-46.533,50,brazil,brazil
2550,-23.548,-46.636,-23.31,-51.163,2,brazil,brazil
2551,-23.548,-46.636,-19.817,-43.956,4,brazil,brazil
2552,-23.548,-46.636,-22.315,-49.061,43,brazil,brazil
2554,-23.548,-46.636,-23.425,-51.939,1,brazil,brazil
2555,-23.548,-46.636,-15.78,-47.93,5,brazil,brazil
2559,-23.548,-46.636,40.4165,-3.70256,1,brazil,spain
2560,-23.548,-46.636,-29.684,-53.807,2,brazil,brazil
2561,-23.548,-46.636,43.70011,-79.4163,1,brazil,canada
2564,-23.548,-46.636,-3.102,-60.025,2,brazil,brazil
2567,-23.548,-46.636,48.89198,2.20675,1,brazil,france
2568,-23.548,-46.636,-22.109,-50.172,1,brazil,brazil
2571,-23.548,-46.636,41.14961,-8.61099,1,brazil,portugal
2572,-23.548,-46.636,-12.971,-38.511,4,brazil,brazil
2574,-23.548,-46.636,-2.53,-44.303,1,brazil,brazil
2575,-23.548,-46.636,-18.919,-48.277,1,brazil,brazil
2577,-23.548,-46.636,-1.456,-48.504,3,brazil,brazil
2580,-23.548,-46.636,-21.178,-47.81,8,brazil,brazil
2581,-23.548,-46.636,50.87959,4.70093,1,brazil,belgium
2584,-23.548,-46.636,39.95233,-75.16379,3,brazil,united states
2592,-23.548,-46.636,-32.035,-52.099,1,brazil,brazil
2593,-23.548,-46.636,-15.596,-56.097,2,brazil,brazil
2594,-23.548,-46.636,-23.179,-45.887,4,brazil,brazil
2602,-23.548,-46.636,38.71667,-9.13333,3,brazil,portugal
2607,-23.548,-46.636,36.11561,-97.05837,2,brazil,united states
2613,-23.548,-46.636,35.6895,139.69171,1,brazil,japan
2614,-23.548,-46.636,40.42587,-86.90807,1,brazil,united states
2620,-23.548,-46.636,-23.694,-46.565,5,brazil,brazil
2621,-23.548,-46.636,-20.443,-54.646,1,brazil,brazil
2622,-23.548,-46.636,-20.754,-42.882,3,brazil,brazil
2629,-23.548,-46.636,29.65163,-82.32483,3,brazil,united states
2633,-23.548,-46.636,38.34517,-0.48149,1,brazil,spain
2635,-23.548,-46.636,48.85341,2.3488,12,brazil,france
