id,oX,oY,dX,dY,trips,cO,cD
1,-27.597,-48.549,-25.428,-49.273,9,brazil,brazil
2,-27.597,-48.549,-26.908,-48.662,2,brazil,brazil
3,-27.597,-48.549,-22.903,-43.208,7,brazil,brazil
4,-27.597,-48.549,-23.548,-46.636,24,brazil,brazil
7,-27.597,-48.549,42.60003,-5.57032,1,brazil,spain
11,-27.597,-48.549,-22.018,-47.891,3,brazil,brazil
12,-27.597,-48.549,-8.054,-34.881,2,brazil,brazil
15,-27.597,-48.549,-22.906,-47.061,8,brazil,brazil
20,-27.597,-48.549,-30.033,-51.23,14,brazil,brazil
23,-27.597,-48.549,-23.463,-46.533,3,brazil,brazil
24,-27.597,-48.549,-31.772,-52.343,2,brazil,brazil
25,-27.597,-48.549,-28.467,-49.007,1,brazil,brazil
27,-27.597,-48.549,-19.817,-43.956,7,brazil,brazil
28,-27.597,-48.549,-22.315,-49.061,8,brazil,brazil
30,-27.597,-48.549,-23.425,-51.939,1,brazil,brazil
31,-27.597,-48.549,-15.78,-47.93,4,brazil,brazil
34,-27.597,-48.549,-5.795,-35.209,2,brazil,brazil
35,-27.597,-48.549,40.4165,-3.70256,2,brazil,spain
36,-27.597,-48.549,-29.684,-53.807,1,brazil,brazil
40,-27.597,-48.549,-3.102,-60.025,1,brazil,brazil
41,-27.597,-48.549,-7.115,-34.863,6,brazil,brazil
42,-27.597,-48.549,-3.717,-38.543,1,brazil,brazil
47,-27.597,-48.549,41.14961,-8.61099,1,brazil,portugal
48,-27.597,-48.549,-12.971,-38.511,1,brazil,brazil
49,-27.597,-48.549,-26.177,-50.39,1,brazil,brazil
55,-27.597,-48.549,-24.956,-53.455,1,brazil,brazil
57,-27.597,-48.549,50.87959,4.70093,2,brazil,belgium
62,-27.597,-48.549,-9.666,-35.735,1,brazil,brazil
64,-27.597,-48.549,-26.919,-49.066,1,brazil,brazil
67,-27.597,-48.549,-25.095,-50.162,1,brazil,brazil
78,-27.597,-48.549,38.71667,-9.13333,2,brazil,portugal
79,-27.597,-48.549,53.79648,-1.54785,1,brazil,united kingdom
91,-27.597,-48.549,-21.245,-45,1,brazil,brazil
96,-27.597,-48.549,-23.694,-46.565,1,brazil,brazil
111,-27.597,-48.549,48.85341,2.3488,1,brazil,france
123,-27.597,-48.549,36.52978,-6.29465,1,brazil,spain
126,-27.597,-48.549,-19.748,-47.932,1,brazil,brazil
127,-27.597,-48.549,39.16533,-86.52639,1,brazil,united states
134,-27.597,-48.549,52.52437,13.41053,1,brazil,germany
170,-27.597,-48.549,-22.426,-45.453,1,brazil,brazil
193,-27.597,-48.549,-34.61315,-58.37723,1,brazil,argentina
209,-27.597,-48.549,40.44062,-79.99589,1,brazil,united states
296,-27.597,-48.549,52.40656,-1.51217,1,brazil,united kingdom
354,-27.597,-48.549,43.33333,-2.98333,1,brazil,spain
631,-25.428,-49.273,-27.597,-48.549,71,brazil,brazil
633,-25.428,-49.273,-26.908,-48.662,1,brazil,brazil
634,-25.428,-49.273,-22.903,-43.208,23,brazil,brazil
635,-25.428,-49.273,-23.548,-46.636,59,brazil,brazil
637,-25.428,-49.273,-29.76,-51.147,1,brazil,brazil
638,-25.428,-49.273,42.60003,-5.57032,1,brazil,spain
639,-25.428,-49.273,-22.883,-43.104,2,brazil,brazil
642,-25.428,-49.273,-22.018,-47.891,8,brazil,brazil
643,-25.428,-49.273,-8.054,-34.881,5,brazil,brazil
645,-25.428,-49.273,51.50853,-0.12574,1,brazil,united kingdom
646,-25.428,-49.273,-22.906,-47.061,19,brazil,brazil
651,-25.428,-49.273,-30.033,-51.23,12,brazil,brazil
654,-25.428,-49.273,-23.463,-46.533,6,brazil,brazil
655,-25.428,-49.273,-31.772,-52.343,1,brazil,brazil
656,-25.428,-49.273,-28.467,-49.007,1,brazil,brazil
657,-25.428,-49.273,-23.31,-51.163,6,brazil,brazil
658,-25.428,-49.273,-19.817,-43.956,8,brazil,brazil
659,-25.428,-49.273,-22.315,-49.061,19,brazil,brazil
660,-25.428,-49.273,-25.395,-51.458,1,brazil,brazil
661,-25.428,-49.273,-23.425,-51.939,4,brazil,brazil
662,-25.428,-49.273,-15.78,-47.93,10,brazil,brazil
666,-25.428,-49.273,40.4165,-3.70256,3,brazil,spain
667,-25.428,-49.273,-29.684,-53.807,4,brazil,brazil
668,-25.428,-49.273,43.70011,-79.4163,1,brazil,canada
671,-25.428,-49.273,-3.102,-60.025,2,brazil,brazil
672,-25.428,-49.273,-7.115,-34.863,1,brazil,brazil
