id,oX,oY,dX,dY,trips
1897,-22.903,-43.208,-23.548,-46.636,1
1907,-22.903,-43.208,51.50853,-0.12574,1
1963,-22.903,-43.208,-23.179,-45.887,1
2266,-22.903,-43.208,38.97167,-95.23525,1
2525,-23.548,-46.636,-25.428,-49.273,1
2544,-23.548,-46.636,-30.033,-51.23,1
2545,-23.548,-46.636,52.48142,-1.89983,1
2635,-23.548,-46.636,48.85341,2.3488,1
2651,-23.548,-46.636,39.16533,-86.52639,1
2713,-23.548,-46.636,38.54491,-121.74052,1
2743,-23.548,-46.636,47.60621,-122.33207,2
2747,-23.548,-46.636,40.71427,-74.00597,1
2781,-23.548,-46.636,42.73698,-84.48387,2
2873,-23.548,-46.636,49.59099,11.00783,1
5159,-22.883,-43.104,48.85341,2.3488,1
6337,-16.679,-49.254,-19.817,-43.956,1
7683,-8.054,-34.881,48.85341,2.3488,1
9149,51.50853,-0.12574,52.09083,5.12222,1
12624,-30.033,-51.23,-23.548,-46.636,2
14517,-23.463,-46.533,-23.548,-46.636,1
17683,-22.315,-49.061,-22.906,-47.061,1
30511,-12.971,-38.511,40.71427,-74.00597,1
37996,39.95233,-75.16379,42.3751,-71.10561,1
44335,-23.179,-45.887,37.87159,-122.27275,1
49221,38.71667,-9.13333,-22.903,-43.208,1
57448,-21.245,-45,-19.817,-43.956,1
85864,42.3751,-71.10561,-12.971,-38.511,1
87191,55.95206,-3.19648,34.05223,-118.24368,1
114215,-21.136,-44.262,-23.548,-46.636,1
131883,40.44062,-79.99589,-23.548,-46.636,1
136300,-23.543,-46.311,-23.548,-46.636,1
143241,42.27756,-83.74088,-23.548,-46.636,1
149726,42.03471,-93.61994,43.07305,-89.40123,1
162410,42.73698,-84.48387,41.52519,-88.0834,1
177359,38.98067,-77.10026,-12.971,-38.511,1
