id,oX,oY,dX,dY,trips
1,-27.597,-48.549,-25.428,-49.273,18
2,-27.597,-48.549,-26.908,-48.662,2
3,-27.597,-48.549,-22.903,-43.208,12
4,-27.597,-48.549,-23.548,-46.636,21
6,-27.597,-48.549,-29.76,-51.147,1
8,-27.597,-48.549,-22.883,-43.104,1
10,-27.597,-48.549,-16.679,-49.254,1
11,-27.597,-48.549,-22.018,-47.891,6
12,-27.597,-48.549,-8.054,-34.881,2
15,-27.597,-48.549,-22.906,-47.061,10
19,-27.597,-48.549,-27.634,-52.274,1
20,-27.597,-48.549,-30.033,-51.23,23
23,-27.597,-48.549,-23.463,-46.533,3
24,-27.597,-48.549,-31.772,-52.343,3
25,-27.597,-48.549,-28.467,-49.007,2
27,-27.597,-48.549,-19.817,-43.956,7
28,-27.597,-48.549,-22.315,-49.061,6
30,-27.597,-48.549,-23.425,-51.939,2
31,-27.597,-48.549,-15.78,-47.93,3
34,-27.597,-48.549,-5.795,-35.209,2
36,-27.597,-48.549,-29.684,-53.807,1
42,-27.597,-48.549,-3.717,-38.543,1
48,-27.597,-48.549,-12.971,-38.511,3
51,-27.597,-48.549,-18.919,-48.277,2
52,-27.597,-48.549,-26.304,-48.846,2
53,-27.597,-48.549,-1.456,-48.504,1
56,-27.597,-48.549,-21.178,-47.81,1
62,-27.597,-48.549,-9.666,-35.735,1
64,-27.597,-48.549,-26.919,-49.066,3
67,-27.597,-48.549,-25.095,-50.162,1
68,-27.597,-48.549,-32.035,-52.099,2
69,-27.597,-48.549,-15.596,-56.097,1
70,-27.597,-48.549,-23.179,-45.887,2
85,-27.597,-48.549,-28.678,-49.37,1
91,-27.597,-48.549,-21.245,-45,1
97,-27.597,-48.549,-20.443,-54.646,1
111,-27.597,-48.549,48.85341,2.3488,1
121,-27.597,-48.549,42.00833,-91.64407,1
123,-27.597,-48.549,36.52978,-6.29465,1
130,-27.597,-48.549,52.98569,10.08756,2
139,-27.597,-48.549,52.76667,-1.2,1
142,-27.597,-48.549,41.89193,12.51133,1
144,-27.597,-48.549,52.62783,1.29834,1
158,-27.597,-48.549,-5.089,-42.802,1
169,-27.597,-48.549,40.64427,-8.64554,1
182,-27.597,-48.549,-22.725,-47.649,1
207,-27.597,-48.549,-23.026,-45.555,1
210,-27.597,-48.549,48.93333,2.36667,1
213,-27.597,-48.549,44.84044,-0.5805,1
220,-27.597,-48.549,52.2,0.11667,1
223,-27.597,-48.549,40.71427,-74.00597,1
227,-27.597,-48.549,42.27756,-83.74088,1
278,-27.597,-48.549,42.88052,-8.54569,1
307,-27.597,-48.549,45.50884,-73.58781,1
394,-27.597,-48.549,37.01937,-7.93223,1
416,-27.597,-48.549,45.16667,5.71667,1
428,-27.597,-48.549,43.36029,-5.84476,1
461,-27.597,-48.549,48.43294,-123.3693,1
631,-25.428,-49.273,-27.597,-48.549,30
634,-25.428,-49.273,-22.903,-43.208,33
635,-25.428,-49.273,-23.548,-46.636,70
639,-25.428,-49.273,-22.883,-43.104,2
642,-25.428,-49.273,-22.018,-47.891,3
643,-25.428,-49.273,-8.054,-34.881,3
644,-25.428,-49.273,42.04114,-87.69006,1
645,-25.428,-49.273,51.50853,-0.12574,1
646,-25.428,-49.273,-22.906,-47.061,20
651,-25.428,-49.273,-30.033,-51.23,10
654,-25.428,-49.273,-23.463,-46.533,6
655,-25.428,-49.273,-31.772,-52.343,4
657,-25.428,-49.273,-23.31,-51.163,7
658,-25.428,-49.273,-19.817,-43.956,6
659,-25.428,-49.273,-22.315,-49.061,24
661,-25.428,-49.273,-23.425,-51.939,3
662,-25.428,-49.273,-15.78,-47.93,10
667,-25.428,-49.273,-29.684,-53.807,1
670,-25.428,-49.273,-21.764,-43.35,1
671,-25.428,-49.273,-3.102,-60.025,1
672,-25.428,-49.273,-7.115,-34.863,1
673,-25.428,-49.273,-3.717,-38.543,4
679,-25.428,-49.273,-12.971,-38.511,6
682,-25.428,-49.273,-18.919,-48.277,1
684,-25.428,-49.273,-1.456,-48.504,2
686,-25.428,-49.273,-24.956,-53.455,1
687,-25.428,-49.273,-21.178,-47.81,5
692,-25.428,-49.273,-20.319,-40.338,1
693,-25.428,-49.273,-9.666,-35.735,1
698,-25.428,-49.273,-25.095,-50.162,3
699,-25.428,-49.273,-32.035,-52.099,1
700,-25.428,-49.273,-15.596,-56.097,2
701,-25.428,-49.273,-23.179,-45.887,1
709,-25.428,-49.273,38.71667,-9.13333,1
715,-25.428,-49.273,-8.762,-63.904,1
723,-25.428,-49.273,-29.918,-51.184,1
727,-25.428,-49.273,-23.694,-46.565,2
729,-25.428,-49.273,-20.754,-42.882,1
731,-25.428,-49.273,-22.214,-49.946,1
742,-25.428,-49.273,48.85341,2.3488,2
766,-25.428,-49.273,-22.744,-43.708,3
767,-25.428,-49.273,42.3751,-71.10561,1
768,-25.428,-49.273,49.41794,2.82606,1
778,-25.428,-49.273,25.72149,-80.26838,1
792,-25.428,-49.273,39.29038,-76.61219,1
800,-25.428,-49.273,40.64427,-8.64554,1
824,-25.428,-49.273,-34.61315,-58.37723,1
849,-25.428,-49.273,33.749,-84.38798,1
906,-25.428,-49.273,-12.267,-38.967,1
921,-25.428,-49.273,-23.502,-47.458,1
952,-25.428,-49.273,48.47629,8.93528,1
969,-25.428,-49.273,28.53834,-81.37924,1
974,-25.428,-49.273,47.38333,0.68333,1
1038,-25.428,-49.273,54.32133,10.13489,1
1086,-25.428,-49.273,41.4995,-81.69541,1
1262,-26.908,-48.662,-27.597,-48.549,11
1263,-26.908,-48.662,-25.428,-49.273,3
1265,-26.908,-48.662,-22.903,-43.208,1
1270,-26.908,-48.662,-22.883,-43.104,1
1273,-26.908,-48.662,-22.018,-47.891,1
1287,-26.908,-48.662,-28.467,-49.007,1
1293,-26.908,-48.662,-15.78,-47.93,2
1302,-26.908,-48.662,-3.102,-60.025,2
1326,-26.908,-48.662,-26.919,-49.066,1
1330,-26.908,-48.662,-32.035,-52.099,1
1353,-26.908,-48.662,-21.245,-45,1
1371,-26.908,-48.662,38.34517,-0.48149,1
1408,-26.908,-48.662,45.40797,11.88586,1
1893,-22.903,-43.208,-27.597,-48.549,11
1894,-22.903,-43.208,-25.428,-49.273,68
1897,-22.903,-43.208,-23.548,-46.636,112
1899,-22.903,-43.208,-29.76,-51.147,4
1901,-22.903,-43.208,-22.883,-43.104,94
1903,-22.903,-43.208,-16.679,-49.254,1
1904,-22.903,-43.208,-22.018,-47.891,5
1905,-22.903,-43.208,-8.054,-34.881,1
1907,-22.903,-43.208,51.50853,-0.12574,2
1908,-22.903,-43.208,-22.906,-47.061,36
1911,-22.903,-43.208,41.85003,-87.65005,1
1913,-22.903,-43.208,-30.033,-51.23,13
1916,-22.903,-43.208,-23.463,-46.533,7
1920,-22.903,-43.208,-19.817,-43.956,17
1921,-22.903,-43.208,-22.315,-49.061,13
1923,-22.903,-43.208,-23.425,-51.939,3
1924,-22.903,-43.208,-15.78,-47.93,23
1927,-22.903,-43.208,-5.795,-35.209,2
1929,-22.903,-43.208,-29.684,-53.807,1
1930,-22.903,-43.208,43.70011,-79.4163,2
1931,-22.903,-43.208,-21.754,-41.324,8
1932,-22.903,-43.208,-21.764,-43.35,4
1933,-22.903,-43.208,-3.102,-60.025,3
1934,-22.903,-43.208,-7.115,-34.863,1
1935,-22.903,-43.208,-3.717,-38.543,7
1936,-22.903,-43.208,48.89198,2.20675,1
1939,-22.903,-43.208,-20.288,-43.508,1
1941,-22.903,-43.208,-12.971,-38.511,7
1943,-22.903,-43.208,-2.53,-44.303,1
1944,-22.903,-43.208,-18.919,-48.277,4
1946,-22.903,-43.208,-1.456,-48.504,1
1949,-22.903,-43.208,-21.178,-47.81,7
1954,-22.903,-43.208,-20.319,-40.338,3
1955,-22.903,-43.208,-9.666,-35.735,2
1959,-22.903,-43.208,41.55032,-8.42005,1
1962,-22.903,-43.208,-15.596,-56.097,2
1963,-22.903,-43.208,-23.179,-45.887,7
1964,-22.903,-43.208,-28.263,-52.407,1
1971,-22.903,-43.208,38.71667,-9.13333,6
1984,-22.903,-43.208,-21.245,-45,3
1990,-22.903,-43.208,-20.443,-54.646,3
1991,-22.903,-43.208,-20.754,-42.882,5
1993,-22.903,-43.208,-22.214,-49.946,1
1997,-22.903,-43.208,-22.126,-51.389,1
2001,-22.903,-43.208,-22.505,-43.179,6
2004,-22.903,-43.208,48.85341,2.3488,7
2009,-22.903,-43.208,49.24966,-123.11934,1
2014,-22.903,-43.208,42.00833,-91.64407,2
2017,-22.903,-43.208,54.04649,-2.79988,2
2018,-22.903,-43.208,32.84727,-117.2742,1
2027,-22.903,-43.208,52.52437,13.41053,1
2028,-22.903,-43.208,-22.744,-43.708,14
2029,-22.903,-43.208,42.3751,-71.10561,2
2032,-22.903,-43.208,52.76667,-1.2,1
2045,-22.903,-43.208,43.60426,1.44367,1
2051,-22.903,-43.208,-5.089,-42.802,2
2054,-22.903,-43.208,39.29038,-76.61219,2
2056,-22.903,-43.208,42.44063,-76.49661,1
2058,-22.903,-43.208,37.87159,-122.27275,2
2061,-22.903,-43.208,-7.231,-35.881,1
2062,-22.903,-43.208,40.64427,-8.64554,1
2066,-22.903,-43.208,-21.697,-45.253,1
2075,-22.903,-43.208,-22.725,-47.649,3
2077,-22.903,-43.208,30.43826,-84.28073,1
2078,-22.903,-43.208,-23.961,-46.334,2
2085,-22.903,-43.208,-20.82,-49.379,1
2086,-22.903,-43.208,-34.61315,-58.37723,1
2100,-22.903,-43.208,-23.026,-45.555,1
2108,-22.903,-43.208,51.75222,-1.25596,1
2110,-22.903,-43.208,42.35843,-71.05977,2
2111,-22.903,-43.208,33.749,-84.38798,1
2116,-22.903,-43.208,40.71427,-74.00597,6
2126,-22.903,-43.208,41.30815,-72.92816,3
2128,-22.903,-43.208,25.53844,-80.40894,1
2132,-22.903,-43.208,29.76328,-95.36327,1
2134,-22.903,-43.208,50.82838,-0.13947,1
2141,-22.903,-43.208,37.44188,-122.14302,2
2143,-22.903,-43.208,42.81687,-1.64323,1
2162,-22.903,-43.208,48.76507,2.26655,2
2165,-22.903,-43.208,-22.786,-43.312,1
2182,-22.903,-43.208,37.18817,-3.60667,2
2186,-22.903,-43.208,51.97,5.66667,1
2189,-22.903,-43.208,52.40656,-1.51217,1
2192,-22.903,-43.208,-22.404,-43.663,2
2198,-22.903,-43.208,40.42972,-3.67975,2
2203,-22.903,-43.208,43.06417,141.34695,1
2211,-22.903,-43.208,35.02107,135.75385,1
2214,-22.903,-43.208,48.47629,8.93528,1
