name;name_ascii;abbr
instituto federal de educação, ciência e tecnologia de mato grosso;instituto federal de educacao, ciencia e tecnologia de mato grosso;ifmt
instituto federal de educação, ciência e tecnologia de minas gerais;instituto federal de educacao, ciencia e tecnologia de minas gerais;ifmg
instituto federal de educação, ciência e tecnologia de pernambuco;instituto federal de educacao, ciencia e tecnologia de pernambuco;ifpe
instituto federal de educação, ciência e tecnologia de santa catarina;instituto federal de educacao, ciencia e tecnologia de santa catarina;ifsc
instituto federal de educação, ciência e tecnologia de são paulo;instituto federal de educacao, ciencia e tecnologia de sao paulo;ifsp
instituto federal de educação, ciência e tecnologia do amazonas;instituto federal de educacao, ciencia e tecnologia do amazonas;ifam
instituto federal de educação, ciência e tecnologia do ceará;instituto federal de educacao, ciencia e tecnologia do ceara;ifce
instituto federal de educação, ciência e tecnologia do espírito santo;instituto federal de educacao, ciencia e tecnologia do espirito santo;ifes
instituto federal de educação, ciência e tecnologia do maranhão;instituto federal de educacao, ciencia e tecnologia do maranhao;ifma
instituto federal de educação, ciência e tecnologia do pará;instituto federal de educacao, ciencia e tecnologia do para;ifpa
instituto federal de educação, ciência e tecnologia do rio de janeiro;instituto federal de educacao, ciencia e tecnologia do rio de janeiro;ifrj
instituto federal de educação, ciência e tecnologia do rio grande do norte;instituto federal de educacao, ciencia e tecnologia do rio grande do norte;ifrn
instituto federal de educação, ciência e tecnologia do triângulo mineiro;instituto federal de educacao, ciencia e tecnologia do triangulo mineiro;iftm
instituto federal de educação, ciência e tecnologia fluminense;instituto federal de educacao, ciencia e tecnologia fluminense;iff
instituto federal de educação, ciência e tecnologia goiano;instituto federal de educacao, ciencia e tecnologia goiano;ifgoiano
instituto federal de educação, ciência e tecnologia sudeste de minas gerais;instituto federal de educacao, ciencia e tecnologia sudeste de minas gerais;ifsemg
instituto federal de educação, ciência e tecnologia sul-rio-grandense;instituto federal de educacao, ciencia e tecnologia sul-rio-grandense;ifsul
instituto militar de engenharia;instituto militar de engenharia;ime
instituto nacional da propriedade industrial;instituto nacional da propriedade industrial;inpi
instituto nacional de cardiologia;instituto nacional de cardiologia;inc
instituto nacional de câncer;instituto nacional de cancer;inca
instituto nacional de pesquisas da amazônia;instituto nacional de pesquisas da amazonia;inpa
instituto nacional de pesquisas espaciais;instituto nacional de pesquisas espaciais;inpe
instituto nacional de telecomunicações;instituto nacional de telecomunicacoes;inatel
instituto nacional de traumatologia e ortopedia;instituto nacional de traumatologia e ortopedia;into
instituto superior de administração e economia do mercosul;instituto superior de administracao e economia do mercosul;isae
instituto superior de teologia aplicada;instituto superior de teologia aplicada;inta
instituto sírio-libanês de ensino e pesquisa;instituto sirio-libanes de ensino e pesquisa;iep
instituto tecnológico de aeronáutica;instituto tecnologico de aeronautica;ita
laboratório nacional de computação ciêntífica;laboratorio nacional de computacao cientifica;lncc
museu de astronomia e ciências afins;museu de astronomia e ciencias afins;mast
núcleo paradigma ensino e consultoria em psicologia ltda;nucleo paradigma ensino e consultoria em psicologia ltda;paradigma
observatório nacional;observatorio nacional;on
pontifícia universidade católica de campinas;pontificia universidade catolica de campinas;puccamp
pontifícia universidade católica de goiás;pontificia universidade catolica de goias;puc-goiás
pontifícia universidade católica de minas gerais;pontificia universidade catolica de minas gerais;puc-mg
pontifícia universidade católica de são paulo;pontificia universidade catolica de sao paulo;puc-sp
pontifícia universidade católica do paraná;pontificia universidade catolica do parana;puc-pr
pontifícia universidade católica do rio de janeiro;pontificia universidade catolica do rio de janeiro;puc-rio
pontifícia universidade católica do rio grande do sul;pontificia universidade catolica do rio grande do sul;puc-rs
sociedade beneficente israelita brasileira albert einstein;sociedade beneficente israelita brasileira albert einstein;sbibae
sociedade brasileira de bioquímica e biologia molecular;sociedade brasileira de bioquimica e biologia molecular;sbbq
sociedade brasileira de fisiologia;sociedade brasileira de fisiologia;sbfis
sociedade brasileira de física;sociedade brasileira de fisica;sbf
sociedade brasileira de matemática;sociedade brasileira de matematica;sbm
universidade da integração internac. da lusofonia afro-brasileira;universidade da integracao internac. da lusofonia afro-brasileira;unilab
universidade de são paulo/centro de energia nuclear agricultura;universidade de sao paulo/centro de energia nuclear agricultura;usp/cena
universidade regional do noroeste do estado do rio grande do sul;universidade regional do noroeste do estado do rio grande do sul;unijuí
universidade regional integrada do alto uruguai e das missões;universidade regional integrada do alto uruguai e das missoes;uri
universidade de são paulo/escola superior de agricultura luiz de queiroz;universidade de sao paulo/escola superior de agricultura luiz de queiroz;usp/esalq
universidade  de itaúna;universidade  de itauna;ui
universidade anhanguera de são paulo;universidade anhanguera de sao paulo;unian-sp
universidade anhanguera;universidade anhanguera;uniderp
universidade anhembi morumbi;universidade anhembi morumbi;uam
universidade camilo castelo branco;universidade camilo castelo branco;unicastelo
universidade católica de brasília;universidade catolica de brasilia;ucb
universidade católica de pelotas;universidade catolica de pelotas;ucpel
universidade católica de pernambuco;universidade catolica de pernambuco;unicap
universidade católica de petrópolis;universidade catolica de petropolis;ucp/rj
universidade católica de santos;universidade catolica de santos;unisantos
universidade católica do salvador;universidade catolica do salvador;ucsal
universidade católica dom bosco;universidade catolica dom bosco;ucdb
universidade cidade de são paulo;universidade cidade de sao paulo;unicid
universidade comunitária da região de chapecó;universidade comunitaria da regiao de chapeco;unochapecó
universidade cruzeiro do sul;universidade cruzeiro do sul;unicsul
universidade cândido mendes;universidade candido mendes;ucam
universidade da amazônia;universidade da amazonia;unama
universidade da força aérea;universidade da forca aerea;unifa
universidade da região de joinville;universidade da regiao de joinville;univille
universidade de brasília;universidade de brasilia;unb
universidade de caxias do sul;universidade de caxias do sul;ucs
universidade de cruz alta;universidade de cruz alta;unicruz
universidade de cuiabá;universidade de cuiaba;unic
universidade de fortaleza;universidade de fortaleza;unifor
universidade de franca;universidade de franca;unifran
universidade de marília;universidade de marilia;unimar
universidade de mogi das cruzes;universidade de mogi das cruzes;umc
universidade de ribeirão preto;universidade de ribeirao preto;unaerp
universidade de rio verde;universidade de rio verde;fesurv
universidade de santa cruz do sul;universidade de santa cruz do sul;unisc
universidade de santo amaro;universidade de santo amaro;unisa
universidade de sorocaba;universidade de sorocaba;uniso
universidade de são paulo;universidade de sao paulo;usp
universidade de taubaté;universidade de taubate;unitau
universidade de uberaba;universidade de uberaba;uniube
universidade do contestado;universidade do contestado;unc
universidade do estado da bahia;universidade do estado da bahia;uneb
universidade do estado de mato grosso;universidade do estado de mato grosso;unemat
universidade do estado de minas gerais;universidade do estado de minas gerais;uemg
universidade do estado de santa catarina;universidade do estado de santa catarina;udesc
universidade do estado do amazonas;universidade do estado do amazonas;uea
universidade do estado do pará;universidade do estado do para;uepa
universidade do estado do rio de janeiro;universidade do estado do rio de janeiro;uerj
universidade do estado do rio grande do norte;universidade do estado do rio grande do norte;uern
universidade do extremo sul catarinense;universidade do extremo sul catarinense;unesc
universidade do grande rio - prof jose de souza herdy;universidade do grande rio - prof jose de souza herdy;unigranrio
universidade do oeste de santa catarina;universidade do oeste de santa catarina;unoesc
universidade do oeste paulista;universidade do oeste paulista;unoeste
universidade do planalto catarinense;universidade do planalto catarinense;uniplac/sc
universidade do sagrado coração;universidade do sagrado coracao;usc
universidade do sul de santa catarina;universidade do sul de santa catarina;unisul
universidade do vale do itajaí;universidade do vale do itajai;univali
universidade do vale do paraíba;universidade do vale do paraiba;univap
universidade do vale do rio dos sinos;universidade do vale do rio dos sinos;unisinos
universidade do vale do sapucai;universidade do vale do sapucai;univas
universidade estadual paulista júlio de mesquita filho;universidade estadual paulista julio de mesquita filho;unesp
universidade estadual da paraiba;universidade estadual da paraiba;uepb
universidade estadual de campinas;universidade estadual de campinas;unicamp
universidade estadual de feira de santana;universidade estadual de feira de santana;uefs
universidade estadual de goiás;universidade estadual de goias;ueg
universidade estadual de londrina;universidade estadual de londrina;uel
universidade estadual de maringá;universidade estadual de maringa;uem
universidade estadual de mato grosso do sul;universidade estadual de mato grosso do sul;uems
universidade estadual de montes claros;universidade estadual de montes claros;unimontes
universidade estadual de ponta grossa;universidade estadual de ponta grossa;uepg
universidade estadual de roraima;universidade estadual de roraima;uerr
universidade estadual de santa cruz;universidade estadual de santa cruz;uesc
universidade estadual do ceará;universidade estadual do ceara;uece
universidade estadual do centro-oeste;universidade estadual do centro-oeste;unicentro
universidade estadual do maranhão;universidade estadual do maranhao;uema
universidade estadual do norte do paraná;universidade estadual do norte do parana;uenp
universidade estadual do norte fluminense darcy ribeiro;universidade estadual do norte fluminense darcy ribeiro;uenf
universidade estadual do oeste do paraná;universidade estadual do oeste do parana;unioeste
universidade estadual do paraná;universidade estadual do parana;unespar
universidade estadual do piauí;universidade estadual do piaui;uespi
universidade estadual do sudoeste da bahia;universidade estadual do sudoeste da bahia;uesb
universidade estadual vale do acaraú;universidade estadual vale do acarau;uva-ce
universidade estácio de sá;universidade estacio de sa;unesa
universidade federal da bahia;universidade federal da bahia;ufba
universidade federal da fronteira sul;universidade federal da fronteira sul;uffs
universidade federal da grande dourados;universidade federal da grande dourados;ufgd
universidade federal da integração latino-americana;universidade federal da integracao latino-americana;unila
universidade federal da paraiba;universidade federal da paraiba;ufpb
universidade federal de alagoas;universidade federal de alagoas;ufal
universidade federal de alfenas;universidade federal de alfenas;unifal
universidade federal de campina grande;universidade federal de campina grande;ufcg
universidade federal de goiás;universidade federal de goias;ufg
universidade federal de itajubá;universidade federal de itajuba;unifei
universidade federal de juiz de fora;universidade federal de juiz de fora;ufjf
universidade federal de lavras;universidade federal de lavras;ufla
universidade federal de mato grosso;universidade federal de mato grosso;ufmt
universidade federal de minas gerais;universidade federal de minas gerais;ufmg
universidade federal de ouro preto;universidade federal de ouro preto;ufop
universidade federal de pelotas;universidade federal de pelotas;ufpel
universidade federal de pernambuco;universidade federal de pernambuco;ufpe
universidade federal de rondônia;universidade federal de rondonia;unir
universidade federal de santa catarina;universidade federal de santa catarina;ufsc
universidade federal de santa maria;universidade federal de santa maria;ufsm
universidade federal de são carlos;universidade federal de sao carlos;ufscar
universidade federal de são joão del-rei;universidade federal de sao joao del-rei;ufsj
universidade federal de são paulo;universidade federal de sao paulo;unifesp
universidade federal de uberlândia;universidade federal de uberlandia;ufu
universidade federal de viçosa;universidade federal de vicosa;ufv
universidade federal do acre;universidade federal do acre;ufac
universidade federal do amapá;universidade federal do amapa;unifap
universidade federal do amazonas;universidade federal do amazonas;ufam
universidade federal do cariri;universidade federal do cariri;ufca
universidade federal do ceará;universidade federal do ceara;ufc
universidade federal do espírito santo;universidade federal do espirito santo;ufes
universidade federal do estado do rio de janeiro;universidade federal do estado do rio de janeiro;unirio
universidade federal do maranhão;universidade federal do maranhao;ufma
universidade federal do oeste da bahia;universidade federal do oeste da bahia;ufob
universidade federal do oeste do pará;universidade federal do oeste do para;ufopa
universidade federal do paraná;universidade federal do parana;ufpr
universidade federal do pará;universidade federal do para;ufpa
universidade federal do recôncavo da bahia;universidade federal do reconcavo da bahia;ufrb
universidade federal do rio de janeiro;universidade federal do rio de janeiro;ufrj
universidade federal do rio grande do norte;universidade federal do rio grande do norte;ufrn
universidade federal do rio grande do sul;universidade federal do rio grande do sul;ufrgs
universidade federal do rio grande;universidade federal do rio grande;furg
universidade federal do sul e sudeste do pará;universidade federal do sul e sudeste do para;unifesspa
universidade federal do triângulo mineiro;universidade federal do triangulo mineiro;uftm
universidade federal do vale do são francisco;universidade federal do vale do sao francisco;univasf
universidade federal dos vales do jequitinhonha e mucuri;universidade federal dos vales do jequitinhonha e mucuri;ufvjm
universidade federal fluminense;universidade federal fluminense;uff
universidade federal rural da amazônia;universidade federal rural da amazonia;ufra
universidade federal rural de pernambuco;universidade federal rural de pernambuco;ufrpe
universidade federal rural do rio de janeiro;universidade federal rural do rio de janeiro;ufrrj
universidade federal rural do semi-árido;universidade federal rural do semi-arido;ufersa
universidade feevale;universidade feevale;feevale
universidade fumec;universidade fumec;fumec
universidade guarulhos;universidade guarulhos;ung
universidade ibirapuera;universidade ibirapuera;unib
universidade josé do rosário vellano;universidade jose do rosario vellano;unifenas
universidade luterana do brasil;universidade luterana do brasil;ulbra
universidade metodista de piracicaba;universidade metodista de piracicaba;unimep
universidade metodista de são paulo;universidade metodista de sao paulo;umesp
universidade metropolitana de santos;universidade metropolitana de santos;unimes
universidade municipal de são caetano do sul;universidade municipal de sao caetano do sul;uscs
universidade nilton lins;universidade nilton lins;uninilton
universidade norte do paraná;universidade norte do parana;unopar
universidade nove de julho;universidade nove de julho;uninove
universidade paranaense;universidade paranaense;unipar
universidade paulista;universidade paulista;unip
universidade positivo;universidade positivo;up
universidade potiguar;universidade potiguar;unp
universidade presbiteriana mackenzie;universidade presbiteriana mackenzie;upm
universidade presidente antonio carlos;universidade presidente antonio carlos;unipac
universidade regional de blumenau;universidade regional de blumenau;furb
universidade regional do cariri;universidade regional do cariri;urca
universidade salgado de oliveira;universidade salgado de oliveira;universo
universidade salvador;universidade salvador;unifacs
universidade santa cecília;universidade santa cecilia;unisanta
universidade santa úrsula;universidade santa ursula;usu
universidade severino sombra;universidade severino sombra;uss
universidade são francisco;universidade sao francisco;usf
universidade são judas tadeu;universidade sao judas tadeu;usjt
universidade tecnológica federal do paraná;universidade tecnologica federal do parana;utfpr
universidade tiradentes;universidade tiradentes;unit-se
universidade tuiuti do paraná;universidade tuiuti do parana;utp
universidade vale do rio doce;universidade vale do rio doce;univale
universidade vale do rio verde;universidade vale do rio verde;unincor
universidade veiga de almeida;universidade veiga de almeida;uva
universidade vila velha;universidade vila velha;uvv
