"name";"name_ascii";"abbr";"latitude";"longitude"
"faculdade einstein";"faculdade einstein";"";-12.971;-38.511
"faculdade estação";"faculdade estacao";"";-25.428;-49.273
"faculdade paraíso";"faculdade paraiso";"";-22.827;-43.054
"faculdade de sorriso";"faculdade de sorriso";"";-12.545;-55.711
"faculdade paranapanema";"faculdade paranapanema";"";-22.756;-51.379
"faculdade paulista de educação e comunicação";"faculdade paulista de educacao e comunicacao";"";-23.656;-47.223
"faculdade paulista de pesquisa e ensino superior";"faculdade paulista de pesquisa e ensino superior";"";-23.548;-46.636
"faculdade paulista de serviço social";"faculdade paulista de servico social";"";-23.548;-46.636
"faculdade de educação de jaru";"faculdade de educacao de jaru";"";-10.439;-62.466
"faculdade de presidente prudente";"faculdade de presidente prudente";"";-22.126;-51.389
"faculdade presidente antônio carlos de teófilo otoni";"faculdade presidente antonio carlos de teofilo otoni";"";-17.858;-41.505
"instituto salvador de ensino e cultura";"instituto salvador de ensino e cultura";"";-12.971;-38.511
"faculdade santa rita";"faculdade santa rita";"";-20.66;-43.786
"faculdade santo agostinho";"faculdade santo agostinho";"";-5.089;-42.802
"faculdades integradas dos campos gerais";"faculdades integradas dos campos gerais";"";-25.095;-50.162
"faculdades integradas rio branco";"faculdades integradas rio branco";"";-23.548;-46.636
"faculdade de ciências humanas de cruzeiro";"faculdade de ciencias humanas de cruzeiro";"";-22.576;-44.963
"faculdade faccentro";"faculdade faccentro";"";-30.033;-51.23
"universidade presbiteriana mackenzie";"universidade presbiteriana mackenzie";"";-23.548;-46.636
"faculdade união araruama de ensino s/s ltda.";"faculdade uniao araruama de ensino s/s ltda.";"";-22.873;-42.343
"faculdade de tecnologia ensitec";"faculdade de tecnologia ensitec";"";-25.428;-49.273
"faculdade união de goyazes";"faculdade uniao de goyazes";"";-16.649;-49.489
"faculdade visconde de cairú";"faculdade visconde de cairu";"";-12.971;-38.511
"instituto de ensino superior fucapi";"instituto de ensino superior fucapi";"";-3.102;-60.025
"instituto federal de educação, ciência e tecnologia do rio grande do sul";"instituto federal de educacao, ciencia e tecnologia do rio grande do sul";"";-29.171;-51.519
"faculdade minas gerais";"faculdade minas gerais";"";-19.817;-43.956
"escola superior de teologia";"escola superior de teologia";"";-29.76;-51.147
"faculdade adelmar rosado";"faculdade adelmar rosado";"";-5.089;-42.802
"faculdade adventista paranaense";"faculdade adventista paranaense";"";-23.619;-52.221
"faculdade alfacastelo";"faculdade alfacastelo";"";-23.511;-46.876
"instituto superior de educação de barretos";"instituto superior de educacao de barretos";"";-20.557;-48.568
"faculdade dehoniana";"faculdade dehoniana";"";-23.026;-45.555
"imp de ensino superior - imp";"imp de ensino superior - imp";"";-15.78;-47.93
"insper instituto de ensino e pesquisa";"insper instituto de ensino e pesquisa";"";-23.548;-46.636
"instituto de ensino superior franciscano";"instituto de ensino superior franciscano";"";-2.532;-44.108
"faculdade de tecnologia cachoeiro de itapemirim";"faculdade de tecnologia cachoeiro de itapemirim";"";-20.849;-41.113
"faculdade seqüencial";"faculdade sequencial";"";-23.548;-46.636
"faculdade uirapuru";"faculdade uirapuru";"";-23.502;-47.458
"fundação universidade federal do tocantins";"fundacao universidade federal do tocantins";"";-10.167;-48.333
"universidade estadual de goiás";"universidade estadual de goias";"";-16.327;-48.953
"universidade são francisco";"universidade sao francisco";"";-22.952;-46.542
"instituto santo tomás de aquino";"instituto santo tomas de aquino";"";-19.817;-43.956
"instituto superior de educação alvorada plus";"instituto superior de educacao alvorada plus";"";-23.548;-46.636
"instituto superior de educação ateneu";"instituto superior de educacao ateneu";"";-20.33;-40.292
"instituto superior de educação da serra";"instituto superior de educacao da serra";"";-20.129;-40.308
"faculdade de jaguariúna";"faculdade de jaguariuna";"";-22.706;-46.986
"faculdade da igreja ministério fama";"faculdade da igreja ministerio fama";"";-16.679;-49.254
"faculdade de administração";"faculdade de administracao";"";-7.191;-48.207
"faculdade de administração da fespsp";"faculdade de administracao da fespsp";"";-23.548;-46.636
"faculdade de administração de assis";"faculdade de administracao de assis";"";-22.662;-50.412
"faculdade de administração de cataguases";"faculdade de administracao de cataguases";"";-21.389;-42.697
"faculdade de comunicação pitágoras unidade guarapari";"faculdade de comunicacao pitagoras unidade guarapari";"";-20.658;-40.511
"centro universitário facex";"centro universitario facex";"";-5.795;-35.209
"centro universitário luterano de manaus";"centro universitario luterano de manaus";"";-3.102;-60.025
"centro universitário metropolitano de são paulo";"centro universitario metropolitano de sao paulo";"";-23.463;-46.533
"centro universitário módulo";"centro universitario modulo";"";-23.62;-45.413
"faculdade de informática lemos de castro";"faculdade de informatica lemos de castro";"";-22.903;-43.208
"faculdade de tecnologia senai anchieta";"faculdade de tecnologia senai anchieta";"";-23.548;-46.636
"faculdade octógono";"faculdade octogono";"";-23.664;-46.538
"instituto nacional de ensino superior e pós-graduação padre gervásio";"instituto nacional de ensino superior e pos-graduacao padre gervasio";"";-22.23;-45.936
"faculdade canção nova";"faculdade cancao nova";"";-22.665;-45.009
"faculdade casa branca";"faculdade casa branca";"";-21.774;-47.086
"faculdade cásper líbero";"faculdade casper libero";"";-23.548;-46.636
"faculdade católica santa teresinha";"faculdade catolica santa teresinha";"";-6.458;-37.098
"instituto superior de educação de matias barbosa";"instituto superior de educacao de matias barbosa";"";-21.869;-43.319
"faculdade intermunicipal do noroeste do paraná";"faculdade intermunicipal do noroeste do parana";"";-22.923;-53.137
"centro universitário da faculdade de saúde, ciências humanas e tecnológicas do piauí";"centro universitario da faculdade de saude, ciencias humanas e tecnologicas do piaui";"";-5.089;-42.802
"centro regional universitário de espírito santo do pinhal";"centro regional universitario de espirito santo do pinhal";"";-22.191;-46.741
"centro universitário toledo";"centro universitario toledo";"";-21.209;-50.433
"faculdade da serra gaúcha";"faculdade da serra gaucha";"";-29.168;-51.179
"faculdade de americana";"faculdade de americana";"";-22.739;-47.331
"universidade federal do rio grande do norte";"universidade federal do rio grande do norte";"ufrn";-5.795;-35.209
"faculdade de ciências contábeis de nova andradina - facinan";"faculdade de ciencias contabeis de nova andradina - facinan";"";-22.233;-53.343
"faculdade de ilha solteira";"faculdade de ilha solteira";"";-20.433;-51.343
"instituto tecnológico e das ciências sociais aplicadas e da saúde do centro educ. n. srª auxiliadora";"instituto tecnologico e das ciencias sociais aplicadas e da saude do centro educ. n. srª auxiliadora";"";-21.754;-41.324
"escola superior de tecnologia e educação de rio claro";"escola superior de tecnologia e educacao de rio claro";"";-22.411;-47.561
"faculdade alagoana de administração";"faculdade alagoana de administracao";"";-9.666;-35.735
"faculdades integradas padre albino";"faculdades integradas padre albino";"";-21.138;-48.973
"faculdade do guarujá";"faculdade do guaruja";"";-23.993;-46.256
"faculdade do maranhão";"faculdade do maranhao";"";-2.53;-44.303
"faculdade do norte novo de apucarana";"faculdade do norte novo de apucarana";"";-23.551;-51.461
"faculdade do sudeste mineiro";"faculdade do sudeste mineiro";"";-21.764;-43.35
"faculdade de tecnologia rubens lara";"faculdade de tecnologia rubens lara";"";-23.961;-46.334
"faculdade de telêmaco borba";"faculdade de telemaco borba";"";-24.324;-50.616
"faculdade afirmativo";"faculdade afirmativo";"";-15.596;-56.097
"faculdade adjetivo cetep";"faculdade adjetivo cetep";"";-20.378;-43.416
"faculdade de tecnologia estácio de curitiba";"faculdade de tecnologia estacio de curitiba";"";-25.428;-49.273
"faculdade de tecnologia evolução";"faculdade de tecnologia evolucao";"";-3.717;-38.543
"instituto manchester paulista de ensino superior";"instituto manchester paulista de ensino superior";"";-23.502;-47.458
"christus faculdade do piauí";"christus faculdade do piaui";"";-4.273;-41.777
"escola brasileira de administração pública e de empresas";"escola brasileira de administracao publica e de empresas";"";;
"faculdade de roseira";"faculdade de roseira";"";-22.898;-45.305
"faculdade redentor";"faculdade redentor";"";-21.205;-41.888
"faculdade anglo-americano de chapecó";"faculdade anglo-americano de chapeco";"";-27.096;-52.618
"faculdade de educação ciências e letras de paraíso";"faculdade de educacao ciencias e letras de paraiso";"";-10.176;-48.867
"faculdade metropolitana de caieiras";"faculdade metropolitana de caieiras";"";-23.364;-46.741
"faculdade de minas bh";"faculdade de minas bh";"";-19.817;-43.956
"faculdades integradas urubupungá";"faculdades integradas urubupunga";"";-20.638;-51.109
"faculdades integradas vianna júnior";"faculdades integradas vianna junior";"";-21.764;-43.35
"faculdade sul fluminense";"faculdade sul fluminense";"";-22.523;-44.104
"faculdade vale do gorutuba";"faculdade vale do gorutuba";"";-15.803;-43.301
"trevisan escola superior de negócios";"trevisan escola superior de negocios";"";-23.548;-46.636
"união latino-americada de tecnologia";"uniao latino-americada de tecnologia";"";-24.251;-49.706
"faculdade de filosofia, ciências e letras de ibitinga";"faculdade de filosofia, ciencias e letras de ibitinga";"";-21.758;-48.829
"faculdade de ciências sociais aplicadas";"faculdade de ciencias sociais aplicadas";"";-26.962;-52.535
"centro universitário de sete lagoas";"centro universitario de sete lagoas";"";-19.466;-44.247
"universidade municipal de são caetano do sul";"universidade municipal de sao caetano do sul";"";-23.623;-46.551
"universidade federal rural de pernambuco";"universidade federal rural de pernambuco";"ufrpe";-8.054;-34.881
"faculdade entre rios do piauí";"faculdade entre rios do piaui";"";-5.089;-42.802
"faculdade táhirih";"faculdade tahirih";"";-3.102;-60.025
"faculdade cearense";"faculdade cearense";"";-3.717;-38.543
"faculdade presidente antônio carlos de arcos";"faculdade presidente antonio carlos de arcos";"";-20.282;-45.539
"faculdade presidente antônio carlos de elói mendes";"faculdade presidente antonio carlos de eloi mendes";"";-21.61;-45.565
"faculdade presidente antônio carlos de são lourenço";"faculdade presidente antonio carlos de sao lourenco";"";-22.116;-45.054
"faculdade cenecista de sete lagoas";"faculdade cenecista de sete lagoas";"";-19.466;-44.247
"faculdade de direito de contagem";"faculdade de direito de contagem";"";-19.932;-44.054
"faculdade de tecnologia senai jaraguá do sul";"faculdade de tecnologia senai jaragua do sul";"";-26.486;-49.067
"faculdade de belém";"faculdade de belem";"";-1.456;-48.504
"faculdade stella maris";"faculdade stella maris";"";-3.717;-38.543
"faculdade três pontas";"faculdade tres pontas";"";-21.367;-45.513
"universidade estadual de campinas";"universidade estadual de campinas";"";-22.906;-47.061
"faculdade são fidelis";"faculdade sao fidelis";"";-21.646;-41.747
"faculdade são francisco de juazeiro";"faculdade sao francisco de juazeiro";"";-9.414;-40.503
"escola superior de aviação civil";"escola superior de aviacao civil";"";-7.231;-35.881
"faculdade de ciências humanas de fortaleza";"faculdade de ciencias humanas de fortaleza";"";-3.717;-38.543
"faculdade decision de negócios";"faculdade decision de negocios";"";-30.033;-51.23
"faculdade de enfermagem são vicente de paula";"faculdade de enfermagem sao vicente de paula";"";-7.115;-34.863
"faculdade de tecnologia senai antônio adolpho lobbe";"faculdade de tecnologia senai antonio adolpho lobbe";"";-22.018;-47.891
"faculdade de tecnologia senai cetind";"faculdade de tecnologia senai cetind";"";-12.894;-38.327
"faculdade palotina";"faculdade palotina";"";-29.684;-53.807
"faculdade de tecnologia de jahu";"faculdade de tecnologia de jahu";"";-22.296;-48.558
"faculdade escritor osman da costa lins";"faculdade escritor osman da costa lins";"";-8.118;-35.291
"faculdade presidente antônio carlos de almenara";"faculdade presidente antonio carlos de almenara";"";-16.184;-40.694
"faculdade de engenharia e inovação técnico profissi";"faculdade de engenharia e inovacao tecnico profissi";"";-23.425;-51.939
"faculdade de engenharia souza marques";"faculdade de engenharia souza marques";"";-22.903;-43.208
"faculdade de ensino superior da amazônia";"faculdade de ensino superior da amazonia";"";0.039;-51.066
"faculdade de ensino superior de marechal cândido rondon";"faculdade de ensino superior de marechal candido rondon";"";-24.556;-54.057
"faculdade de ensino superior do nordeste";"faculdade de ensino superior do nordeste";"";-7.115;-34.863
"faculdade santa cecília";"faculdade santa cecilia";"";-22.924;-45.462
"pontifícia universidade católica de minas gerais";"pontificia universidade catolica de minas gerais";"";-19.817;-43.956
"universidade federal de juiz de fora";"universidade federal de juiz de fora";"ufjf";-21.764;-43.35
"universidade federal de pelotas";"universidade federal de pelotas";"ufpel";-31.772;-52.343
"universidade federal do amazonas";"universidade federal do amazonas";"ufam";-3.102;-60.025
"faculdade sedac";"faculdade sedac";"";-15.647;-56.133
"faculdade de enfermagem de passos";"faculdade de enfermagem de passos";"";-20.719;-46.61
"faculdade de enfermagem luiza de marillac";"faculdade de enfermagem luiza de marillac";"";-22.903;-43.208
"faculdade de enfermagem nova esperança";"faculdade de enfermagem nova esperanca";"";-7.115;-34.863
"faculdade polis das artes";"faculdade polis das artes";"";-23.649;-46.852
"faculdade de ensino superior da paraíba";"faculdade de ensino superior da paraiba";"";-7.115;-34.863
"instituto taquaritinguense de ensino superior dr. aristides de carvalho schlobach";"instituto taquaritinguense de ensino superior dr. aristides de carvalho schlobach";"";-21.406;-48.505
"faculdade bezerra de araújo";"faculdade bezerra de araujo";"";-22.903;-43.208
"universidade salvador";"universidade salvador";"";-12.971;-38.511
"faculdade brasileira";"faculdade brasileira";"";-20.319;-40.338
"centro universitário senac";"centro universitario senac";"";-23.548;-46.636
"faculdade ccaa";"faculdade ccaa";"";-22.903;-43.208
"universidade severino sombra";"universidade severino sombra";"";-22.404;-43.663
"faculdade pitágoras de ipatinga";"faculdade pitagoras de ipatinga";"";-19.468;-42.537
"faculdade pitágoras de teixeira de freitas";"faculdade pitagoras de teixeira de freitas";"";-17.535;-39.742
"faculdade presidente antônio carlos de uberlândia";"faculdade presidente antonio carlos de uberlandia";"";-18.919;-48.277
"faculdades integradas barros melo";"faculdades integradas barros melo";"";-8.009;-34.855
"faculdade seama";"faculdade seama";"";0.039;-51.066
"faculdade anhangüera de são josé";"faculdade anhanguera de sao jose";"";-23.179;-45.887
"faculdade campo grande";"faculdade campo grande";"";-20.443;-54.646
"faculdade campo real";"faculdade campo real";"";-25.395;-51.458
"faculdade da aldeia de carapicuíba";"faculdade da aldeia de carapicuiba";"";-23.523;-46.836
"faculdade do norte goiano";"faculdade do norte goiano";"";-13.441;-49.149
"faculdade alfa";"faculdade alfa";"";-24.006;-46.403
"faculdade de jussara";"faculdade de jussara";"";-15.865;-50.868
"faculdade de tecnologia de catalão";"faculdade de tecnologia de catalao";"";-18.17;-47.942
"faculdade de tecnologia de diadema luigi papaiz";"faculdade de tecnologia de diadema luigi papaiz";"";-23.686;-46.623
"faculdade de tecnologia de jacareí";"faculdade de tecnologia de jacarei";"";-23.305;-45.966
"faculdade de tecnologia de palmas";"faculdade de tecnologia de palmas";"";-10.167;-48.333
"faculdade de tecnologia de valença";"faculdade de tecnologia de valenca";"";-13.37;-39.073
"faculdade cotemig";"faculdade cotemig";"";-19.817;-43.956
"faculdade ação";"faculdade acao";"";-27.214;-49.643
"faculdade madre tereza";"faculdade madre tereza";"";-0.058;-51.182
"instituto superior de educação de goiana";"instituto superior de educacao de goiana";"";-7.561;-35.003
"instituto superior de educação de guaratuba";"instituto superior de educacao de guaratuba";"";-25.883;-48.575
"universidade federal de são carlos";"universidade federal de sao carlos";"ufscar";-22.018;-47.891
"faculdades futurão";"faculdades futurao";"";-28.935;-49.486
"faculdade de guararapes";"faculdade de guararapes";"";-21.261;-50.643
"faculdade de tecnologia interamérica";"faculdade de tecnologia interamerica";"";-23.548;-46.636
"faculdade politécnica de campinas";"faculdade politecnica de campinas";"";-22.906;-47.061
"faculdades atibaia";"faculdades atibaia";"";-23.117;-46.55
"faculdade de almenara";"faculdade de almenara";"";-16.184;-40.694
"faculdade anhanguera de passo fundo";"faculdade anhanguera de passo fundo";"";-28.263;-52.407
"faculdade anhanguera de pelotas";"faculdade anhanguera de pelotas";"";-31.772;-52.343
"faculdade arthur sá earp neto";"faculdade arthur sa earp neto";"";-22.505;-43.179
"faculdade avantis";"faculdade avantis";"";-26.991;-48.635
"instituto superior de educação de santos dumont";"instituto superior de educacao de santos dumont";"";-21.457;-43.553
"instituto superior de educação de são paulo";"instituto superior de educacao de sao paulo";"";-23.548;-46.636
"instituto superior de educação de tupi paulista";"instituto superior de educacao de tupi paulista";"";-21.381;-51.571
"instituto superior de educação do alto são francisco";"instituto superior de educacao do alto sao francisco";"";-19.16;-45.446
"faculdade reinaldo ramos";"faculdade reinaldo ramos";"";-7.231;-35.881
"universidade estadual de londrina";"universidade estadual de londrina";"";-23.31;-51.163
"faculdade estácio de sá de belo horizonte";"faculdade estacio de sa de belo horizonte";"";-19.817;-43.956
"faculdades integradas de santa fé do sul";"faculdades integradas de santa fe do sul";"";-20.211;-50.926
"universidade federal de uberlândia";"universidade federal de uberlandia";"ufu";-18.919;-48.277
"faculdade vasco da gama";"faculdade vasco da gama";"";-12.971;-38.511
"faculdade cesmac do agreste";"faculdade cesmac do agreste";"";-9.752;-36.661
"faculdade comunitária de guarapari";"faculdade comunitaria de guarapari";"";-20.658;-40.511
"faculdade comunitária de vila velha";"faculdade comunitaria de vila velha";"";-20.33;-40.292
"faculdade comunitária de vitória";"faculdade comunitaria de vitoria";"";-20.319;-40.338
"faculdades integradas paulista";"faculdades integradas paulista";"";-23.548;-46.636
"faculdade de santa catarina";"faculdade de santa catarina";"";-27.615;-48.628
"faculdade de são josé dos campos";"faculdade de sao jose dos campos";"";-23.179;-45.887
"faculdade de sorocaba";"faculdade de sorocaba";"";-23.502;-47.458
"faculdade de tecnologia alfa de umuarama";"faculdade de tecnologia alfa de umuarama";"";-23.766;-53.325
"faculdade de tecnologia álvares de azevedo";"faculdade de tecnologia alvares de azevedo";"";-23.548;-46.636
"faculdade de ciências sociais e agrárias de itapeva";"faculdade de ciencias sociais e agrarias de itapeva";"";-23.982;-48.876
"faculdade faccat";"faculdade faccat";"";-21.935;-50.514
"faculdade juvêncio terra";"faculdade juvencio terra";"";-14.866;-40.839
"faculdade latino americana de educação";"faculdade latino americana de educacao";"";-3.717;-38.543
"faculdade líder";"faculdade lider";"";-8.002;-35.018
"faculdade maranhense são josé dos cocais";"faculdade maranhense sao jose dos cocais";"";-5.094;-42.837
"faculdade maria milza - campus factae";"faculdade maria milza - campus factae";"";-12.67;-39.102
"faculdade anglicana de erechim";"faculdade anglicana de erechim";"";-27.634;-52.274
"faculdade batista do rio de janeiro";"faculdade batista do rio de janeiro";"";-22.903;-43.208
"faculdade brasília de são paulo";"faculdade brasilia de sao paulo";"";-23.548;-46.636
"faculdade calafiori";"faculdade calafiori";"";-20.917;-46.991
"faculdade capivari";"faculdade capivari";"";-28.445;-48.958
"faculdade católica de fortaleza";"faculdade catolica de fortaleza";"";-3.717;-38.543
"faculdade do acre";"faculdade do acre";"";-9.975;-67.81
"faculdade batista de minas gerais";"faculdade batista de minas gerais";"";-19.817;-43.956
"faculdade de tecnologia oswaldo cruz";"faculdade de tecnologia oswaldo cruz";"";-23.548;-46.636
"faculdade de tecnologia pastor dohms";"faculdade de tecnologia pastor dohms";"";-30.033;-51.23
"faculdade de teologia, filosofia e ciências humanas gamaliel";"faculdade de teologia, filosofia e ciencias humanas gamaliel";"";-3.768;-49.673
"faculdade de educação são luís";"faculdade de educacao sao luis";"";-21.255;-48.322
"faculdade da saúde e ecologia humana";"faculdade da saude e ecologia humana";"";-19.692;-43.923
"libertas - faculdades integradas";"libertas - faculdades integradas";"";-20.917;-46.991
"nova faculdade";"nova faculdade";"";-19.932;-44.054
"união de ensino superior de nova mutum";"uniao de ensino superior de nova mutum";"";-13.838;-56.084
"centro universitário municipal de são josé";"centro universitario municipal de sao jose";"";-27.615;-48.628
"faculdade de direito promove";"faculdade de direito promove";"";-19.817;-43.956
"faculdade sant´anna de salto";"faculdade sant´anna de salto";"";-23.201;-47.287
"faculdade de tecnologia senai londrina";"faculdade de tecnologia senai londrina";"";-23.31;-51.163
"faculdade shalom de ensino superior";"faculdade shalom de ensino superior";"";-18.919;-48.277
"faculdades integradas de angeles";"faculdades integradas de angeles";"";-21.209;-50.433
"faculdades integradas de ponta porã";"faculdades integradas de ponta pora";"";-22.536;-55.726
"faculdade de pindamonhangaba";"faculdade de pindamonhangaba";"";-22.924;-45.462
"escola de direito de brasília";"escola de direito de brasilia";"";-15.78;-47.93
"faculdade do seridó";"faculdade do serido";"";-6.261;-36.515
"faculdade educação física de passos";"faculdade educacao fisica de passos";"";-20.719;-46.61
"faculdade educacional de cornélio procópio";"faculdade educacional de cornelio procopio";"";-23.181;-50.647
"faculdade educacional de matelândia";"faculdade educacional de matelandia";"";-25.241;-53.996
"sinal - faculdade de teologia e filosofia";"sinal - faculdade de teologia e filosofia";"";-9.975;-67.81
"faculdade serra do carmo";"faculdade serra do carmo";"";-10.167;-48.333
"faculdade serrana de ensino superior";"faculdade serrana de ensino superior";"";-15.78;-47.93
"faculdades evangélicas integradas cantares de salomão";"faculdades evangelicas integradas cantares de salomao";"";-15.596;-56.097
"faculdade sinergia";"faculdade sinergia";"";-26.899;-48.654
"faculdades integradas adventistas de minas gerais";"faculdades integradas adventistas de minas gerais";"";-21.245;-45
"universidade bandeirante de são paulo";"universidade bandeirante de sao paulo";"";-23.548;-46.636
"universidade nove de julho";"universidade nove de julho";"";-23.548;-46.636
"universidade de são paulo";"universidade de sao paulo";"";-23.548;-46.636
