id,name,status,city,latitude,longitude,name_simple
4307,"31004016 UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO (UERJ)",1,"Rio de Janeiro - RJ",-22.903,-43.208,NULL
5100,"31066011 FUNDAÇÃO CESGRANRIO (CESGRANRIO)",1,"Rio de Janeiro - RJ",-22.903,-43.208,NULL
3318,"31045014 ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS (ENCE)",1,"Rio de Janeiro - RJ",-22.903,-43.208,NULL
5118,"31011012 FUNDAÇÃO GETÚLIO VARGAS/RJ (FGV/RJ)",1,"Rio de Janeiro - RJ",-22.903,-43.208,NULL
2139,"42004012 UNIVERSIDADE FEDERAL DO RIO GRANDE (FURG)",1,"Rio Grande - RS",-32.035,-52.099,NULL
5201,"32044011 INSTITUTO FED. EDUC., CIÊNC. E TECN. SUDESTE DE MINAS GERAIS (IFSEMG)",1,"Rio Pomba - MG",-21.275,-43.179,NULL
5294,"24001040 UNIVERSIDADE FEDERAL DA PARAÍBA/RIO TINTO (UFPB/RT)",1,"Rio Tinto - PB",-6.803,-35.081,NULL
3847,"52004015 UNIVERSIDADE DE RIO VERDE (FESURV)",1,"Rio Verde - GO",-17.798,-50.928,NULL
5203,"52010015 INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO (IFGoiano)",1,"Rio Verde - GO",-17.798,-50.928,NULL
3840,"28023013 FACULDADE DE TECNOLOGIA SENAI CIMATEC (CIMATEC)",1,"Salvador - BA",-12.971,-38.511,NULL
4354,"28001010 UNIVERSIDADE FEDERAL DA BAHIA (UFBA)",1,"Salvador - BA",-12.971,-38.511,NULL
5144,"28011015 FUNDACAO VISCONDE DE CAIRU (FVC)",1,"Salvador - BA",-12.971,-38.511,NULL
3870,"28005015 UNIVERSIDADE DO ESTADO DA BAHIA (UNEB)",1,"Salvador - BA",-12.971,-38.511,NULL
4655,"28025016 CENTRO DE PESQUISA GONÇALO MONIZ - FIOCRUZ (CPqGM)",1,"Salvador - BA",-12.971,-38.511,NULL
4253,"28003012 UNIVERSIDADE CATÓLICA DO SALVADOR (UCSAL)",1,"Salvador - BA",-12.971,-38.511,NULL
2480,"28024010 FACULDADE DE TECNOLOGIA E CIÊNCIAS (FTC)",1,"Salvador - BA",-12.971,-38.511,NULL
4286,"28008014 ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA (EBMSP)",1,"Salvador - BA",-12.971,-38.511,NULL
3804,"28013018 UNIVERSIDADE SALVADOR (UNIFACS)",1,"Salvador - BA",-12.971,-38.511,NULL
3464,"42020018 UNIVERSIDADE DE SANTA CRUZ DO SUL (UNISC)",1,"Santa Cruz do Sul - RS",-29.718,-52.426,NULL
4359,"42002010 UNIVERSIDADE FEDERAL DE SANTA MARIA (UFSM)",1,"Santa Maria - RS",-29.684,-53.807,NULL
3984,"42039010 CENTRO UNIVERSITÁRIO FRANCISCANO (UNIFRA)",1,"Santa Maria - RS",-29.684,-53.807,NULL
2196,"32057016 INSTITUTO NACIONAL DE TELECOMUNICAÇÕES (INATEL)",1,"Santa Rita do Sapucaí - MG",-22.252,-45.703,NULL
2523,"15010015 UNIVERSIDADE FEDERAL DO OESTE DO PARÁ (UFOPA)",1,"Santarém - PA",-2.443,-54.708,NULL
3123,"33112010 FACULDADE DE MEDICINA DO ABC (FMABC)",1,"Santo André - SP",-23.664,-46.538,NULL
4183,"33144010 FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC (UFABC)",1,"Santo André - SP",-23.664,-46.538,NULL
5249,"42010012 UNIV. REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES (URI)",1,"Santo Ângelo - RS",-28.299,-54.263,NULL
4613,"33087016 UNIVERSIDADE SANTA CECÍLIA (UNISANTA)",1,"Santos - SP",-23.961,-46.334,NULL
4614,"33103011 UNIVERSIDADE METROPOLITANA DE SANTOS (UNIMES)",1,"Santos - SP",-23.961,-46.334,NULL
3136,"33077010 CENTRO UNIVERSITÁRIO LUSÍADA (UNILUS)",1,"Santos - SP",-23.961,-46.334,NULL
3139,"33020019 UNIVERSIDADE CATÓLICA DE SANTOS (UNISANTOS)",1,"Santos - SP",-23.961,-46.334,NULL
4993,"33027013 CENTRO UNIVERSITARIO DA FEI (FEI)",1,"São Bernardo do Campo - SP",-23.694,-46.565,NULL
2711,"33017018 UNIVERSIDADE METODISTA DE SÃO PAULO (UMESP)",1,"São Bernardo do Campo - SP",-23.694,-46.565,NULL
4383,"33110018 UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL (USCS)",1,"São Caetano do Sul - SP",-23.623,-46.551,NULL
2464,"33069018 CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA (CEUN-IMT)",1,"São Caetano do Sul - SP",-23.623,-46.551,NULL
5257,"33002045 UNIVERSIDADE DE SÃO PAULO/SÃO CARLOS (USP/SC)",1,"São Carlos - SP",-22.018,-47.891,NULL
5138,"27001016 FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE (FUFSE)",1,"São Cristóvão - SE",-11.015,-37.206,NULL
2035,"32018010 Universidade Federal de São João del-Rei (UFSJ)",1,"São João del Rei - MG",-21.136,-44.262,NULL
5273,"33004153 UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/SJR. PRETO (UNESP/SJRP)",1,"São José do Rio Preto - SP",-20.82,-49.379,NULL
2500,"33031010 FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO (FAMERP)",1,"São José do Rio Preto - SP",-20.82,-49.379,NULL
4382,"33011010 INSTITUTO TECNOLÓGICO DE AERONÁUTICA (ITA)",1,"São José dos Campos - SP",-23.179,-45.887,NULL
3375,"33051011 UNIVERSIDADE DO VALE DO PARAÍBA (UNIVAP)",1,"São José dos Campos - SP",-23.179,-45.887,NULL
5217,"33010013 INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS (INPE)",1,"São José dos Campos - SP",-23.179,-45.887,NULL
5272,"33004145 UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/S.J.CAMPOS (UNESP/SJC)",1,"São José dos Campos - SP",-23.179,-45.887,NULL
3533,"33056013 UNIVERSIDADE CAMILO CASTELO BRANCO (UNICASTELO)",1,"São José dos Campos - SP",-23.179,-45.887,NULL
2304,"42016010 ESCOLA SUPERIOR DE TEOLOGIA (EST)",1,"São Leopoldo - RS",-29.76,-51.147,NULL
2317,"42007011 UNIVERSIDADE DO VALE DO RIO DOS SINOS (UNISINOS)",1,"São Leopoldo - RS",-29.76,-51.147,NULL
4668,"20003013 INSTIT.FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN.DO MARANHÃO/MC (IFMA/MC)",1,"São Luís - MA",-2.53,-44.303,NULL
4541,"20009011 CEUMA-ASSOCIACAO DE ENSINO SUPERIOR (UNICEUMA)",1,"São Luís - MA",-2.53,-44.303,NULL
4309,"20001010 UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA)",1,"São Luís - MA",-2.53,-44.303,NULL
4341,"20002017 UNIVERSIDADE ESTADUAL DO MARANHÃO (UEMA)",1,"São Luís - MA",-2.53,-44.303,NULL
2532,"30015014 Faculdade Vale do Cricaré (FVC)",1,"São Mateus - ES",-18.716,-39.859,NULL
5122,"33146012 FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS (FFIA)",1,"São Paulo - SP",-23.548,-46.636,NULL
4369,"33009015 UNIVERSIDADE FEDERAL DE SÃO PAULO (UNIFESP)",1,"São Paulo - SP",-23.548,-46.636,NULL
700689,"33160015 INSTITUTO SÍRIO-LIBANÊS DE ENSINO E PESQUISA (IEP)",1,"São Paulo - SP",-23.548,-46.636,NULL
5149,"33068011 SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA ALBERT EINSTEIN (SBIBAE)",1,"São Paulo - SP",-23.548,-46.636,NULL
3108,"33024014 UNIVERSIDADE PRESBITERIANA MACKENZIE (UPM)",1,"São Paulo - SP",-23.548,-46.636,NULL
5161,"33141010 INSTITUTO BIOLÓGICO (IBSP)",1,"São Paulo - SP",-23.548,-46.636,NULL
3114,"33078017 UNIVERSIDADE CRUZEIRO DO SUL (UNICSUL)",1,"São Paulo - SP",-23.548,-46.636,NULL
5164,"33045011 INSTITUTO BUTANTAN (IBU)",1,"São Paulo - SP",-23.548,-46.636,NULL
4400,"33139016 ESCOLA SUPERIOR DE PROPAGANDA E MARKETING (ESPM)",1,"São Paulo - SP",-23.548,-46.636,NULL
5168,"33038015 INSTITUTO DE ASSIST. MÉDICA AO SERVIDOR PÚBLICO ESTADUAL (IAMSPE)",1,"São Paulo - SP",-23.548,-46.636,NULL
5170,"33120013 INSTITUTO DE BOTANICA (IBT)",1,"São Paulo - SP",-23.548,-46.636,NULL
4661,"33126011 CENTRO ESTADUAL DE EDUCAÇÃO TECNOLÓGICA PAULA SOUZA (CEETEPS)",1,"São Paulo - SP",-23.548,-46.636,NULL
5176,"33015015 INSTITUTO DE FÍSICA TEÓRICA/UNESP (IFT/UNESP)",1,"São Paulo - SP",-23.548,-46.636,NULL
2105,"33129010 INSTITUTO DE ENSINO E PESQUISA (INSPER)",1,"São Paulo - SP",-23.548,-46.636,NULL
5179,"33132011 INSTITUTO DE PESCA - APTA - SEC. DE AGR. E ABAST. - SP (IP)",1,"São Paulo - SP",-23.548,-46.636,NULL
5180,"33083010 INSTITUTO DE PESQ.TECNOLÓGICAS DO ESTADO DE SÃO PAULO (IPT)",1,"São Paulo - SP",-23.548,-46.636,NULL
5185,"33104018 INSTITUTO DE PESQUISAS ENERGÉTICAS E NUCLEARES (IPEN)",1,"São Paulo - SP",-23.548,-46.636,NULL
810563,"33278016 NÚCLEO PARADIGMA ENSINO E CONSULTORIA EM PSICOLOGIA LTDA (PARADIGMA)",1,"São Paulo - SP",-23.548,-46.636,NULL
925782,"33283010 SOCIEDADE BRASILEIRA DE FÍSICA (SBF)",1,"São Paulo - SP",-23.548,-46.636,NULL
5210,"33084017 INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN. DE SÃO PAULO (IFSP)",1,"São Paulo - SP",-23.548,-46.636,NULL
2926,"33143013 FACULDADE DE SÃO BENTO (FSB)",1,"São Paulo - SP",-23.548,-46.636,NULL
3952,"33052018 UNIVERSIDADE CIDADE DE SÃO PAULO (UNICID)",1,"São Paulo - SP",-23.548,-46.636,NULL
5237,"33147019 SOCIEDADE BRASILEIRA DE FISIOLOGIA (SBFis)",1,"São Paulo - SP",-23.548,-46.636,NULL
4988,"33153019 CENTRO UNIVERS. DAS FACULDADES ASSOCIADAS DE ENSINO FAE (UNIFAE-SP)",1,"São Paulo - SP",-23.548,-46.636,NULL
4478,"33028010 CENTRO UNIVERSITÁRIO SÃO CAMILO (CUSC)",1,"São Paulo - SP",-23.548,-46.636,NULL
4990,"33125015 CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO (UNASP)",1,"São Paulo - SP",-23.548,-46.636,NULL
4991,"33096015 CENTRO UNIVERSITÁRIO FECAP (UniFECAP)",1,"São Paulo - SP",-23.548,-46.636,NULL
5003,"33115010 COORDENADORIA CONTROLE DE DOENÇAS DA SEC EST DA SAÚDE DE SP (CCD/SES)",1,"São Paulo - SP",-23.548,-46.636,NULL
3748,"33142017 CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS (FMU)",1,"São Paulo - SP",-23.548,-46.636,NULL
3753,"33076014 UNIVERSIDADE DE SANTO AMARO (UNISA)",1,"São Paulo - SP",-23.548,-46.636,NULL
2992,"33018014 FACULDADE CÁSPER LÍBERO (FCL)",1,"São Paulo - SP",-23.548,-46.636,NULL
3508,"33092010 UNIVERSIDADE NOVE DE JULHO (UNINOVE)",1,"São Paulo - SP",-23.548,-46.636,NULL
5045,"33145016 Escola de Direito de São Paulo (FGV Direito SP)",1,"São Paulo - SP",-23.548,-46.636,NULL
5046,"33128014 ESCOLA DE ECONOMIA DE SÃO PAULO DA FUNDAÇÃO GETÚLIO VARGAS (EESP/FGV)",1,"São Paulo - SP",-23.548,-46.636,NULL
3008,"33072019 UNIVERSIDADE SÃO JUDAS TADEU (USJT)",1,"São Paulo - SP",-23.548,-46.636,NULL
5068,"33019010 FACULDADE DE CIÊNCIAS MÉDICAS DA STA. CASA DE SÃO PAULO (FCMSCSP)",1,"São Paulo - SP",-23.548,-46.636,NULL
4306,"33005010 PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO (PUC/SP)",1,"São Paulo - SP",-23.548,-46.636,NULL
2005,"33131015 CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO (UNISAL)",1,"São Paulo - SP",-23.548,-46.636,NULL
5333,"33115028 COORDENADORIA DE RECURSOS HUMANOS DA SEC EST DA SAÚDE DE SP (CRH/SES-SP)",1,"São Paulo - SP",-23.548,-46.636,NULL
5334,"33157014 FUND JORGE DUPRAT FIGUEIREDO DE SEGURANÇA E MED DO TRABALHO (FUNDACENTR)",1,"São Paulo - SP",-23.548,-46.636,NULL
4311,"33002010 UNIVERSIDADE DE SÃO PAULO (USP)",1,"São Paulo - SP",-23.548,-46.636,NULL
3288,"33208018 FIAM-FAAM - CENTRO UNIVERSITÁRIO (UNIFIAM-FA)",1,"São Paulo - SP",-23.548,-46.636,NULL
3547,"33063010 UNIVERSIDADE PAULISTA (UNIP)",1,"São Paulo - SP",-23.548,-46.636,NULL
2781,"33136017 FACULDADE AUTÔNOMA DE DIREITO (FADISP)",1,"São Paulo - SP",-23.548,-46.636,NULL
4063,"33107017 Universidade Anhanguera de São Paulo (UNIAN-SP)",1,"São Paulo - SP",-23.548,-46.636,NULL
2528,"33138010 ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO (EAESP/FGV)",1,"São Paulo - SP",-23.548,-46.636,NULL
4064,"33057010 UNIVERSIDADE IBIRAPUERA (UNIB)",1,"São Paulo - SP",-23.548,-46.636,NULL
5095,"33073015 FUNDAÇÃO ANTONIO PRUDENTE - HOSPITAL A. C. CAMARGO (FAP)",1,"São Paulo - SP",-23.548,-46.636,NULL
4586,"33254010 FACULDADE ESCOLA PAULISTA DE DIREITO (FACEPD)",1,"São Paulo - SP",-23.548,-46.636,NULL
4331,"33004013 UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO (UNESP)",1,"São Paulo - SP",-23.548,-46.636,NULL
1140220,"33287015 SOCIEDADE BRASILEIRA DE BIOQUÍMICA E BIOLOGIA MOLECULAR (SBBq)",1,"São Paulo - SP",-23.548,-46.636,NULL
4095,"33106010 UNIVERSIDADE ANHEMBI MORUMBI (UAM)",1,"São Paulo - SP",-23.548,-46.636,NULL
5119,"33014019 FUNDAÇÃO GETÚLIO VARGAS/SP (FGV/SP)",1,"São Paulo - SP",-23.548,-46.636,NULL
668089,"33004161 UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/S.VICENTE (UNESP/SV)",1,"São Vicente - SP",-23.963,-46.392,NULL
4350,"31002013 UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO (UFRRJ)",1,"Seropédica - RJ",-22.744,-43.708,NULL
4195,"32145012 FUNDACAO EDUCACIONAL MONSENHOR MESSIAS (UNIFEMM)",1,"Sete Lagoas - MG",-19.466,-44.247,NULL
