name;name_ascii;abbr;latitude;longitude
instituto de tecnologia de alimentos;instituto de tecnologia de alimentos;ital;-22.906;-47.061
instituto de tecnologia para o desenvolvimento;instituto de tecnologia para o desenvolvimento;lactec;-25.428;-49.273
instituto de zootecnia iz/apta-saa/sp;instituto de zootecnia iz/apta-saa/sp;iz/apta;-22.778;-47.296
instituto do patrimônio histórico e artístico nacional;instituto do patrimonio historico e artistico nacional;iphan;-22.903;-43.208
instituto educatiehoog de ensino e pesquisa ltda;instituto educatiehoog de ensino e pesquisa ltda;educatie;-23.523;-46.188
instituto evandro chagas;instituto evandro chagas;iec;-1.366;-48.372
instituto federal de educação, ciência e tecnologia de santa catarina;instituto federal de educacao, ciencia e tecnologia de santa catarina;ifsc;-27.597;-48.549
instituto nacional da propriedade industrial;instituto nacional da propriedade industrial;inpi;-22.903;-43.208
instituto nacional de câncer;instituto nacional de cancer;inca;-22.903;-43.208
instituto nacional de cardiologia;instituto nacional de cardiologia;inc;-22.903;-43.208
instituto nacional de pesquisas da amazônia;instituto nacional de pesquisas da amazonia;inpa;-3.102;-60.025
instituto nacional de pesquisas espaciais;instituto nacional de pesquisas espaciais;inpe;-23.179;-45.887
instituto nacional de traumatologia e ortopedia;instituto nacional de traumatologia e ortopedia;into;-22.903;-43.208
instituto sírio-libanês de ensino e pesquisa;instituto sirio-libanes de ensino e pesquisa;iep;-23.548;-46.636
instituto superior de administração e economia do mercosul;instituto superior de administracao e economia do mercosul;isae;-25.428;-49.273
laboratório nacional de computação ciêntífica;laboratorio nacional de computacao cientifica;lncc;-22.505;-43.179
museu de astronomia e ciências afins;museu de astronomia e ciencias afins;mast;-22.903;-43.208
núcleo paradigma ensino e consultoria em psicologia ltda;nucleo paradigma ensino e consultoria em psicologia ltda;paradigma;-23.548;-46.636
observatório nacional;observatorio nacional;on;-22.903;-43.208
sociedade beneficente israelita brasileira albert einstein;sociedade beneficente israelita brasileira albert einstein;sbibae;-23.548;-46.636
sociedade brasileira de bioquímica e biologia molecular;sociedade brasileira de bioquimica e biologia molecular;sbbq;-23.548;-46.636
sociedade brasileira de física;sociedade brasileira de fisica;sbf;-23.548;-46.636
sociedade brasileira de fisiologia;sociedade brasileira de fisiologia;sbfis;-23.548;-46.636
sociedade brasileira de matemática;sociedade brasileira de matematica;sbm;-22.903;-43.208
universidade  de itaúna;universidade  de itauna;ui;-20.075;-44.576
universidade anhanguera;universidade anhanguera;uniderp;-20.443;-54.646
universidade anhanguera de são paulo;universidade anhanguera de sao paulo;unian-sp;-23.548;-46.636
universidade da força aérea;universidade da forca aerea;unifa;-22.903;-43.208
universidade do estado de santa catarina;universidade do estado de santa catarina;udesc;-27.597;-48.549
universidade do grande rio - prof jose de souza herdy;universidade do grande rio - prof jose de souza herdy;unigranrio;-22.903;-43.208
universidade estadual do centro-oeste;universidade estadual do centro-oeste;unicentro;-25.395;-51.458
universidade estadual do paraná;universidade estadual do parana;unespar;-23.073;-52.465
universidade estadual vale do acaraú;universidade estadual vale do acarau;uva-ce;-3.674;-40.239
universidade federal da grande dourados;universidade federal da grande dourados;ufgd;-22.221;-54.806
universidade federal de rondônia;universidade federal de rondonia;unir;-8.762;-63.904
universidade federal do cariri;universidade federal do cariri;ufca;-7.213;-39.315
universidade federal do oeste da bahia;universidade federal do oeste da bahia;ufob;-12.153;-44.99
universidade federal do sul e sudeste do pará;universidade federal do sul e sudeste do para;unifesspa;-5.369;-49.118
universidade federal do vale do são francisco;universidade federal do vale do sao francisco;univasf;-9.393;-40.508
