name;name_ascii;abbr;latitude;longitude
faculdade católica de administração e economia;faculdade catolica de administracao e economia;;;;;;
faculdade de saúde pública;faculdade de saude publica;;;;;;
sociedade de promoção social do fissurado lábio palatal;sociedade de promocao social do fissurado labio palatal;;;;;;
faculdade de ciências médicas e biológicas de botucatu;faculdade de ciencias medicas e biologicas de botucatu;;;;;;
associação de medicina intensiva brasileira;associacao de medicina intensiva brasileira;;;;;;
centro de ensino superior de maringá;centro de ensino superior de maringa;;;;;;
escola superior de agricultura de lavras;escola superior de agricultura de lavras;;;;;;
escola naval;escola naval;;;;;;
colégio dom bosco;colegio dom bosco;;;;;;
conselho federal de medicina;conselho federal de medicina;;;;;;
hospital de reabilitação de anomalias craniofaciais;hospital de reabilitacao de anomalias craniofaciais;;;;;;
instituto nacional de tecnologia;instituto nacional de tecnologia;;;;;;
faculdade de odontologia de araraquara;faculdade de odontologia de araraquara;;;;;;
federação brasileira das sociedades de ginecologia e obstetrícia - rj;federacao brasileira das sociedades de ginecologia e obstetricia rj;;;;;;
fundação hospitalar do estado de minas gerais;fundacao hospitalar do estado de minas gerais;;;;;;
hospital das clínicas da universidade federal de minas gerais;hospital das clinicas da universidade federal de minas gerais;;;;;;
polícia militar do estado de são paulo;policia militar do estado de sao paulo;;;;;;
universidade anhanguera uniderp;universidade anhanguera uniderp;;;;;;
instituto de pesquisa econômica aplicada - df;instituto de pesquisa economica aplicada df;;;;;;
escola nacional de saúde pública sérgio arouca;escola nacional de saude publica sergio arouca;;;;;;
colégio santo inácio;colegio santo inacio;;;;;;
petróleo brasileiro - rio de janeiro;petroleo brasileiro rio de janeiro;petrobras/rj;;;;;
conservatório brasileiro de música   centro universitário;conservatorio brasileiro de musica centro universitario;;;;;;
escola politécnica;escola politecnica;;;;;;
colégio objetivo;colegio objetivo;;;;;;
hospital nossa senhora da conceição;hospital nossa senhora da conceicao;;;;;;
faculdade de odontologia de piracicaba - unicamp;faculdade de odontologia de piracicaba unicamp;;;;;;
fundação jorge duprat figueiredo de segurança e medicina do trabalho;fundacao jorge duprat figueiredo de seguranca e medicina do trabalho;;;;;;
hospital israelita albert einstein;hospital israelita albert einstein;;;;;;
centro brasileiro de análise e planejamento;centro brasileiro de analise e planejamento;;;;;;
conselho regional de odontologia;conselho regional de odontologia;;;;;;
consejo superior de investigaciones científicas;consejo superior de investigaciones cientificas;;;;;;
universidade lusófona de humanidades e tecnologias;universidade lusofona de humanidades e tecnologias;;;;;;
centro universitário salesiano são paulo;centro universitario salesiano sao paulo;;;;;;
colégio anchieta;colegio anchieta;;;;;;
rede nordeste de biotecnologia;rede nordeste de biotecnologia;;;;;;
centro de pesquisas rené rachou;centro de pesquisas rene rachou;;;;;;
banco central do brasil;banco central do brasil;;;;;;
hospital do servidor público municipal;hospital do servidor publico municipal;;;;;;
departamento de química;departamento de quimica;;;;;;
faculdade de medicina da universidade federal de minas gerais;faculdade de medicina da universidade federal de minas gerais;;;;;;
instituto de física;instituto de fisica;;;;;;
centro de tecnologia da informação renato archer;centro de tecnologia da informacao renato archer;;;;;;
conselho federal de psicologia;conselho federal de psicologia;;;;;;
escola de engenharia;escola de engenharia;;;;;;
fundação universidade de itaúna;fundacao universidade de itauna;;;;;;
fundação instituto de física teórica;fundacao instituto de fisica teorica;;;;;;
instituto de ciências biomédicas;instituto de ciencias biomedicas;;;;;;
instituto fernandes figueira;instituto fernandes figueira;;;;;;
universidade estadual do rio de janeiro;universidade estadual do rio de janeiro;;;;;;
centro universitário barão de mauá - jardim paulista;centro universitario barao de maua - jardim paulista;;;;;;
faculdade de educação da bahia;faculdade de educacao da bahia;;;;;;
instituto superior técnico;instituto superior tecnico;;;;;;
serviço nacional de aprendizagem industrial;servico nacional de aprendizagem industrial;;;;;;
colégio nossa senhora do rosário;colegio nossa senhora do rosario;;;;;;
colégio santo agostinho;colegio santo agostinho;;;;;;
coordenação de aperfeiçoamento de pessoal de nível superior;coordenacao de aperfeicoamento de pessoal de nivel superior;;;;;;
departamento de física;departamento de fisica;;;;;;
governo do estado de são paulo;governo do estado de sao paulo;;;;;;
escola nacional de administração pública;escola nacional de administracao publica;;;;;;
faculdade de medicina de catanduva;faculdade de medicina de catanduva;;;;;;
instituto de ciências matemáticas e de computação;instituto de ciencias matematicas e de computacao;;;;;;
colégio militar do rio de janeiro;colegio militar do rio de janeiro;;;;;;
colégio visconde de porto seguro;colegio visconde de porto seguro;;;;;;
ministério da agricultura, pecuária e abastecimento;ministerio da agricultura, pecuaria e abastecimento;;;;;;
colégio santo antônio;colegio santo antonio;;;;;;
