name;name_ascii;abbr;city;state;country;latitude;longitude
universidade regional do nordeste;universidade regional do nordeste;uepb;campina grande;paraiba;brasil;;
instituto de geociências;instituto de geociencias;;sao paulo;sao paulo;brasil;;
academia da força aérea;academia da forca aerea;afa;pirassununga;sao paulo;brasil;;
faculdade salesiana de filosofia ciências e letras de lorena;faculdade salesiana de filosofia ciencias e letras de lorena;;lorena;sao paulo;brasil;;
fundação faculdade de agronomia luiz meneghel;fundacao faculdade de agronomia luiz meneghel;;bandeirantes;parana;brasil;;
centro são camilo de desenvolvimento em administração da saúde;centro sao camilo de desenvolvimento em administracao da saude;;ipirange;sao paulo;brasil;;
faculdade de odontologia de lins;faculdade de odontologia de lins;;lins;sao paulo;brasil;;
união pioneira de integração social;uniao pioneira de integracao social;upis;brasilia;sao paulo;brasil;;
federação brasileira das sociedades de ginecologia e obstetrícia - sp;federacao brasileira das sociedades de ginecologia e obstetricia - sp;;sao paulo;sao paulo;brasil;;
instituto brasileiro de administração municipal;instituto brasileiro de administracao municipal;ibam;rio de janeiro;rio de janeiro;brasil;;
federação brasileira das sociedades de ginecologia e obstetrícia;federacao brasileira das sociedades de ginecologia e obstetricia;febrasgo;rio de janeiro;rio de janeiro;brasil;;
centro de tecnologia mineral;centro de tecnologia mineral;ctem;rio de janeiro;rio de janeiro;brasil;;
instituto brasileiro de mercado de capitais;instituto brasileiro de mercado de capitais;ibmec;rio de janeiro;rio de janeiro;brasil;;
conselho brasileiro de oftalmologia;conselho brasileiro de oftalmologia;cbo;sao paulo;sao paulo;brasil;;
companhia de pesquisa de recursos minerais;companhia de pesquisa de recursos minerais;cprm;recife;pernambuco;brasil;;
faculdade de filosofia ciências e letras de rio claro;faculdade de filosofia ciencias e letras de rio claro;sao paulo;rio claro;;brasil;;
faculdade de filosofia, letras e ciências humanas;faculdade de filosofia letras e ciencias humanas;;;;brasil;;
instituto de biofísica carlos chagas filho;instituto de biofisica carlos chagas filho;ibccf;rio de janeiro;rio de janeiro;brasil;;
colégio pitágoras;colegio pitagoras;;belo horizonte;minas gerais;brasil;;
faculdade de filosofia ciências e letras imaculada conceição;faculdade de filosofia ciencias e letras imaculada conceicao;;santa maria;rio grande do sul;brasil;;
faculdade de filosofia nossa senhora da imaculada conceição;faculdade de filosofia nossa senhora da imaculada conceicao;;santa maria;rio grande do sul;brasil;;
instituto brasileiro do meio ambiente e dos recursos naturais renováveis;instituto brasileiro do meio ambiente e dos recursos naturais renovaveis;ibama;brasilia;distrito federal;brasil;;
associação brasileira de psiquiatria;associacao brasileira de psiquiatria;abp;rio de janeiro;rio de janeiro;brasil;;
faculdade de filosofia ciências e letras barão de mauá;faculdade de filosofia ciencias e letras barao de maua;;ribeirao preto;sao paulo;brasil;;
faculdade de medicina de botucatu - unesp;faculdade de medicina de botucatu unesp;;botucatu;sao paulo;brasil;;
embrapa recursos genéticos e biotecnologia;embrapa recursos geneticos e biotecnologia;;brasilia;distrito federal;brasil;;
instituto alberto luiz coimbra de pós graduação e pesquisa de engenharia;instituto alberto luiz coimbra de pos graduacao e pesquisa de engenharia;;rio de janeiro;rio de janeiro;brasil;;
universidade para o desenvolvimento do estado e da região do pantanal;universidade para o desenvolvimento do estado e da regiao do pantanal;uniderp;campo grande;mato grosso do sul;brasil;;
coordenação de aperfeiçoamento de pessoal de nível superior;coordenacao de aperfeicoamento de pessoal de nivel superior;capes;brasilia;distrito federal;brasil;;
escola nacional de administração pública;escola nacional de administracao publica;enap;brasilia;distrito federal;brasil;;
instituto de ciências matemáticas e de computação;instituto de ciencias matematicas e de computacao;icmc;sao carlos;sao paulo;brasil;;
rede nordeste de biotecnologia;rede nordeste de biotecnologia;renorbio;recife;pernambuco;brasil;;
centro de pesquisas rené rachou;centro de pesquisas rene rachou;cpqrr/fiocruz;belo horizonte;minas gerais;brasil;;
banco central do brasil;banco central do brasil;bcb;brasilia;distrito federal;brasil;;
centro de tecnologia da informação renato archer;centro de tecnologia da informacao renato archer;;campinas;sao paulo;brasil;;
fundação instituto de física teórica;fundacao instituto de fisica teorica;;sao paulo;sao paulo;brasil;;
centro de pesquisas aggeu magalhães;centro de pesquisas aggeu magalhaes;cpqam/fiocruz;recife;pernambuco;brasil;;
faculdade católica de administração e economia;faculdade catolica de administracao e economia;;curitiba;parana;brasil;;
sociedade de promoção social do fissurado lábio palatal;sociedade de promocao social do fissurado labio palatal;;bauru;sao paulo;brasil;;
faculdade de ciências médicas e biológicas de botucatu;faculdade de ciencias medicas e biologicas de botucatu;;botucatu;sao paulo;brasil;;
associação de medicina intensiva brasileira;associacao de medicina intensiva brasileira;amib;sao paulo;sao paulo;brasil;;
escola superior de agricultura de lavras;escola superior de agricultura de lavras;;lavras;minas gerais;brasil;;
conselho federal de medicina;conselho federal de medicina;cfm;brasilia;sao paulo;brasil;;
faculdade de odontologia de araraquara;faculdade de odontologia de araraquara;;araraquara;sao paulo;brasil;;
federação brasileira das sociedades de ginecologia e obstetrícia - rj;federacao brasileira das sociedades de ginecologia e obstetricia rj;;sao paulo;sao paulo;brasil;;
universidade anhanguera uniderp;universidade anhanguera uniderp;;recife;pernambuco;brasil;;
conservatório brasileiro de música   centro universitário;conservatorio brasileiro de musica centro universitario;;rio de janeiro;rio de janeiro;brasil;;
fundação jorge duprat figueiredo de segurança e medicina do trabalho;fundacao jorge duprat figueiredo de seguranca e medicina do trabalho;fundacentro;sao paulo;sao paulo;brasil;;
centro brasileiro de análise e planejamento;centro brasileiro de analise e planejamento;cebrap;sao paulo;sao paulo;brasil;;
conselho federal de fonoaudiologia;conselho federal de fonoaudiologia;;brasilia;distrito federal;brasil;;
instituto federal da bahia;instituto federal da bahia;ifba;salvador;bahia;brasil;;
instituto federal do ceará - reitoria;instituto federal do ceara reitoria;ifce;fortaleza;ceara;brasil;;
instituto federal sul-rio-grandense;instituto federal sul rio grandense;ifsul;charqueadas;rio grande do sul;brasil;;
instituto federal do maranhão;instituto federal do maranhao;ifma;sao luis;maranhao;brasil;;
instituto federal fluminense;instituto federal fluminense;iff;campos dos goytacazes;rio de janeiro;brasil;;
instituto federal goiano;instituto federal goiano;ifg;goiania;goais;brasil;;
instituto federal de pernambuco;instituto federal de pernambuco;ifpe;recife;pernambuco;brasil;;
instituto federal minas gerais;instituto federal minas gerais;ifmg;belo horizonte;minas gerais;brasil;;
instituto federal do triângulo mineiro;instituto federal do triangulo mineiro;iftm;uberaba;minas gerais;brasil;;
instituto federal farroupilha;instituto federal farroupilha;ifrs;santa maria;rio grande do sul;brasil;;
instituto federal catarinense;instituto federal catarinense;ifc;blumenau;santa catarina;brasil;;
instituto federal de mato grosso;instituto federal de mato grosso;ifmt;cuiaba;mato grosso;brasil;;
instituto federal do sudeste de minas gerais;instituto federal do sudeste de minas gerais;ifsudestemg;juiz de forma;minas gerais;brasil;;
instituto federal de sergipe;instituto federal de sergipe;ifs;aracaju;sergipe;brasil;;
instituto federal do piauí;instituto federal do piaui;ifpi;teresina;piaui;brasil;;
instituto federal de alagoas - matriz;instituto federal de alagoas matriz;ifal;maceio;alagoas;brasil;;
escola técnica federal de química do rio de janeiro;escola tecnica federal de quimica do rio de janeiro;ifrj;rio de janeiro;rio de janeiro;brasil;;
escola técnica federal de química;escola tecnica federal de quimica;ifrj;rio de janeiro;rio de janeiro;brasil;;
escola técnica federal de pernambuco;escola tecnica federal de pernambuco;ifpe;recife;pernambuco;brasil;;
escola técnica federal do ceará;escola tecnica federal do ceara;ifce;fortaleza;ceara;brasil;;
escola técnica federal de santa catarina;escola tecnica federal de santa catarina;ifsc;florianopolis;santa catarina;brasil;;
escola técnica federal do espírito santo;escola tecnica federal do espirito santo;ifes;vitoria;espirito santo;brasil;;
escola técnica federal de pelotas;escola tecnica federal de pelotas;ifsul;pelotas;rio grande do sul;brasil;;
centro federal de educação tecnológica de pelotas;centro federal de educacao tecnologica de pelotas;ifsul;pelotas;rio grande do sul;brasil;;
escola técnica federal do rio grande do norte;escola tecnica federal do rio grande do norte;ifrn;natal;rio grande do norte;brasil;;
centro federal de educação tecnológica do paraná;centro federal de educacao tecnologica do parana;utfpr;curitiba;parana;brasil;;
fundação universidade regional de blumenau;fundacao universidade regional de blumenau;furb;blumenau;santa catarina;brasil;;
instituto universitário de pesquisas do rio de janeiro;instituto universitario de pesquisas do rio de janeiro;iuperj;rio de janeiro;rio de janeiro;brasil;;
universidade do grande rio;universidade do grande rio;unigranrio;duque de caxias;rio de janeiro;brasil;;
petróleo brasileiro - rio de janeiro - matriz;petroleo brasileiro rio de janeiro matriz;petrobras;rio de janeiro;rio de janeiro;brasil;;
centro universitário são camilo - campus pompeia;centro universitario sao camilo campus pompeia;;pompeia;sao paulo;brasil;;
ministério da saúde;ministerio da saude;ms;brasilia;distrito federal;brasil;;
centro universitário la salle - canoas;centro universitario la salle canoas;;canoas;rio grande do sul;brasil;;
escola nacional de saúde pública;escola nacional de saude publica;ensp/fiocruz;rio de janeiro;rio de janeiro;brasil;;
faculdade de odontologia de bauru;faculdade de odontologia de bauru;fob;bauru;sao paulo;brasil;;
instituto alberto luiz coimbra de pós-graduação e pesquisa de engenharia;instituto alberto luiz coimbra de pos graduacao e pesquisa de engenharia;;rio de janeiro;rio de janeiro;brasil;;
centro universitário herminio ometto de araras;centro universitario herminio ometto de araras;uniararas;araras;sao paulo;brasil;;
fundação técnico educacional souza marques;fundacao tecnico educacional souza marques;;cacadura;rio de janeiro;brasil;;
