country_code,player,rank,match,tour,round,player_id,scrape_time,date_of_birth,height_inches,weight_lbs,hand,exact_age,age,country
USA,Steve Johnson,NA,38,ATP,1,75,8/23/2014 14:46,12/24/1989,74.015788,190,R,24.66255989,24,USA
USA,Ryan Harrison,NA,49,ATP,1,98,8/23/2014 14:46,5/7/1992,74.015788,185,R,22.29431896,22,USA
USA,Donald Young,NA,19,ATP,1,38,8/23/2014 14:46,7/23/1989,72.047283,175,L,25.08418891,25,USA
USA,Jared Donaldson,NA,53,ATP,1,106,8/23/2014 14:46,10/9/1996,74,155,R,17.86995209,17,USA
USA,Bradley Klahn,NA,14,ATP,1,27,8/23/2014 14:46,8/20/1990,72.047283,165,L,24.00821355,24,USA
USA,Wayne Odesnik,NA,25,ATP,1,50,8/23/2014 14:46,11/21/1985,70.86618,170,L,28.75290897,28,USA
USA,Noah Rubin,NA,46,ATP,1,91,8/23/2014 14:46,2/21/1996,69,145,R,18.50239562,18,USA
USA,Sam Querrey,NA,3,ATP,1,6,8/23/2014 14:46,10/7/1987,77.952798,200,R,26.87748118,26,USA
USA,Jack Sock,NA,26,ATP,1,52,8/23/2014 14:46,9/24/1992,72.834685,180,R,21.91101985,21,USA
USA,Marcos Giron,NA,8,ATP,1,15,8/23/2014 14:46,7/24/1993,71,165,R,21.08145106,21,USA
USA,John Isner,13,8,ATP,1,16,8/23/2014 14:46,4/26/1985,81.889808,238,R,29.32511978,29,USA
UZB,Denis Istomin,NA,56,ATP,1,111,8/23/2014 14:46,9/7/1986,74.015788,194,R,27.95893224,27,Uzbekistan
