"country_code","player","rank","match","tour","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country"
"FRA","Pauline Parmentier",NA,6,"WTA",1,11,"2014-08-23 14:48:09",1986-01-31,69,135,"R",28.5585215605749,28,"France"
"GBR","Johanna Konta",NA,62,"WTA",1,123,"2014-08-23 14:48:09",1991-05-17,61,154,"R",23.2689938398357,23,"Great Britain"
"GBR","Heather Watson",NA,31,"WTA",1,62,"2014-08-23 14:48:09",1992-05-19,67,138,"R",22.2614647501711,22,"Great Britain"
"GER","Sabine Lisicki",26,52,"WTA",1,104,"2014-08-23 14:48:09",1989-09-22,61,154,"R",24.9171800136893,24,"Germany"
"GER","Annika Beck",NA,37,"WTA",1,74,"2014-08-23 14:48:09",1994-02-16,67,130,"R",20.5147159479808,20,"Germany"
"GER","Angelique Kerber",6,33,"WTA",1,65,"2014-08-23 14:48:09",1988-01-18,68,150,"L",26.5954825462012,26,"Germany"
"GER","Julia Goerges",NA,9,"WTA",1,18,"2014-08-23 14:48:09",1988-11-02,61,154,"R",25.8042436687201,25,"Germany"
"GER","Mona Barthel",NA,4,"WTA",1,7,"2014-08-23 14:48:09",1990-07-11,73,152,"R",24.1177275838467,24,"Germany"
"GER","Andrea Petkovic",18,53,"WTA",1,105,"2014-08-23 14:48:09",1987-09-09,61,152,"R",26.9541409993155,26,"Germany"
"HUN","Timea Babos",NA,41,"WTA",1,82,"2014-08-23 14:48:09",1993-05-10,61,150,"R",21.2867898699521,21,"Hungary"
"ISR","Julia Glushko",NA,51,"WTA",1,101,"2014-08-23 14:48:09",1990-01-01,67,137,"R",24.6406570841889,24,"Israel"
"ISR","Shahar Peer",NA,62,"WTA",1,124,"2014-08-23 14:48:09",1987-05-01,67,132,"R",27.3127994524298,27,"Israel"
"ITA","Camila Giorgi",NA,58,"WTA",1,116,"2014-08-23 14:48:09",1991-12-31,66,119,"R",22.6447638603696,22,"Italy"
"ITA","Francesca Schiavone",NA,2,"WTA",1,3,"2014-08-23 14:48:09",1980-06-23,65,132,"R",34.1656399726215,34,"Italy"
"ITA","Karin Knapp",NA,39,"WTA",1,77,"2014-08-23 14:48:09",1987-06-28,61,159,"R",27.1540041067762,27,"Italy"
"ITA","Roberta Vinci",28,45,"WTA",1,89,"2014-08-23 14:48:09",1983-02-18,64,132,"R",31.5099247091034,31,"Italy"
"ITA","Flavia Pennetta",11,9,"WTA",1,17,"2014-08-23 14:48:09",1982-02-25,67,128,"R",32.4900752908966,32,"Italy"
"ITA","Sara Errani",13,57,"WTA",1,113,"2014-08-23 14:48:09",1987-04-29,64,132,"R",27.3182751540041,27,"Italy"
"JPN","Kurumi Nara",31,36,"WTA",1,72,"2014-08-23 14:48:09",1991-12-30,61,117,"R",22.6475017111567,22,"Japan"
"JPN","Kimiko Date-Krumm",NA,60,"WTA",1,119,"2014-08-23 14:48:09",1970-09-28,64,117,"R",43.9014373716632,43,"Japan"
"JPN","Misaki Doi",NA,24,"WTA",1,47,"2014-08-23 14:48:09",1991-04-29,63,121,"L",23.3182751540041,23,"Japan"
"KAZ","Yaroslava Shvedova",NA,30,"WTA",1,59,"2014-08-23 14:48:09",1987-09-12,61,154,"R",26.9459274469541,26,"Kazakhstan"
"KAZ","Zarina Diyas",NA,26,"WTA",1,51,"2014-08-23 14:48:09",1993-10-18,68,141,"R",20.8459958932238,20,"Kazakhstan"
"NED","Kiki Bertens",NA,59,"WTA",1,117,"2014-08-23 14:48:09",1991-12-10,NA,163,"R",22.7022587268994,22,"Netherlands"
"NZL","Marina Erakovic",NA,21,"WTA",1,42,"2014-08-23 14:48:09",1988-03-06,69,143,"R",26.4640657084189,26,"New Zealand"
"POL","Agnieszka Radwanska",4,48,"WTA",1,96,"2014-08-23 14:48:09",1989-03-06,68,123,"R",25.4647501711157,25,"Poland"
"POL","Paula Kania",NA,14,"WTA",1,27,"2014-08-23 14:48:09",1992-11-06,66,127,"R",21.7932922655715,21,"Poland"
"POL","Katarzyna Piter",NA,19,"WTA",1,38,"2014-08-23 14:48:09",1991-02-16,68,123,"R",23.5154004106776,23,"Poland"
"PUR","Monica Puig",NA,54,"WTA",1,108,"2014-08-23 14:48:09",1993-09-27,67,140,"R",20.9034907597536,20,"Puerto Rico"
"ROU","Sorana Cirstea",NA,31,"WTA",1,61,"2014-08-23 14:48:09",1990-04-07,69,130,"R",24.3778234086242,24,"Romania"
"ROU","Monica Niculescu",NA,30,"WTA",1,60,"2014-08-23 14:48:09",1987-09-25,66,139,"R",26.9103353867214,26,"Romania"
"ROU","Simona Halep",2,64,"WTA",1,128,"2014-08-23 14:48:09",1991-09-27,66,132,"R",22.9048596851472,22,"Romania"
"ROU","Alexandra Dulgheru",NA,50,"WTA",1,100,"2014-08-23 14:48:09",1989-05-30,68,134,"R",25.2320328542094,25,"Romania"
"ROU","Irina-Camelia Begu",NA,46,"WTA",1,91,"2014-08-23 14:48:09",1990-08-26,61,148,"R",23.9917864476386,23,"Romania"
"RSA","Chanelle Scheepers",NA,23,"WTA",1,45,"2014-08-23 14:48:09",1984-03-13,69,146,"R",30.444900752909,30,"South Africa"
"RUS","Ksenia Pervak",NA,33,"WTA",1,66,"2014-08-23 14:48:09",1991-05-27,67,132,"L",23.2416153319644,23,"Russia"
"RUS","Maria Kirilenko",NA,49,"WTA",1,98,"2014-08-23 14:48:09",1987-01-25,69,134,"R",27.5756331279945,27,"Russia"
"RUS","Anastasia Pavlyuchenkova",23,12,"WTA",1,24,"2014-08-23 14:48:09",1991-07-03,61,159,"R",23.1403148528405,23,"Russia"
"RUS","Maria Sharapova",5,49,"WTA",1,97,"2014-08-23 14:48:09",1987-04-19,74,130,"A",27.3456536618754,27,"Russia"
"RUS","Alla Kudryavtseva",NA,34,"WTA",1,68,"2014-08-23 14:48:09",1987-11-03,61,154,"R",26.8035592060233,26,"Russia"
"RUS","Elena Vesnina",NA,22,"WTA",1,43,"2014-08-23 14:48:09",1986-08-01,67,143,"R",28.0602327173169,28,"Russia"
"RUS","Svetlana Kuznetsova",20,21,"WTA",1,41,"2014-08-23 14:48:09",1985-06-27,NA,161,"R",29.1553730321697,29,"Russia"
"RUS","Ekaterina Makarova",17,28,"WTA",1,56,"2014-08-23 14:48:09",1988-06-07,61,143,"L",26.2094455852156,26,"Russia"
"SLO","Polona Hercog",NA,27,"WTA",1,54,"2014-08-23 14:48:09",1991-01-20,NA,154,"R",23.5893223819302,23,"Slovakia"
"SRB","Ana Ivanovic",8,16,"WTA",1,32,"2014-08-23 14:48:09",1987-11-06,NA,152,"R",26.7953456536619,26,"Serbia"
"SRB","Jelena Jankovic",9,40,"WTA",1,80,"2014-08-23 14:48:09",1985-02-28,69,130,"R",29.4811772758385,29,"Serbia"
"SRB","Bojana Jovanovski",NA,40,"WTA",1,79,"2014-08-23 14:48:09",1991-12-31,69,143,"R",22.6447638603696,22,"Serbia"
"SRB","Aleksandra Krunic",NA,19,"WTA",1,37,"2014-08-23 14:48:09",1993-03-15,66,106,"R",21.4401095140315,21,"Serbia"
"SUI","Stefanie Voegele",NA,42,"WTA",1,84,"2014-08-23 14:48:09",1990-03-10,67,132,"R",24.4544832306639,24,"Switzerland"
"SUI","Belinda Bencic",NA,35,"WTA",1,69,"2014-08-23 14:48:09",1997-03-10,NA,NA,"R",17.4537987679671,17,"Switzerland"
"SUI","Romina Oprandi",NA,43,"WTA",1,85,"2014-08-23 14:48:09",1986-03-29,66,143,"R",28.4024640657084,28,"Switzerland"
"SUI","Timea Bacsinszky",NA,59,"WTA",1,118,"2014-08-23 14:48:09",1989-06-08,67,137,"R",25.2073921971253,25,"Switzerland"
"SVK","Jana Cepelova",NA,63,"WTA",1,125,"2014-08-23 14:48:09",1993-05-29,66,132,"R",21.2347707049966,21,"Slovakia"
"SVK","Dominika Cibulkova",12,25,"WTA",1,49,"2014-08-23 14:48:09",1989-05-06,63,121,"R",25.2977412731006,25,"Slovakia"
"SVK","Anna Schmiedlova",NA,55,"WTA",1,109,"2014-08-23 14:48:09",1994-09-13,69,139,"R",19.9425051334702,19,"Slovakia"
"SVK","Magdalena Rybarikova",NA,56,"WTA",1,111,"2014-08-23 14:48:09",1988-10-04,61,143,"R",25.8836413415469,25,"Slovakia"
"SVK","Daniela Hantuchova",NA,43,"WTA",1,86,"2014-08-23 14:48:09",1983-04-23,61,137,"R",31.3347022587269,31,"Slovakia"
"SWE","Johanna Larsson",NA,38,"WTA",1,76,"2014-08-23 14:48:09",1988-08-17,69,146,"R",26.0150581793292,26,"Sweden"
"TPE","Yung-Jan Chan",NA,22,"WTA",1,44,"2014-08-23 14:48:09",1989-08-17,67,132,"R",25.015742642026,25,"Taiwan"
"TUN","Ons Jabeur",NA,53,"WTA",1,106,"2014-08-23 14:48:09",1994-08-28,66,146,"R",19.9863107460643,19,"Tunisia"
"UKR","Elina Svitolina",NA,27,"WTA",1,53,"2014-08-23 14:48:09",1994-09-12,69,132,"R",19.9452429842574,19,"Ukraine"
"UKR","Maryna Zanevska",NA,10,"WTA",1,20,"2014-08-23 14:48:09",1993-08-24,69,130,"R",20.9965776865161,20,"Ukraine"
"UKR","Lesia Tsurenko",NA,26,"WTA",1,52,"2014-08-23 14:48:09",1989-05-30,69,148,"R",25.2320328542094,25,"Ukraine"
