;Label;Modularity Class;City;State;Country;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree;;;;
;empresa brasileira de pesquisa agropecuaria;instituition;macapa;amapa;brazil;23;0;23;24;24;0;;;;
;faculdade de medicina veterinaria e zootecnia da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;6;0;6;23;23;0;;;;
;escola de enfermagem da usp;instituition;sao paulo;sao paulo;brazil;8;0;8;23;23;0;;;;
;instituto brasileiro de medicina de reabilitacao;instituition;rio de janeiro;rio de janeiro;brazil;8;0;8;23;23;0;;;;
;faculdade de artes do parana;instituition;curitiba;parana;brazil;14;0;14;23;23;0;;;;
;instituto agronomico de campinas;instituition;campinas;sao paulo;brazil;19;0;19;23;23;0;;;;
;columbia university;instituition;new york city;new york;united states;18;0;18;23;23;0;;;;
;universite paris descartes;instituition;paris;í¬le-de-france;france;16;0;16;23;23;0;;;;
;stanford university;instituition;palo alto;california;united states;17;0;17;23;23;0;;;;
;universidade de sao paulo escola de engenharia de sao carlos;instituition;sao carlos;sao paulo;brazil;16;0;16;23;23;0;;;;
;instituto de quimica de sao carlos usp;instituition;sao carlos;sao paulo;brazil;16;0;16;23;23;0;;;;
;universidade de santiago de compostela;instituition;santiago de compostela;galicia;spain;18;0;18;23;23;0;;;;
;faculdade de ciencias humanas de olinda;instituition;olinda;pernambuco;brazil;13;0;13;23;23;0;;;;
;universite lumiere lyon 2;instituition;lyon;rhíÇne-alpes;france;16;0;16;23;23;0;;;;
;faculdade de filosofia ciencias e letras de caruaru;instituition;caruaru;pernambuco;brazil;13;0;13;23;23;0;;;;
;universidade federal do amapa;instituition;macapa;amapa;brazil;9;0;9;23;23;0;;;;
;instituto universitario de pesquisas do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;12;0;12;22;22;0;;;;
;faculdade de educacao da bahia;instituition;salvador;bahia;brazil;14;0;14;22;22;0;;;;
;escola de engenharia de lorena;instituition;lorena;sao paulo;brazil;20;0;20;22;22;0;;;;
;universidade federal da grande dourados;instituition;dourados;mato grosso do sul;brazil;16;0;16;22;22;0;;;;
;associacao medica brasileira;instituition;sao paulo;sao paulo;brazil;13;0;13;21;21;0;;;;
;universidade positivo;instituition;curitiba;parana;brazil;7;0;7;21;21;0;;;;
;harvard university;instituition;cambridge;massachusetts;united states;16;0;16;21;21;0;;;;
;santa casa de misericordia de sao paulo;instituition;belem;para;brazil;7;0;7;21;21;0;;;;
;universidade de sao paulo ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;11;0;11;21;21;0;;;;
;universita degli studi di roma la sapienza;instituition;rome;latium;italy;19;0;19;21;21;0;;;;
;faculdade de odontologia de araraquara;instituition;araraquara;sao paulo;brazil;11;0;11;21;21;0;;;;
;indiana university;instituition;bloomington;indiana;united states;18;0;18;21;21;0;;;;
;purdue university;instituition;west lafayette;indiana;united states;17;0;17;21;21;0;;;;
;faculdade de medicina veterinaria e zootecnia;instituition;garca;sao paulo;brazil;15;0;15;21;21;0;;;;
;fundacao getulio vargas matriz;instituition;rio de janeiro;rio de janeiro;brazil;14;0;14;20;20;0;;;;
;new york university;instituition;new york city;new york;united states;15;0;15;20;20;0;;;;
;instituto federal de educacao ciencia e tecnologia de goias;instituition;goiania;goias;brazil;7;0;7;20;20;0;;;;
;fundacao faculdade regional de medicina de sao jose do rio preto;instituition;sao jose do rio preto;sao paulo;brazil;11;0;11;20;20;0;;;;
;university of washington;instituition;seattle;washington;united states;18;0;18;20;20;0;;;;
;universidade federal de santa catarina;instituition;florianopolis;santa catarina;brazil;17;0;17;20;20;0;;;;
;universidade federal de sao carlos;instituition;sao carlos;sao paulo;brazil;18;0;18;20;20;0;;;;
;instituto federal de sao paulo;instituition;sao paulo;sao paulo;brazil;7;0;7;19;19;0;;;;
;faculdade de reabilitacao da asce;instituition;rio de janeiro;rio de janeiro;brazil;4;0;4;19;19;0;;;;
;faculdade de medicina da universidade federal de minas gerais;instituition;uberlandia;minas gerais;brazil;9;0;9;19;19;0;;;;
;centro universitario plinio leite;instituition;niteroi;rio de janeiro;brazil;5;0;5;19;19;0;;;;
;instituto presbiteriano mackenzie;instituition;campinas;sao paulo;brazil;5;0;5;19;19;0;;;;
;universidade ceuma;instituition;sao luis;maranhao;brazil;5;0;5;19;19;0;;;;
;universidade do estado do amazonas;instituition;manaus;amazonas;brazil;6;0;6;19;19;0;;;;
;university of california system;instituition;santa cruz;california;united states;17;0;17;19;19;0;;;;
;university of british columbia;instituition;vancouver;british columbia;canada;16;0;16;19;19;0;;;;
;ludwig maximilians universitat munchen;instituition;garching bei munchen;bavaria;germany;17;0;17;19;19;0;;;;
;universite laval;instituition;quebec;quebec;canada;10;0;10;19;19;0;;;;
;university of southampton;instituition;southampton;england;united kingdom;17;0;17;19;19;0;;;;
;instituto de matematica e estatistica;instituition;sao paulo;sao paulo;brazil;10;0;10;18;18;0;;;;
;faculdade ruy barbosa;instituition;salvador;bahia;brazil;6;0;6;18;18;0;;;;
;universite paris sorbonne;instituition;paris;í¬le-de-france;france;12;0;12;18;18;0;;;;
;universidad politecnica de madrid;instituition;madrid;madrid;spain;12;0;12;18;18;0;;;;
;katholieke universiteit leuven;instituition;leuven;flanders;belgium;15;0;15;18;18;0;;;;
;universita degli studi di milano;instituition;milano;lombardy;italy;13;0;13;18;18;0;;;;
;university of michigan;instituition;ann arbor;michigan;united states;15;0;15;18;18;0;;;;
;instituto de ciencias matematicas e de computacao;instituition;sao carlos;sao paulo;brazil;12;0;12;18;18;0;;;;
;universita di bologna;instituition;bologna;emilia-romagna;italy;11;0;11;18;18;0;;;;
;faculdade de medicina de botucatu;instituition;botucatu;sao paulo;brazil;13;0;13;18;18;0;;;;
;michigan state university;instituition;east lansing;michigan;united states;15;0;15;18;18;0;;;;
;westfalische wilhelms universitat munster;instituition;munster;lower saxony;germany;15;0;15;18;18;0;;;;
;universite de paris xi paris sud;instituition;sceaux;í¬le-de-france;france;10;0;10;18;18;0;;;;
;faculdade de tecnologia de sorocaba;instituition;sorocaba;sao paulo;brazil;13;0;13;18;18;0;;;;
;ruprecht karls universitat heidelberg;instituition;heidelberg;baden-wí_rttemberg region;germany;18;0;18;18;18;0;;;;
;faculdade de filosofia ciencias e letras de ituverava;instituition;ituverava;sao paulo;brazil;9;0;9;18;18;0;;;;
;universidade de evora;instituition;evora;í©vora;portugal;11;0;11;18;18;0;;;;
;hospital heliopolis unidade de gestao assistencial 1;instituition;sao paulo;sao paulo;brazil;14;0;14;17;17;0;;;;
;faculdades integradas maria thereza;instituition;niteroi;rio de janeiro;brazil;9;0;9;17;17;0;;;;
;universidade federal do para;instituition;belem;para;brazil;16;0;16;17;17;0;;;;
;faculdade de odontologia de ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;12;0;12;17;17;0;;;;
;centre national de la recherche scientifique;instituition;paris;í¬le-de-france;france;14;0;14;17;17;0;;;;
;state university of new york;instituition;albany;new york;united states;15;0;15;17;17;0;;;;
;faculdade de odontologia de piracicaba unicamp;instituition;piracicaba;sao paulo;brazil;15;0;15;17;17;0;;;;
;centro universitario do norte paulista;instituition;sao jose do rio preto;sao paulo;brazil;7;0;7;17;17;0;;;;
;brown university;instituition;providence;rhode island;united states;16;0;16;17;17;0;;;;
;universite de toulouse iii paul sabatier;instituition;toulouse;midi-pyrí©ní©es;france;17;0;17;17;17;0;;;;
;universidade federal do tocantins;instituition;palmas;tocantins;brazil;13;0;13;17;17;0;;;;
;universite de lorraine;instituition;epinal;lorraine;france;12;0;12;17;17;0;;;;
;centro universitario serra dos orgaos;instituition;teresopolis;rio de janeiro;brazil;10;0;10;17;17;0;;;;
;universidade federal do ceara;instituition;fortaleza;ceara;brazil;17;0;17;17;17;0;;;;
;faculdade de engenharia de guaratingueta;instituition;guaratingueta;sao paulo;brazil;10;0;10;17;17;0;;;;
;centro universitario toledo;instituition;aracatuba;sao paulo;brazil;11;0;11;17;17;0;;;;
;universidade federal fluminense;instituition;niteroi;rio de janeiro;brazil;11;0;11;16;16;0;;;;
;escola superior de ciencias da santa casa de misericordia de vitoria;instituition;vitoria;espirito santo;brazil;8;0;8;16;16;0;;;;
;universidade federal da bahia;instituition;salvador;bahia;brazil;14;0;14;16;16;0;;;;
;johns hopkins university;instituition;baltimore;maryland;united states;14;0;14;16;16;0;;;;
;universidade vale do rio verde;instituition;tres coracoes;minas gerais;brazil;11;0;11;16;16;0;;;;
;faculdade de odontologia de ribeirao preto da universidade de sao paulo;instituition;ribeirao preto;sao paulo;brazil;11;0;11;16;16;0;;;;
;centro universitario salesiano de sao paulo;instituition;lorena;sao paulo;brazil;12;0;12;16;16;0;;;;
;universitat autonoma de barcelona uab;instituition;barcelona;catalonia;spain;12;0;12;16;16;0;;;;
;university of chicago;instituition;joliet;illinois;united states;16;0;16;16;16;0;;;;
;instituto agronomico de campinas;instituition;campinas;sao paulo;brazil;9;0;9;16;16;0;;;;
;university of reading;instituition;reading;england;united kingdom;16;0;16;16;16;0;;;;
;faculdade de medicina de botucatu unesp;instituition;botucatu;sao paulo;brazil;15;0;15;16;16;0;;;;
;universite libre de bruxelles;instituition;brussels;brussels capital region;belgium;14;0;14;16;16;0;;;;
;centro universitario do sul de minas;instituition;varginha;minas gerais;brazil;10;0;10;16;16;0;;;;
;universidad de santiago de compostela;instituition;santiago de compostela;galicia;spain;12;0;12;16;16;0;;;;
;ohio state university;instituition;columbus;ohio;united states;15;0;15;16;16;0;;;;
;universidad de oviedo;instituition;oviedo;asturias;spain;7;0;7;16;16;0;;;;
;faculdade de filosofia ciencias e letras de penapolis;instituition;penapolis;sao paulo;brazil;10;0;10;16;16;0;;;;
;universidade federal do parana;instituition;curitiba;parana;brazil;15;0;15;16;16;0;;;;
;instituto unificado de ensino superior objetivo;instituition;goiania;goias;brazil;7;0;7;16;16;0;;;;
;faculdade teologica batista de sao paulo;instituition;sao paulo;sao paulo;brazil;7;0;7;15;15;0;;;;
;faculdade de engenharia sao paulo;instituition;sao paulo;sao paulo;brazil;6;0;6;15;15;0;;;;
;faculdades integradas simonsen;instituition;rio de janeiro;rio de janeiro;brazil;7;0;7;15;15;0;;;;
;universidade estadual do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;9;0;9;15;15;0;;;;
;faculdade teologica batista do parana;instituition;curitiba;parana;brazil;13;0;13;15;15;0;;;;
;centro universitario curitiba;instituition;curitiba;parana;brazil;8;0;8;15;15;0;;;;
;instituto materno infantil de pernambuco;instituition;recife;pernambuco;brazil;6;0;6;15;15;0;;;;
;universidad nacional del litoral;instituition;santa fe de la vera cruz;santa fe;argentina;11;0;11;15;15;0;;;;
;universidad de zaragoza;instituition;zaragoza;aragon;spain;9;0;9;15;15;0;;;;
;laboratorio nacional de computacao cientifica;instituition;petropolis;rio de janeiro;brazil;14;0;14;15;15;0;;;;
;universidad de navarra;instituition;pamplona;navarre;spain;10;0;10;15;15;0;;;;
;universitat freiburg;instituition;freiburg;baden-wí_rttemberg region;germany;14;0;14;15;15;0;;;;
;faculdade estadual de ciencias economicas de apucarana;instituition;apucarana;parana;brazil;11;0;11;15;15;0;;;;
;university of arizona;instituition;tucson;arizona;united states;14;0;14;15;15;0;;;;
;university of bristol;instituition;bristol;england;united kingdom;13;0;13;15;15;0;;;;
;university of liverpool;instituition;liverpool;england;united kingdom;13;0;13;15;15;0;;;;
;universite du quebec a montreal;instituition;montreal;quebec;canada;10;0;10;15;15;0;;;;
;universidade federal dos vales do jequitinhonha e mucuri;instituition;diamantina;minas gerais;brazil;9;0;9;15;15;0;;;;
;escola de engenharia de lorena da usp;instituition;lorena;sao paulo;brazil;13;0;13;15;15;0;;;;
;universidade do estado do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;9;0;9;15;15;0;;;;
;faculdade de filosofia ciencias e letras de alegre;instituition;alegre;espirito santo;brazil;7;0;7;15;15;0;;;;
;faculdade da regiao dos lagos;instituition;cabo frio;rio de janeiro;brazil;12;0;12;15;15;0;;;;
;policia militar do estado de sao paulo;instituition;sao paulo;sao paulo;brazil;8;0;8;14;14;0;;;;
;hospital das clinicas da fmusp;instituition;sao paulo;sao paulo;brazil;4;0;4;14;14;0;;;;
;centro universitario salesiano sao paulo;instituition;sao paulo;sao paulo;brazil;12;0;12;14;14;0;;;;
;faculdade santa marcelina;instituition;sao paulo;sao paulo;brazil;7;0;7;14;14;0;;;;
;centro sao camilo de desenvolvimento em administracao da saude;instituition;sao paulo;sao paulo;brazil;10;0;10;14;14;0;;;;
;escola de comunicacoes e artes da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;3;0;3;14;14;0;;;;
;universidad de valladolid;instituition;valladolid;castille and leí_n;spain;8;0;8;14;14;0;;;;
;faculdade de educacao;instituition;vitoria;espirito santo;brazil;7;0;7;14;14;0;;;;
;centro universitario do distrito federal;instituition;brasilia;federal district;brazil;13;0;13;14;14;0;;;;
;fundacao joao pinheiro;instituition;belo horizonte;minas gerais;brazil;4;0;4;14;14;0;;;;
;escola de engenharia kennedy;instituition;belo horizonte;minas gerais;brazil;10;0;10;14;14;0;;;;
;centro universitario una;instituition;belo horizonte;minas gerais;brazil;5;0;5;14;14;0;;;;
;centro universitario ritter dos reis;instituition;porto alegre;rio grande do sul;brazil;6;0;6;14;14;0;;;;
;pontificia universitas gregoriana;instituition;rome;latium;italy;14;0;14;14;14;0;;;;
;faculdade de odontologia de piracicaba;instituition;piracicaba;sao paulo;brazil;11;0;11;14;14;0;;;;
;university of alberta;instituition;edmonton;alberta;canada;11;0;11;14;14;0;;;;
;faculdade do clube nautico mogiano;instituition;mogi das cruzes;sao paulo;brazil;7;0;7;14;14;0;;;;
;universite montpellier 2 sciences et techniques;instituition;montpellier;languedoc-roussillon;france;13;0;13;14;14;0;;;;
;faculdades integradas regionais de avare;instituition;avare;sao paulo;brazil;10;0;10;14;14;0;;;;
;faculdade de medicina de barbacena;instituition;barbacena;minas gerais;brazil;9;0;9;14;14;0;;;;
;universita degli studi di firenze;instituition;florence;tuscany;italy;13;0;13;14;14;0;;;;
;university of california berkeley;instituition;berkeley;california;united states;11;0;11;14;14;0;;;;
;christian albrechts universitat zu kiel;instituition;kiel;schleswig-holstein;germany;14;0;14;14;14;0;;;;
;universite de tours universite francois rabelais;instituition;tours;centre;france;13;0;13;14;14;0;;;;
;faculdades integradas maria imaculada;instituition;mogi guacu;sao paulo;brazil;11;0;11;14;14;0;;;;
;seminario adventista latino americano de teologia;instituition;cachoeira;bahia;brazil;14;0;14;14;14;0;;;;
;faculdade de filosofia santa doroteia;instituition;nova friburgo;rio de janeiro;brazil;5;0;5;14;14;0;;;;
;hospital das clinicas da faculdade de medicina da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;5;0;5;14;14;0;;;;
;faculdade de odontologia de bauru da universidade de sao paulo;instituition;bauru;sao paulo;brazil;10;0;10;13;13;0;;;;
;japan international cooperation agency;instituition;tokyo;tÅçkyÅç;japan;11;0;11;13;13;0;;;;
;faculdade de odontologia de pernambuco;instituition;recife;pernambuco;brazil;7;0;7;13;13;0;;;;
;hospital das clinicas da faculdade de medicina de ribeirao preto usp;instituition;ribeirao preto;sao paulo;brazil;12;0;12;13;13;0;;;;
;universite de paris viii;instituition;paris;í¬le-de-france;france;11;0;11;13;13;0;;;;
;pontificia universidade lateranense;instituition;rome;latium;italy;13;0;13;13;13;0;;;;
;boston university;instituition;boston;massachusetts;united states;13;0;13;13;13;0;;;;
;university of california san diego;instituition;la jolla;california;united states;10;0;10;13;13;0;;;;
;faculdade de sao bernardo do campo;instituition;sao bernardo do campo;sao paulo;brazil;9;0;9;13;13;0;;;;
;universite de strasbourg;instituition;strasbourg;alsace;france;12;0;12;13;13;0;;;;
;northwestern university;instituition;evanston;illinois;united states;11;0;11;13;13;0;;;;
;universidad de leon;instituition;leon;castille and leí_n;spain;10;0;10;13;13;0;;;;
;centro universitario luterano de palmas;instituition;palmas;tocantins;brazil;9;0;9;13;13;0;;;;
;university of california at berkeley;instituition;berkeley;california;united states;9;0;9;13;13;0;;;;
;universidade de valencia;instituition;valencia;valencia;spain;9;0;9;13;13;0;;;;
;universite de poitiers;instituition;poitiers;poitou-charentes;france;13;0;13;13;13;0;;;;
;universidad de alicante;instituition;alicante;valencia;spain;10;0;10;13;13;0;;;;
;universite joseph fourier grenoble i;instituition;valence;rhíÇne-alpes;france;13;0;13;13;13;0;;;;
;centro universitario nossa senhora do patrocinio;instituition;salto;sao paulo;brazil;11;0;11;13;13;0;;;;
;universiteit van amsterdam;instituition;amsterdam;north holland;netherlands;7;0;7;13;13;0;;;;
;centro de ensino superior de valenca;instituition;valenca;rio de janeiro;brazil;7;0;7;13;13;0;;;;
;faculdade de filosofia ciencias e letras de sao jose do rio pardo;instituition;sao jose do rio pardo;sao paulo;brazil;9;0;9;13;13;0;;;;
;centro universitario de formiga;instituition;formiga;minas gerais;brazil;6;0;6;13;13;0;;;;
;centro universitario sant anna;instituition;sao paulo;sao paulo;brazil;5;0;5;13;13;0;;;;
;faculdade de direito de sorocaba;instituition;sorocaba;sao paulo;brazil;6;0;6;13;13;0;;;;
;faculdade de direito do sul de minas;instituition;pouso alegre;minas gerais;brazil;11;0;11;13;13;0;;;;
;faculdades integradas teresa d avila;instituition;lorena;sao paulo;brazil;10;0;10;13;13;0;;;;
;university of pennsylvania;instituition;philadelphia;pennsylvania;united states;9;0;9;12;12;0;;;;
;fundacao antonio prudente;instituition;sao paulo;sao paulo;brazil;9;0;9;12;12;0;;;;
;instituto de ciencias biomedicas;instituition;sao paulo;sao paulo;brazil;7;0;7;12;12;0;;;;
;instituto de ciencias biomedicas da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;6;0;6;12;12;0;;;;
;hospital do servidor publico municipal;instituition;sao paulo;sao paulo;brazil;4;0;4;12;12;0;;;;
;fiam faam centro universitario;instituition;sao paulo;sao paulo;brazil;3;0;3;12;12;0;;;;
;fundacao visconde de cairu;instituition;salvador;bahia;brazil;6;0;6;12;12;0;;;;
;hospital de clinicas de porto alegre;instituition;porto alegre;rio grande do sul;brazil;8;0;8;12;12;0;;;;
;yale university;instituition;new haven;connecticut;united states;12;0;12;12;12;0;;;;
;universite de paris iv paris sorbonne;instituition;paris;í¬le-de-france;france;10;0;10;12;12;0;;;;
;universidade federal da paraiba;instituition;joao pessoa;paraiba;brazil;11;0;11;12;12;0;;;;
;universitat politecnica de catalunya barcelona tech;instituition;barcelona;catalonia;spain;12;0;12;12;12;0;;;;
;universidad nacional de educacion a distancia;instituition;madrid;madrid;spain;8;0;8;12;12;0;;;;
;university of sheffield;instituition;sheffield;england;united kingdom;11;0;11;12;12;0;;;;
;faculdade teologica sul americana;instituition;londrina;parana;brazil;12;0;12;12;12;0;;;;
;university of nottingham;instituition;nottingham;england;united kingdom;11;0;11;12;12;0;;;;
;university of edinburgh;instituition;edinburgh;scotland;united kingdom;12;0;12;12;12;0;;;;
;university of glasgow;instituition;glasgow;scotland;united kingdom;10;0;10;12;12;0;;;;
;centro universitario de brusque;instituition;brusque;santa catarina;brazil;12;0;12;12;12;0;;;;
;albert ludwigs universitat freiburg;instituition;freiburg;baden-wí_rttemberg region;germany;11;0;11;12;12;0;;;;
;university of miami;instituition;coral gables;florida;united states;10;0;10;12;12;0;;;;
;universite de geneve;instituition;geneva;illinois;united states;11;0;11;12;12;0;;;;
;vanderbilt university;instituition;nashville;tennessee;united states;9;0;9;12;12;0;;;;
;instituto federal de educacao ciencia e tecnologia do parana;instituition;palmas;parana;brazil;10;0;10;12;12;0;;;;
;faculdade de odontologia de aracatuba;instituition;aracatuba;sao paulo;brazil;12;0;12;12;12;0;;;;
;faculdade de ciencias educacao e teologia do norte do brasil;instituition;boa vista;roraima;brazil;10;0;10;12;12;0;;;;
;university of sussex;instituition;brighton;england;united kingdom;11;0;11;12;12;0;;;;
;ecole polytechnique federale de lausanne;instituition;lausanne;vaud;switzerland;12;0;12;12;12;0;;;;
;universidade federal de uberlandia;instituition;uberlandia;minas gerais;brazil;11;0;11;12;12;0;;;;
;centro universitario celso lisboa;instituition;rio de janeiro;rio de janeiro;brazil;5;0;5;12;12;0;;;;
;instituto federal de alagoas matriz;instituition;maceio;alagoas;brazil;4;0;4;12;12;0;;;;
;pontificia universidade catolica do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;7;0;7;12;12;0;;;;
;universidade do estado do amazonas;instituition;manaus;amazonas;brazil;8;0;8;12;12;0;;;;
;centro universitario fluminense;instituition;campos dos goytacazes;rio de janeiro;brazil;4;0;4;12;12;0;;;;
;faculdade paulista de servico social;instituition;sao paulo;sao paulo;brazil;9;0;9;11;11;0;;;;
;instituto de astronomia geofisica e ciencias atmosfericas;instituition;sao paulo;sao paulo;brazil;5;0;5;11;11;0;;;;
;observatorio nacional;instituition;rio de janeiro;rio de janeiro;brazil;8;0;8;11;11;0;;;;
;associacao brasileira de odontologia;instituition;curitiba;parana;brazil;9;0;9;11;11;0;;;;
;instituto de estudos superiores da amazonia;instituition;belem;para;brazil;4;0;4;11;11;0;;;;
;universidade federal de goias;instituition;goiania;goias;brazil;10;0;10;11;11;0;;;;
;faculdade de ciencias humanas esuda;instituition;recife;pernambuco;brazil;4;0;4;11;11;0;;;;
;university of southern california;instituition;los angeles;california;united states;8;0;8;11;11;0;;;;
;universidade de paris i pantheon sorbonne;instituition;paris;í¬le-de-france;france;8;0;8;11;11;0;;;;
;universidad autonoma de barcelona;instituition;barcelona;catalonia;spain;6;0;6;11;11;0;;;;
;fundacao educacional de barretos;instituition;barretos;sao paulo;brazil;7;0;7;11;11;0;;;;
;ghent university;instituition;gent;flanders;belgium;11;0;11;11;11;0;;;;
;universidade federal do abc;instituition;santo andre;sao paulo;brazil;7;0;7;11;11;0;;;;
;escola de enfermagem wenceslau braz;instituition;itajuba;minas gerais;brazil;6;0;6;11;11;0;;;;
;university of waterloo;instituition;waterloo;ontario;canada;10;0;10;11;11;0;;;;
;university of manchester;instituition;manchester;england;united kingdom;10;0;10;11;11;0;;;;
;university of pittsburgh;instituition;pittsburgh;pennsylvania;united states;11;0;11;11;11;0;;;;
;university of leeds;instituition;leeds;england;united kingdom;10;0;10;11;11;0;;;;
;delft university of technology;instituition;delft;south holland;netherlands;10;0;10;11;11;0;;;;
;princeton university;instituition;princeton;florida;united states;8;0;8;11;11;0;;;;
;technische universitat munchen;instituition;garching bei munchen;bavaria;germany;10;0;10;11;11;0;;;;
;university of birmingham;instituition;birmingham;england;united kingdom;10;0;10;11;11;0;;;;
;universidad del pais vasco;instituition;leioa;basque country;spain;8;0;8;11;11;0;;;;
;universitat zu koln;instituition;koeln;north rhine-westphalia;germany;9;0;9;11;11;0;;;;
;faculdades integradas rui barbosa;instituition;andradina;sao paulo;brazil;9;0;9;11;11;0;;;;
;faculdade estadual de filosofia ciencias e letras de paranagua;instituition;paranagua;parana;brazil;9;0;9;11;11;0;;;;
;universidade estadual do norte do parana;instituition;jacarezinho;parana;brazil;10;0;10;11;11;0;;;;
;rheinische friedrich wilhelms universitat bonn;instituition;bonn;north rhine-westphalia;germany;10;0;10;11;11;0;;;;
;faculdade de enfermagem luiza de marillac;instituition;rio de janeiro;rio de janeiro;brazil;2;0;2;11;11;0;;;;
;sociedade educacional de santa catarina;instituition;joinville;santa catarina;brazil;6;0;6;11;11;0;;;;
;faculdade de filosofia ciencias e letras de mandaguari;instituition;mandaguari;parana;brazil;11;0;11;11;11;0;;;;
;faculdade de economia e financas do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;6;0;6;11;11;0;;;;
;instituto de assistencia medica ao servidor publico estadual;instituition;sao paulo;sao paulo;brazil;5;0;5;10;10;0;;;;
;centro universitario senac;instituition;sao paulo;sao paulo;brazil;4;0;4;10;10;0;;;;
;instituto nacional de cancer;instituition;rio de janeiro;rio de janeiro;brazil;8;0;8;10;10;0;;;;
;sociedade brasileira de cardiologia;instituition;rio de janeiro;rio de janeiro;brazil;7;0;7;10;10;0;;;;
;university of california los angeles;instituition;los angeles;california;united states;10;0;10;10;10;0;;;;
;city university of new york;instituition;new york city;new york;united states;9;0;9;10;10;0;;;;
;university college london;instituition;london;england;united kingdom;7;0;7;10;10;0;;;;
;university of iowa;instituition;iowa city;iowa;united states;9;0;9;10;10;0;;;;
;universidade nilton lins;instituition;manaus;amazonas;brazil;3;0;3;10;10;0;;;;
;centro universitario do norte;instituition;manaus;amazonas;brazil;4;0;4;10;10;0;;;;
;georgetown university;instituition;washington d c;washington, d,c,;united states;10;0;10;10;10;0;;;;
;university of illinois system;instituition;skokie;illinois;united states;10;0;10;10;10;0;;;;
;universidad de cadiz;instituition;cadiz;andalusia;spain;8;0;8;10;10;0;;;;
;faculdades integradas claretianas;instituition;rio claro;sao paulo;brazil;7;0;7;10;10;0;;;;
;universidade federal de santa maria;instituition;santa maria;rio grande do sul;brazil;9;0;9;10;10;0;;;;
;universidade estadual do parana;instituition;paranavai;parana;brazil;8;0;8;10;10;0;;;;
;universidad de castilla la mancha;instituition;cuenca;castille-la mancha;spain;8;0;8;10;10;0;;;;
;universidad de murcia;instituition;murcia;murcia;spain;7;0;7;10;10;0;;;;
;faculdade de direito do vale do rio doce;instituition;governador valadares;minas gerais;brazil;8;0;8;10;10;0;;;;
;leiden university;instituition;leiden;south holland;netherlands;8;0;8;10;10;0;;;;
;faculdades integradas de patos;instituition;patos;paraiba;brazil;8;0;8;10;10;0;;;;
;university of kansas;instituition;lawrence;kansas;united states;8;0;8;10;10;0;;;;
;faculdade capixaba de nova venecia;instituition;nova venecia;espirito santo;brazil;9;0;9;10;10;0;;;;
;instituto superior de ensino e pesquisa de ituiutaba;instituition;ituiutaba;minas gerais;brazil;5;0;5;10;10;0;;;;
;institut national polytechnique de grenoble;instituition;grenoble;rhíÇne-alpes;france;10;0;10;10;10;0;;;;
;faculdade de educacao de assis;instituition;assis;sao paulo;brazil;8;0;8;10;10;0;;;;
;faculdade de musica carlos gomes;instituition;sao paulo;sao paulo;brazil;6;0;6;10;10;0;;;;
;faculdade brasileira de ciencias juridicas;instituition;rio de janeiro;rio de janeiro;brazil;4;0;4;10;10;0;;;;
;faculdade batista brasileira;instituition;salvador;bahia;brazil;7;0;7;10;10;0;;;;
;universidade federal de sao paulo;instituition;guarulhos;sao paulo;brazil;5;0;5;10;10;0;;;;
;universidade federal de mato grosso;instituition;cuiaba;mato grosso;brazil;9;0;9;10;10;0;;;;
;instituto federal do piaui;instituition;teresina;piaui;brazil;3;0;3;10;10;0;;;;
;instituto federal de sergipe;instituition;aracaju;sergipe;brazil;6;0;6;10;10;0;;;;
;faculdade de direito da alta paulista;instituition;tupa;sao paulo;brazil;9;0;9;10;10;0;;;;
;universidade regional de blumenau;instituition;blumenau;santa catarina;brazil;6;0;6;10;10;0;;;;
;irmandade da santa casa de misericordia de sao paulo;instituition;sao paulo;sao paulo;brazil;4;0;4;9;9;0;;;;
;faculdade de saude publica da usp;instituition;sao paulo;sao paulo;brazil;4;0;4;9;9;0;;;;
;faculdade de saude publica;instituition;sao paulo;sao paulo;brazil;6;0;6;9;9;0;;;;
;santa casa de misericordia do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;7;0;7;9;9;0;;;;
;faculdades integradas de jacarepagua;instituition;rio de janeiro;rio de janeiro;brazil;8;0;8;9;9;0;;;;
;university of minnesota;instituition;minneapolis;minnesota;united states;9;0;9;9;9;0;;;;
;centro de pesquisas odontologicas sao leopoldo mandic;instituition;campinas;sao paulo;brazil;8;0;8;9;9;0;;;;
;universidade federal de vicosa;instituition;vicosa;minas gerais;brazil;9;0;9;9;9;0;;;;
;new school for social research;instituition;new york city;new york;united states;9;0;9;9;9;0;;;;
