names,parana,santa catarina,sao paulo,rio de janeiro,goias,pernambuco,rio grande do sul,minas gerais,rio grande do norte,maranhao,paraiba,amazonas,federal district,mato grosso,bahia,ceara,espirito santo,para,mato grosso do sul,tocantins,piaui,acre,alagoas,sergipe,rondonia,roraima,amapa
parana,184,25,96,11,0,2,8,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
santa catarina,13,260,53,5,0,2,21,4,0,0,1,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0
sao paulo,24,24,2968,41,3,6,14,24,7,0,5,2,12,0,8,6,2,3,0,0,0,0,0,0,0,0,0
rio de janeiro,30,8,90,854,0,7,11,15,2,0,3,0,8,0,5,1,2,5,0,0,0,0,1,0,0,0,0
goias,1,0,17,2,7,1,0,6,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pernambuco,4,0,42,13,0,153,4,8,6,0,10,0,3,0,2,3,0,0,0,0,0,0,1,0,0,0,0
rio grande do sul,9,24,100,15,0,1,538,13,1,0,3,1,3,0,5,1,1,1,0,0,0,0,0,0,0,0,0
minas gerais,11,4,144,38,2,2,12,425,1,0,2,1,14,0,3,1,0,1,0,0,0,0,0,0,0,0,0
rio grande do norte,0,1,10,2,0,6,0,0,27,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
maranhao,0,0,10,1,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
paraiba,0,6,39,8,0,20,4,3,3,0,73,0,2,0,3,3,0,2,0,0,0,0,1,0,0,0,0
amazonas,4,0,8,1,0,1,0,1,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
federal district,3,1,25,8,0,4,3,3,0,0,1,0,108,0,2,0,0,0,0,0,0,0,0,0,0,0,0
mato grosso,0,1,5,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
bahia,2,3,22,4,0,2,3,0,0,0,1,0,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0
ceara,0,1,26,4,0,9,2,7,2,0,4,0,1,0,1,64,0,0,0,0,0,0,0,1,0,0,0
espirito santo,1,0,15,4,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
para,1,0,23,9,0,0,0,10,0,0,2,1,2,0,0,1,1,12,0,0,0,0,0,0,0,0,0
mato grosso do sul,0,1,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tocantins,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piaui,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
acre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alagoas,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
sergipe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rondonia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roraima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amapa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
