names,parana,santa catarina,sao paulo,rio de janeiro,goias,pernambuco,rio grande do sul,minas gerais,rio grande do norte,maranhao,paraiba,amazonas,federal district,mato grosso,bahia,ceara,espirito santo,para,mato grosso do sul,tocantins,piaui,acre,alagoas,sergipe,rondonia,roraima,amapa
parana,363,26,130,20,0,3,14,8,2,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0
santa catarina,18,270,62,16,1,0,42,8,3,0,1,3,8,0,5,1,0,0,0,0,0,0,0,0,0,0,0
sao paulo,32,22,3414,58,6,15,24,36,3,0,6,7,23,0,11,4,2,5,5,0,0,0,1,1,0,0,0
rio de janeiro,39,2,108,1159,3,6,10,17,8,0,1,2,7,0,2,3,4,1,0,0,0,0,0,1,0,0,0
goias,2,0,18,6,64,0,4,3,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pernambuco,3,0,26,6,0,265,5,5,10,1,12,1,3,0,5,6,0,1,0,0,0,0,1,0,0,0,0
rio grande do sul,10,33,76,31,2,3,839,13,1,0,2,1,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0
minas gerais,10,2,152,57,13,8,14,783,1,0,3,3,12,0,4,0,3,1,4,0,0,0,0,2,0,0,0
rio grande do norte,0,0,8,2,0,4,0,1,78,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
maranhao,0,0,9,4,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paraiba,1,1,22,8,1,12,4,2,18,0,129,2,4,0,5,3,0,2,0,0,0,0,0,0,0,0,0
amazonas,3,1,9,6,0,0,0,1,0,0,0,32,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
federal district,1,2,25,8,7,2,1,8,3,0,1,0,192,0,4,2,0,2,2,0,0,0,0,0,0,0,0
mato grosso,1,0,22,2,1,0,0,1,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
bahia,4,1,27,8,1,8,3,4,3,0,3,1,1,0,171,0,0,0,0,0,0,0,0,1,0,0,0
ceara,0,2,36,7,2,8,0,8,4,0,7,1,4,1,0,163,0,4,0,0,1,0,0,0,0,0,0
espirito santo,0,1,11,11,0,0,1,3,0,0,0,1,0,0,1,0,25,0,1,0,0,0,0,0,0,0,0
para,0,1,21,4,0,0,2,2,4,0,2,0,4,0,3,1,0,62,0,0,0,0,0,0,1,0,0
mato grosso do sul,3,1,18,0,1,0,1,2,0,0,0,1,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0
tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piaui,0,0,5,2,0,2,0,1,0,1,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0
acre,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alagoas,0,0,5,2,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
sergipe,0,0,3,1,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,6,0,0,0
rondonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
roraima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
