names,parana,santa catarina,sao paulo,rio de janeiro,goias,pernambuco,rio grande do sul,minas gerais,rio grande do norte,maranhao,paraiba,amazonas,federal district,mato grosso,bahia,ceara,espirito santo,para,mato grosso do sul,tocantins,piaui,acre,alagoas,sergipe,rondonia,roraima,amapa
parana,646,25,138,35,1,1,19,11,2,0,2,4,5,0,7,0,1,1,3,0,0,0,0,0,2,0,0
santa catarina,30,341,79,14,0,3,45,8,1,0,3,0,8,0,6,0,1,4,0,0,0,0,0,0,0,0,0
sao paulo,48,17,3538,47,13,12,24,56,8,0,4,3,29,1,19,11,2,13,5,0,0,0,0,3,1,0,0
rio de janeiro,46,4,112,1318,10,7,20,38,6,0,2,0,13,0,12,4,5,2,1,0,0,0,0,0,0,0,0
goias,3,0,32,12,135,2,3,13,0,0,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pernambuco,2,3,31,12,0,399,4,5,7,0,17,1,6,0,12,6,2,3,0,0,0,0,0,4,0,0,0
rio grande do sul,19,42,80,33,2,9,1105,10,2,0,6,2,11,0,7,1,1,3,0,0,0,0,0,1,0,0,0
minas gerais,14,5,206,68,14,8,16,1179,3,0,4,2,17,0,14,3,7,2,3,0,0,0,0,5,1,0,0
rio grande do norte,1,0,27,6,0,6,2,2,155,0,14,0,4,0,2,6,0,2,0,0,0,0,0,2,0,0,0
maranhao,0,0,14,9,1,1,0,3,0,12,5,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
paraiba,7,2,36,10,0,26,9,10,13,0,255,1,4,0,13,7,0,2,0,0,0,0,0,2,0,0,0
amazonas,3,4,36,6,0,2,1,4,0,0,4,60,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0
federal district,1,2,39,10,9,1,5,7,1,2,0,0,314,0,2,4,1,0,1,0,0,0,0,0,0,0,1
mato grosso,0,1,24,7,4,1,6,4,0,0,4,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0
bahia,3,1,42,21,0,6,1,25,5,0,3,2,4,1,260,2,1,0,0,0,0,0,0,2,0,0,0
ceara,1,2,47,12,0,15,8,12,7,2,9,0,5,0,4,242,0,0,0,0,2,0,0,0,1,0,0
espirito santo,1,1,13,10,1,1,0,7,1,0,0,0,0,0,2,1,64,1,0,0,0,0,0,0,0,0,0
para,1,0,35,7,0,0,0,1,1,0,2,1,2,0,1,3,0,122,0,0,0,0,0,0,0,0,1
mato grosso do sul,6,2,30,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0
tocantins,0,0,2,0,2,0,0,1,0,0,0,0,3,0,0,1,0,0,0,7,0,0,0,0,0,0,0
piaui,1,0,22,1,1,1,2,3,1,0,3,0,0,0,0,6,0,0,0,0,8,0,0,2,0,0,0
acre,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alagoas,2,0,9,3,0,4,0,2,2,0,2,0,0,0,1,1,0,1,0,0,0,0,21,0,0,0,0
sergipe,1,0,5,2,1,2,1,5,2,0,2,0,2,0,6,3,0,0,0,0,0,0,0,46,0,0,0
rondonia,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0
roraima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amapa,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
