names,parana,santa catarina,sao paulo,rio de janeiro,goias,pernambuco,rio grande do sul,minas gerais,rio grande do norte,maranhao,paraiba,amazonas,federal district,mato grosso,bahia,ceara,espirito santo,para,mato grosso do sul,tocantins,piaui,acre,alagoas,sergipe,rondonia,roraima,amapa
parana,288,23,108,16,0,1,6,8,1,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
santa catarina,12,242,63,11,1,1,17,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sao paulo,18,22,3266,65,5,11,22,25,4,1,5,4,27,0,11,7,4,6,1,1,0,0,1,0,0,0,0
rio de janeiro,30,15,103,980,0,3,13,17,4,0,3,0,19,0,2,1,2,2,0,0,0,0,1,0,0,0,0
goias,0,1,26,0,41,0,3,1,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pernambuco,2,2,39,4,0,180,3,8,1,0,11,0,4,0,5,2,0,1,0,0,0,0,0,0,0,0,0
rio grande do sul,11,21,84,24,2,3,571,14,0,0,2,0,6,0,4,0,1,3,0,0,0,0,0,0,0,0,0
minas gerais,18,1,135,64,1,7,9,553,0,0,5,4,5,0,4,3,1,1,0,0,0,0,0,0,0,0,0
rio grande do norte,0,1,12,5,0,3,0,0,63,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
maranhao,0,0,8,1,0,0,1,0,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
paraiba,4,4,27,5,0,19,4,7,4,1,89,0,3,0,1,5,0,1,0,0,0,0,0,0,0,0,0
amazonas,1,0,7,4,0,0,1,1,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
federal district,1,1,33,6,2,2,3,3,2,0,0,2,152,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mato grosso,1,0,14,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bahia,0,3,22,6,0,4,2,5,3,0,0,0,0,0,101,0,0,0,0,1,0,0,0,1,0,0,0
ceara,0,0,14,10,0,7,2,9,3,0,2,0,4,0,2,87,0,0,0,0,0,0,0,0,0,0,0
espirito santo,0,0,7,9,0,0,0,2,0,0,0,0,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0
para,1,0,19,14,0,1,0,1,1,0,1,0,3,0,0,0,0,48,0,0,0,0,0,0,0,0,0
mato grosso do sul,1,0,14,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
piaui,1,0,2,0,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
acre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alagoas,0,0,4,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
sergipe,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
rondonia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roraima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amapa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
