"names";"parana";"santa catarina";"sao paulo";"rio de janeiro";"goias";"pernambuco";"rio grande do sul";"minas gerais";"rio grande do norte";"maranhao";"paraiba";"amazonas";"federal district";"mato grosso";"bahia";"ceara";"espirito santo";"para";"mato grosso do sul";"tocantins";"piaui";"acre";"alagoas";"sergipe";"rondonia";"roraima";"amapa"
"parana";"305";"19";"128";"21";"0";"3";"5";"6";"1";"0";"0";"1";"2";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"santa catarina";"23";"232";"60";"11";"2";"2";"19";"5";"4";"0";"0";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"sao paulo";"29";"13";"3344";"60";"10";"16";"27";"36";"7";"0";"6";"4";"27";"0";"8";"10";"1";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"rio de janeiro";"40";"2";"88";"1163";"1";"5";"9";"22";"3";"0";"1";"1";"10";"0";"12";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"goias";"1";"1";"16";"8";"39";"0";"1";"6";"0";"0";"0";"0";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"pernambuco";"1";"5";"26";"16";"0";"243";"8";"3";"6";"0";"10";"2";"1";"0";"2";"3";"0";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"rio grande do sul";"12";"20";"75";"17";"2";"5";"824";"11";"1";"0";"0";"1";"4";"0";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"minas gerais";"8";"6";"134";"58";"9";"2";"10";"741";"2";"0";"3";"4";"19";"1";"4";"2";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"rio grande do norte";"0";"0";"12";"1";"0";"3";"1";"0";"75";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"maranhao";"0";"0";"5";"3";"0";"0";"0";"0";"1";"2";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"paraiba";"0";"4";"27";"8";"0";"18";"4";"7";"14";"1";"150";"0";"1";"0";"1";"6";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"amazonas";"1";"0";"5";"4";"0";"0";"2";"1";"1";"0";"0";"14";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"federal district";"1";"2";"30";"10";"8";"3";"2";"3";"2";"0";"0";"0";"175";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"mato grosso";"1";"1";"10";"5";"1";"1";"2";"2";"0";"0";"0";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"bahia";"3";"1";"25";"4";"1";"8";"3";"3";"2";"0";"1";"0";"3";"0";"124";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"ceara";"0";"5";"25";"11";"0";"4";"1";"7";"10";"1";"9";"1";"3";"0";"1";"120";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"espirito santo";"0";"0";"13";"8";"0";"0";"2";"6";"0";"0";"0";"1";"0";"0";"0";"0";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"para";"3";"1";"22";"7";"0";"1";"1";"2";"1";"0";"2";"0";"3";"0";"0";"1";"0";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"mato grosso do sul";"3";"0";"13";"0";"0";"0";"0";"2";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0"
"tocantins";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"piaui";"0";"0";"3";"1";"0";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"acre";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"alagoas";"0";"0";"3";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0"
"sergipe";"1";"0";"2";"0";"0";"1";"2";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"rondonia";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"roraima";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"amapa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
""
