id,oX,oY,dX,dY,trips
908,-23.548,-46.636,-22.906,-47.061,1
923,-23.548,-46.636,48.89198,2.20675,1
926,-23.548,-46.636,-21.178,-47.81,1
943,-23.548,-46.636,51.50853,-0.12574,1
954,-23.548,-46.636,48.85341,2.3488,1
1026,-23.548,-46.636,40.58526,-105.08442,1
1077,-23.548,-46.636,39.16533,-86.52639,1
1083,-23.548,-46.636,53.38297,-1.4659,1
1213,-23.548,-46.636,33.41477,-111.90931,1
2717,-22.903,-43.208,40.4165,-3.70256,1
2727,-22.903,-43.208,-12.971,-38.511,1
2878,-22.903,-43.208,37.44188,-122.14302,1
4492,-22.906,-47.061,-23.548,-46.636,1
7186,-30.033,-51.23,-23.548,-46.636,1
7731,-19.817,-43.956,37.87159,-122.27275,1
8084,-22.315,-49.061,-23.548,-46.636,1
8099,-22.315,-49.061,-19.817,-43.956,1
8214,-22.315,-49.061,-22.886,-48.445,1
12574,-21.178,-47.81,-23.548,-46.636,1
14823,-12.971,-38.511,-22.903,-43.208,1
23087,45.41117,-75.69812,41.82399,-71.41283,1
23394,-20.754,-42.882,40.42587,-86.90807,1
24008,-28.388,-53.915,52.98569,10.08756,1
25150,48.85341,2.3488,-22.903,-43.208,1
33805,52.52437,13.41053,49.40768,8.69079,1
34134,-22.744,-43.708,-22.906,-47.061,1
35473,-23.179,-45.887,-23.548,-46.636,1
35655,-23.179,-45.887,37.44188,-122.14302,2
43662,42.44063,-76.49661,43.07305,-89.40123,1
51364,-34.61315,-58.37723,29.76328,-95.36327,1
58998,42.3751,-71.10561,39.16533,-86.52639,1
71565,41.52519,-88.0834,40.71427,-74.00597,1
72744,52.2,0.11667,-22.903,-43.208,1
76871,30.43826,-84.28073,29.65163,-82.32483,1
78577,42.35843,-71.05977,-23.548,-46.636,1
79042,36.97412,-122.0308,-22.315,-49.061,1
90704,43.15478,-77.61556,-22.903,-43.208,1
114513,-22.411,-47.561,-22.315,-49.061,1
118093,41.65518,-4.72372,-22.903,-43.208,1
135323,39.75554,-105.2211,40.71427,-74.00597,1
141563,33.41477,-111.90931,40.58526,-105.08442,1
