"city";"uf";"country";"latitude";"longitude";"count"
"Ouricuri";"pernambuco";"brasil";-7.883;-40.082;9
"Minduri";"minas gerais";"brasil";-21.682;-44.604;9
"Buriti dos Lopes";"piaui";"brasil";-3.175;-41.867;9
"Correntes";"pernambuco";"brasil";-9.129;-36.33;9
"Delfim Moreira";"minas gerais";"brasil";-22.509;-45.28;9
"Quintana";"sao paulo";"brasil";-22.073;-50.308;9
"Guidoval";"minas gerais";"brasil";-21.152;-42.797;9
"Mirante do Paranapanema";"sao paulo";"brasil";-22.292;-51.906;9
"Ampére";"parana";"brasil";-25.915;-53.473;9
"Santo Inácio";"parana";"brasil";-22.698;-51.794;9
"Farias Brito";"ceara";"brasil";-6.931;-39.566;9
"Heidelberg";"Baden-Württemberg Region";"Germany";49.40768;8.69079;9
"Sertaneja";"parana";"brasil";-23.037;-50.838;9
"Riachão do Jacuípe";"bahia";"brasil";-11.81;-39.382;9
"Barrancabermeja";"Santander";"Colombia";7.06528;-73.85472;9
"Caxambu do Sul";"santa catarina";"brasil";-27.161;-52.879;9
"São Gonçalo dos Campos";"bahia";"brasil";-12.433;-38.967;9
"Ibaiti";"parana";"brasil";-23.849;-50.188;9
"Iguaí";"bahia";"brasil";-14.756;-40.089;9
"Jequeri";"minas gerais";"brasil";-20.456;-42.666;9
"Temuco";"Araucanía";"Chile";-38.73965;-72.59842;9
"Cambuci";"rio de janeiro";"brasil";-21.575;-41.911;9
"Jóia";"rio grande do sul";"brasil";-28.647;-54.122;9
"Marumbi";"parana";"brasil";-23.706;-51.639;9
"Chapada";"rio grande do sul";"brasil";-28.055;-53.068;9
"Cerro de Pasco";"Pasco";"Peru";-10.66748;-76.25668;9
"Itapagipe";"minas gerais";"brasil";-19.909;-49.381;9
"Chaves";"para";"brasil";-0.16;-49.988;9
"Uruburetama";"ceara";"brasil";-3.625;-39.508;9
"Aparecida do Taboado";"mato grosso do sul";"brasil";-20.087;-51.094;9
"Mercês";"minas gerais";"brasil";-21.194;-43.341;9
"Rio das Antas";"santa catarina";"brasil";-26.899;-51.074;8
"Caiabu";"sao paulo";"brasil";-22.012;-51.236;8
"Solonópole";"ceara";"brasil";-5.733;-39.008;8
"Coqueiral";"minas gerais";"brasil";-21.189;-45.441;8
"Jaguariaíva";"parana";"brasil";-24.251;-49.706;8
"Gravatal";"santa catarina";"brasil";-28.331;-49.035;8
"Ecoporanga";"espirito Santo";"brasil";-18.373;-40.831;8
"Paramaribo";"Paramaribo";"Suriname";5.86638;-55.16682;8
"Baixa Grande";"bahia";"brasil";-11.96;-40.168;8
"Abadia dos Dourados";"minas gerais";"brasil";-18.486;-47.403;8
"Itanhomi";"minas gerais";"brasil";-19.172;-41.865;8
"Iúna";"espirito Santo";"brasil";-20.346;-41.536;8
"Saboeiro";"ceara";"brasil";-6.542;-39.907;8
"Ferros";"minas gerais";"brasil";-19.232;-43.023;8
"Aiuruoca";"minas gerais";"brasil";-21.976;-44.603;8
"Ubajara";"ceara";"brasil";-3.854;-40.921;8
"Guarujá do Sul";"santa catarina";"brasil";-26.385;-53.528;8
"Ribeirão do Pinhal";"parana";"brasil";-23.408;-50.357;8
"Gastão Vidigal";"sao paulo";"brasil";-20.799;-50.187;8
"Rebouças";"parana";"brasil";-25.621;-50.693;8
"Itaquaquecetuba";"sao paulo";"brasil";-23.486;-46.348;8
"Malta";"paraiba";"brasil";-6.904;-37.522;8
"Santa Maria Madalena";"rio de janeiro";"brasil";-21.955;-42.008;8
"Itapagé";"ceara";"brasil";-3.687;-39.586;8
"São Tiago";"minas gerais";"brasil";-20.913;-44.509;8
"Dionísio";"minas gerais";"brasil";-19.843;-42.777;8
"Salto Grande";"sao paulo";"brasil";-22.893;-49.986;8
"Marilândia";"espirito Santo";"brasil";-19.413;-40.542;8
"Buriti";"maranhao";"brasil";-3.942;-42.925;8
"Exu";"pernambuco";"brasil";-7.512;-39.724;8
"Nova Erechim";"santa catarina";"brasil";-26.903;-52.906;8
"Cândido Rodrigues";"sao paulo";"brasil";-21.325;-48.631;8
"Igaraçu do Tietê";"sao paulo";"brasil";-22.509;-48.558;8
"Canguaretama";"rio grande do norte";"brasil";-6.38;-35.129;8
"Pittsburgh";"Pennsylvania";"United States";40.44062;-79.99589;8
"Gandu";"bahia";"brasil";-13.744;-39.487;8
"Timon";"maranhao";"brasil";-5.094;-42.837;8
"Cristalina";"goias";"brasil";-16.769;-47.614;8
"Rafard";"sao paulo";"brasil";-23.012;-47.527;8
"Campina da Lagoa";"parana";"brasil";-24.592;-52.799;8
"Congonhinhas";"parana";"brasil";-23.551;-50.554;8
"Quebrangulo";"alagoas";"brasil";-9.319;-36.471;8
"Alto Garças";"mato grosso";"brasil";-16.944;-53.528;8
"São José de Mipibu";"rio grande do norte";"brasil";-6.075;-35.238;8
"Itaituba";"para";"brasil";-4.276;-55.984;8
"Itapaci";"goias";"brasil";-14.951;-49.549;8
"Cadiz";"Andalusia";"Spain";36.52978;-6.29465;8
"Gameleira";"pernambuco";"brasil";-8.584;-35.387;8
"Breves";"para";"brasil";-1.682;-50.48;8
"Tehrān";"Tehrān";"Iran";35.69439;51.42151;8
"Mamborê";"parana";"brasil";-24.319;-52.53;8
"Tunja";"Boyacá";"Colombia";5.53528;-73.36778;8
"Paraibuna";"sao paulo";"brasil";-23.386;-45.662;8
"Nova Andradina";"mato grosso do sul";"brasil";-22.233;-53.343;8
"Boa Viagem";"ceara";"brasil";-5.128;-39.732;8
"Palmeiras de Goiás";"goias";"brasil";-16.805;-49.926;8
"São Pedro dos Ferros";"minas gerais";"brasil";-20.17;-42.524;8
"Verona";"Veneto";"Italy";45.4299;10.98444;8
"Campo Limpo Paulista";"sao paulo";"brasil";-23.206;-46.784;8
"Uiraúna";"paraiba";"brasil";-6.518;-38.412;8
"Recreio";"minas gerais";"brasil";-21.525;-42.469;8
"Bias Fortes";"minas gerais";"brasil";-21.606;-43.757;8
"Valença do Piauí";"piaui";"brasil";-6.408;-41.746;8
"Ipumirim";"santa catarina";"brasil";-27.077;-52.136;8
"Rio Vermelho";"minas gerais";"brasil";-18.294;-43.009;8
"Matozinhos";"minas gerais";"brasil";-19.558;-44.081;8
"Assaré";"ceara";"brasil";-6.874;-39.875;8
"Guimarães";"Braga";"Portugal";41.44443;-8.29619;8
"Upanema";"rio grande do norte";"brasil";-5.642;-37.258;8
"Tangará da Serra";"mato grosso";"brasil";-14.619;-57.486;8
"Entre Rios de Minas";"minas gerais";"brasil";-20.671;-44.066;8
"Saudades";"santa catarina";"brasil";-26.924;-53.003;8
"Cabaceiras";"paraiba";"brasil";-7.489;-36.287;8
