"id";"name";"name_ascii";"abbr";"city";"state";"country";"latitude";"longitude"
50;"faculdade moraes júnior - mackenzie rio";"faculdade moraes junior mackenzie rio";"";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
100;"faculdade visconde de cairú";"faculdade visconde de cairu";"";"salvador";"bahia";"brasil";-12.971;"-38.511"
101;"instituto de ensino superior fucapi";"instituto de ensino superior fucapi";"";"manaus";"amazonas";"brasil";-3.102;"-60.025"
103;"faculdade minas gerais";"faculdade minas gerais";"";"belo horizonte";"minas gerais";"brasil";-19.817;"-43.956"
105;"faculdade adelmar rosado";"faculdade adelmar rosado";"";"teresina";"piaui";"brasil";-5.089;"-42.802"
106;"faculdade adventista paranaense";"faculdade adventista paranaense";"";"ivatuba";"parana";"brasil";-23.619;"-52.221"
107;"faculdade alfacastelo";"faculdade alfacastelo";"";"barueri";"sao paulo";"brasil";-23.511;"-46.876"
108;"instituto superior de educação de barretos";"instituto superior de educacao de barretos";"";"barretos";"sao paulo";"brasil";-20.557;"-48.568"
109;"faculdade dehoniana";"faculdade dehoniana";"";"taubate";"sao paulo";"brasil";-23.026;"-45.555"
110;"imp de ensino superior - imp";"imp de ensino superior";"imp";"brasilia";"federal district";"brasil";-15.78;"-47.93"
112;"instituto de ensino superior franciscano";"instituto de ensino superior franciscano";"";"paco do lumiar";"maranhao";"brasil";-2.532;"-44.108"
114;"faculdade seqüencial";"faculdade sequencial";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
115;"faculdade uirapuru";"faculdade uirapuru";"";"sorocaba";"sao paulo";"brasil";-23.502;"-47.458"
118;"universidade são francisco";"universidade sao francisco";"usf";"braganca paulista";"sao paulo";"brasil";-22.952;"-46.542"
104;"escola superior de teologia";"escola superior de teologia";"est";"sao leopoldo";"rio grande do sul";"brasil";-29.76;"-51.147"
119;"instituto santo tomás de aquino";"instituto santo tomas de aquino";"";"belo horizonte";"minas gerais";"brasil";-19.817;"-43.956"
120;"instituto superior de educação alvorada plus";"instituto superior de educacao alvorada plus";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
121;"instituto superior de educação ateneu";"instituto superior de educacao ateneu";"";"vila velha";"espirito Santo";"brasil";-20.33;"-40.292"
123;"faculdade de jaguariúna";"faculdade de jaguariuna";"";"jaguariuna";"sao paulo";"brasil";-22.706;"-46.986"
124;"faculdade da igreja ministério fama";"faculdade da igreja ministerio fama";"";"goiania";"goias";"brasil";-16.679;"-49.254"
