continents, south america, central america, north america, europe, africa, asia, oceania
south america, 63452, 13, 964, 1496, 0, 13, 36
central america, 18, 11, 0, 5, 0, 0, 0
north america, 329, 0, 211, 12, 0, 0, 1
europe, 810, 2, 37, 801, 0, 0, 0
africa, 0, 0, 0, 0, 0, 0, 0
asia, 15, 0, 0, 1, 0, 16, 0
oceania, 12, 0, 1, 1, 0, 0, 4
