"continents", "south america", "europe", "north america", "central america", "oceania", "asia", "africa"
south america, 1.0, 0.1067196697500191, 0.07977218867059092, 0.0011275896338200442, 0.0015862701628315877, 0.002388961088601789, 0.0
europe, 0.1112491399740081, 0.05391407384756517, 0.011237672960782815, 0.00017200519837932878, 0.00040134546288510053, 0.00017200519837932878, 0.0
north america, 0.07094258848711872, 0.007147771577096552, 0.034209922788777616, 0.0, 0.00028667533063221466, 3.822337741762862e-05, 0.0
central america, 0.007510893662564024, 0.0013760415870346303, 0.00047779221772035774, 0.0014333766531610733, 1.911168870881431e-05, 0.0, 0.0
oceania, 0.001720051983793288, 0.00021022857579695742, 0.00036312208546747187, 0.0, 0.00038223377417628617, 0.0, 0.0
asia, 0.006918431312590781, 0.0008218026144790154, 0.001299594832199373, 0.0, 1.911168870881431e-05, 0.00036312208546747187, 0.0
africa, 0.004147236449812706, 0.0016818286063756593, 0.00026756364192340035, 5.733506612644293e-05, 0.0, 0.0, 0.0
