source-lat,target-lon,source-lat,target-lon
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-23.548, -46.636","-23.548, -46.636"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-23.548, -46.636"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-23.548, -46.636"
"-23.548, -46.636","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
"-27.597, -48.549","-27.597, -48.549"
