url,rank,country,presence,impact,openness,excellence
http://www.tufts.edu/,128,us,100,77,1434,156
http://www.msu.ru/,129,ru,162,142,119,341
http://www.hu-berlin.de/,130,de,232,133,198,287
http://www.tum.de/,131,de,264,283,246,76
http://www.ncku.edu.tw/,132,tw,164,227,86,235
http://www.unm.edu/,133,us,523,117,273,220
http://www.au.dk/,134,dk,94,336,366,79
http://www.rice.edu/,135,us,213,127,505,215
http://www.colostate.edu/,136,us,552,96,423,245
http://www.up.pt/,137,pt,125,271,93,243
http://www.brown.edu/,138,us,550,90,1078,116
http://uwaterloo.ca/,139,ca,574,146,240,183
http://www.uib.no/,140,no,9,307,349,255
http://www.polimi.it/,141,it,516,151,95,295
http://www.uni-frankfurt.de/,142,de,279,241,191,163
http://www.jlu.edu.cn/,143,cn,315,175,159,273
http://www.uab.cat/,144,es,44,625,21,154
http://home.byu.edu/,145,us,353,84,105,563
http://www.uzh.ch/,146,ch,152,259,544,96
http://www.uoregon.edu/,147,us,245,87,412,411
http://www.manchester.ac.uk/,148,uk,697,239,558,41
http://www.udel.edu/,149,us,104,135,595,308
http://www.ntnu.no/,150,no,167,268,138,256
http://www.rwth-aachen.de/,151,de,654,181,321,145
http://www.uchile.cl/,152,cl,79,236,33,497
http://www.nctu.edu.tw/,153,tw,149,327,34,322
http://www.uni-freiburg.de/,154,de,214,278,369,132
http://www.missouri.edu/,155,us,270,95,1057,254
http://www.gu.se/,156,se,155,356,75,224
http://www.uni-bonn.de/,157,de,463,214,411,129
http://www.ku.edu/,158,us,406,187,336,204
http://www.miami.edu/,159,us,292,210,550,138
http://www.iu.edu/,160,us,212,183,625,186
http://www.ub.edu/,161,es,407,373,126,113
http://www.uic.edu/,162,us,783,178,507,109
http://www.cuhk.edu.hk/,163,hk,377,219,381,165
http://www.utwente.nl/,164,nl,563,220,67,299
http://www.ucr.edu/,165,us,51,141,1469,218
http://www.uu.se/,166,se,424,223,515,125
http://www.upc.edu/,167,es,205,345,31,328
http://www.uni-lj.si/,168,si,53,309,153,352
http://www.tue.nl/,169,nl,143,322,187,240
http://www.muni.cz/,170,cz,77,330,2,706
http://www.zv.uni-leipzig.de/,171,de,114,163,770,266
http://www.nd.edu/,172,us,266,148,497,304
http://www.gmu.edu/,173,us,358,101,427,431
http://www.uconn.edu/,174,us,731,171,374,195
http://www.unicamp.br/,175,br,200,385,25,336
http://www.ncu.edu.tw/,176,tw,113,354,12,458
http://tu-dresden.de/,177,de,492,167,725,171
http://www.fudan.edu.cn/,178,cn,1028,154,553,134
http://www.sc.edu/,179,us,364,150,508,291
http://www.warwick.ac.uk/,180,uk,169,299,400,199
http://www.kcl.ac.uk/,181,uk,342,263,1196,57
http://www.leeds.ac.uk/,182,uk,517,200,801,122
http://www.ugr.es/,183,es,341,297,127,288
http://www.uni-koeln.de/,184,de,203,231,623,213
http://www.ufrgs.br/,185,br,25,596,5,439
http://www.mcmaster.ca/,186,ca,888,319,250,104
http://www.georgetown.edu/,187,us,668,86,860,317
http://www.ulb.ac.be/,188,be,348,250,243,278
http://www.vu.nl/,189,nl,468,431,388,60
http://www.unipd.it/,190,it,411,554,94,97
http://www.buaa.edu.cn/,191,cn,1168,65,711,380
http://www.sysu.edu.cn/,192,cn,204,136,1459,207
http://www.uni-muenster.de/,193,de,355,261,542,155
http://www.utk.edu/,194,us,623,108,1189,214
http://www.unimi.it/,195,it,613,543,41,118
http://www.uvic.ca/,196,ca,337,197,307,344
http://www.leidenuniv.nl/,197,nl,1371,357,237,64
http://www.auckland.ac.nz/,198,nz,456,293,309,201
http://www.unipi.it/,199,it,314,477,70,212
http://www.kth.se/,200,se,434,221,445,247
http://www.ua.es/,201,es,80,159,222,667
http://www.ulaval.ca/,202,ca,285,288,280,283
http://www.imperial.ac.uk/,203,uk,689,405,979,18
http://ki.se/,204,se,54,691,523,63
http://www.nthu.edu.tw/,205,tw,219,366,144,331
http://www.hust.edu.cn/,206,cn,536,177,934,209
http://www.huji.ac.il/,207,il,22,344,1104,203
http://www.syr.edu/,208,us,508,122,406,509
http://www.tuwien.ac.at/,209,at,738,193,231,367
http://www.ustc.edu.cn/,210,cn,586,169,1243,161
http://www.dartmouth.edu/,211,us,583,132,1334,226
http://www.kit.edu/,212,de,700,446,122,166
http://www.ku.ac.th/,213,th,67,54,486,1273
http://www.uottawa.ca/,214,ca,717,350,260,177
http://www.iupui.edu/,215,us,522,381,290,179
http://www.queensu.ca/,216,ca,800,247,346,262
http://www.ncl.ac.uk/,217,uk,729,254,631,175
http://www.upm.es/,218,es,595,233,90,480
http://www.unibe.ch/,219,ch,409,326,741,151
http://www.uwo.ca/,220,ca,1360,295,272,167
http://www.tau.ac.il/,221,il,118,440,790,135
http://www.lsu.edu/,222,us,964,215,313,317
http://www.uni-erlangen.de/,223,de,347,298,1119,137
http://www.ulg.ac.be/,224,be,272,481,61,350
http://www.lse.ac.uk/,225,uk,1092,184,132,485
http://www.xjtu.edu.cn/,226,cn,652,170,872,297
http://www.uh.edu/,227,us,673,106,1174,375
http://www.uminho.pt/,228,pt,144,424,60,492
http://www.usu.edu/,229,us,351,212,211,587
http://www.us.es/,230,es,484,240,405,374
http://www.fiu.edu/,231,us,29,337,487,481
http://www.ou.edu/,232,us,719,173,1124,241
http://wayne.edu/,233,us,230,452,552,180
http://www.uc.edu/,234,us,211,251,1799,150
http://www.uni-hannover.de/,235,de,10,255,1114,525
http://www.tu-berlin.de/,236,de,641,209,531,347
http://www.lzu.edu.cn/,237,cn,788,130,882,383
http://www.unt.edu/,238,us,117,185,422,685
http://www.upv.es/,239,es,182,500,134,352
http://www.gwu.edu/,240,us,1467,112,948,325
http://www.rpi.edu/,241,us,269,207,705,428
http://www.liu.se/,242,se,695,249,372,360
http://www.ntu.edu.sg/,243,sg,756,610,355,85
