rank;value;place
211;52.7;University of Leicester
212;52.2;University Complutense Madrid
212;52.2;University of Twente
214;51.9;Tufts University
215;51.8;Université Joseph Fourier - Grenoble 1
215;51.8;The University of Arizona
217;51.6;Universität Frankfurt am Main
218;51.3;University of Ottawa
219;51.1;Hanyang University
220;50.9;Universidad de Chile
220;50.9;Waseda University
222;50.7;Indian Institute of Technology Bombay (IITB)
222;50.7;Simon Fraser University
222;50.7;Sciences Po Paris
225;50.5;King Fahd University of Petroleum & Minerals
226;50.4;Université de Strasbourg
227;50.3;Université Paris-Sorbonne (Paris IV)
228;50.0;Université Paris 1 Panthéon-Sorbonne 
229;49.9;Politecnico di Milano
230;49.5;University College Cork
230;49.5;University of Dundee
232;49.3;National Cheng Kung University
233;49.2;Saint-Petersburg State University
234;49.1;Technische Universität Dresden
235;48.6;Indian Institute of Technology Delhi (IITD)
235;48.6;Dalhousie University
237;48.5;University of Notre Dame
238;48.2;University of Milan
239;47.6;University of Miami
240;47.4;Beijing Normal University 
240;47.4;University of East Anglia (UEA)
242;47.2;University of Canterbury
243;47.1;Chulalongkorn University
244;47.0;Charles University in Prague
245;46.9;University of Pisa
246;46.4;Norwegian University of Science And Technology
246;46.4;Vienna University of Technology
246;46.4;University of Strathclyde
249;46.2;Westfälische Wilhelms-Universitat Münster 
249;46.2;King Saud University
249;46.2;American University of Beirut (AUB)
249;46.2;University Ulm
253;46.1;Instituto Tecnológico y de Estudios Superiores de Monterrey
254;45.8;Macquarie University
254;45.8;University of Navarra
256;45.6;National Yang Ming University
257;45.5;Mahidol University
257;45.5;The University of Newcastle, Australia (UoN)
259;45.4;Universiti Kebangsaan Malaysia (UKM)
259;45.4;University of Oulu
261;45.2;University of California, Riverside
262;45.1;Università di Padova
262;45.1;Universidad de los Andes
264;45.0;University of Technology, Sydney
265;44.9;Loughborough University
265;44.9;University of California, Santa Cruz
267;44.8;Umea University
267;44.8;University of Eastern Finland
269;44.7;Technische Universität Darmstadt
269;44.7;University of Iowa
271;44.5;Universidade Federal do Rio de Janeiro
272;44.4;Indiana University Bloomington
272;44.4;Université de Liège
274;44.3;Universität Stuttgart
275;44.2;Victoria University of Wellington
275;44.2;Kyung Hee University
275;44.2;Royal Holloway University of London
278;44.0;Université Paris Descartes
279;43.7;Rutgers, The State University of New Jersey, New Brunswick
280;43.6;National University of Ireland, Galway
280;43.6;Yeshiva University
282;43.5;University of Massachusetts Amherst
283;43.4;Linköping University
283;43.4;University of Wollongong
