continents, south america, central america, north america, europe, africa, asia, oceania
south america, 120827, 17, 1001, 1557, 0, 14, 40
central america, 37, 25, 0, 5, 0, 0, 0
north america, 2088, 0, 359, 29, 0, 0, 1
europe, 4160, 6, 42, 1142, 0, 0, 0
africa, 0, 0, 0, 0, 0, 0, 0
asia, 33, 0, 0, 2, 0, 19, 0
oceania, 86, 0, 1, 2, 0, 0, 8
