count, freq
17544, 1
8004, 1
6266, 1
4960, 1
4900, 1
3362, 1
2869, 1
2342, 1
2151, 1
2006, 1
1944, 1
1586, 1
1333, 1
1303, 1
1284, 1
1137, 1
935, 1
751, 1
673, 1
664, 1
630, 1
22, 1
23, 1
602, 1
590, 1
341, 1
29, 1
519, 1
502, 1
429, 1
36, 1
37, 1
39, 1
41, 1
397, 1
52, 1
54, 1
392, 1
369, 1
58, 1
66, 1
76, 1
78, 1
80, 1
85, 1
90, 1
92, 1
95, 1
368, 1
109, 1
118, 1
126, 1
129, 1
130, 1
145, 1
169, 1
189, 1
200, 1
233, 1
254, 1
325, 1
536, 1
102, 2
57, 2
28, 2
42, 2
35, 2
32, 2
33, 2
55, 3
27, 3
21, 3
19, 4
24, 4
14, 5
18, 5
17, 5
15, 6
20, 6
13, 9
16, 10
12, 11
1, 11
6, 13
9, 13
3, 13
2, 13
11, 15
8, 16
7, 16
5, 16
10, 17
4, 27
