continents, south america, europe, north america, central america, oceania, asia, africa
south america, 731594, 15034, 10910, 83, 173, 225, 0
europe, 14312, 8275, 660, 11, 22, 10, 0
north america, 9480, 399, 3855, 0, 17, 2, 0
central america, 599, 78, 25, 437, 1, 0, 0
oceania, 164, 11, 20, 0, 48, 0, 0
asia, 475, 43, 69, 0, 1, 66, 0
africa, 271, 99, 14, 3, 0, 0, 0
