"id";"name";"country";"flow_weighted";"flow";"distance";"avg";"distances_weigthed";"avg"
"477";"new york university";"united states";"284";"69";"435319503";"6308978,312308966";"1778362484";"6261839,73356366"
"580";"universidad de buenos aires";"argentina";"291";"77";"259482939";"3369908,3047222854";"386762782";"1329081,7258874844"
"640";"university of toronto";"canada";"305";"89";"566100929";"6360684,595551384";"2069388458";"6784880,192887037"
"476";"columbia university";"united states";"305";"92";"509750045";"5540761,368402751";"1682276556";"5515660,83994394"
"595";"universidade de aveiro";"portugal";"324";"83";"522298073";"6292747,876982684";"1617040077";"4990864,436942246"
"663";"universidade nova de lisboa";"portugal";"327";"80";"450553555";"5631919,440889568";"1777076516";"5434484,760126854"
"13";"cornell university";"united states";"340";"80";"437356978";"5466962,231075136";"2082582010";"6125241,208722811"
"687";"university of wisconsin madison";"united states";"375";"85";"487241122";"5732248,502152132";"2425290822";"6467442,1935192"
"89";"university of cambridge";"united kingdom";"379";"109";"746637517";"6849885,482024336";"2586485501";"6824500,003243331"
"4";"universidade do minho";"portugal";"390";"107";"690282097";"6451234,553664477";"2210437287";"5667787,916904326"
"608";"universidade do porto";"portugal";"409";"88";"565468348";"6425776,6849385565";"2506571860";"6128537,55553653"
"543";"stanford university";"united states";"411";"103";"817452770";"7936434,660483155";"3272974067";"7963440,552645907"
"518";"universite paris 1 pantheon sorbonne";"france";"421";"84";"560556757";"6673294,72735066";"2396648852";"5692752,619481268"
"517";"universite pierre et marie curie";"france";"421";"92";"630208488";"6850092,267413428";"2658858238";"6315577,76304887"
"803";"university of oxford";"united kingdom";"432";"114";"720583977";"6320912,087239317";"3003211252";"6951877,898741043"
"354";"harvard university";"united states";"436";"100";"601074155";"6010741,55682807";"2825908521";"6481441,562178974"
"537";"universitat de barcelona";"spain";"444";"97";"699278546";"7209057,1768833585";"2791384757";"6286902,606783649"
"659";"universidade de lisboa";"portugal";"496";"100";"592966986";"5929669,869845032";"2989457472";"6027132,000380342"
"557";"universidad complutense de madrid";"spain";"525";"130";"822435559";"6326427,382534707";"2987590342";"5690648,270496232"
"678";"university of florida";"united states";"621";"132";"709912305";"5378123,527670511";"3363808348";"5416760,626359653"
"613";"university of london";"united kingdom";"878";"153";"1086900285";"7103923,437513905";"6484706300";"7385770,274010081"
