Id,Label,Modularity Class,City,State,Region,Country,Latitude,Longitude
1,sul,,florianopolis,santa catarina,sul,brazil,-25.433333,-49.266667
2,sudeste,,sao paulo,sao paulo,sudeste,brazil,-23.55,-46.633333
3,centro-oeste,,brasilia,federal district,centro-oeste,brazil,-15.779722,-47.930556
4,nordeste,,feira de santana,bahia,nordeste,brazil,-12.966667,-38.516667
5,norte,,manaus,amazonas,norte,brazil,3.129167,-60.021389
