1978	18	Directed	40		7566.0	birth
1999	18	Directed	637		584.0	birth
2164	18	Directed	403		382.0	birth
2078	18	Directed	677		291.0	birth
2024	18	Directed	122		255.0	birth
2095	18	Directed	70		233.0	birth
2012	18	Directed	917		168.0	birth
2026	18	Directed	800		142.0	birth
2219	18	Directed	618		141.0	birth
2262	18	Directed	816		101.0	birth
2130	18	Directed	897		100.0	birth
2289	18	Directed	653		99.0	birth
2215	18	Directed	790		86.0	birth
2209	18	Directed	676		85.0	birth
1976	18	Directed	612		79.0	birth
2399	18	Directed	985		77.0	birth
2270	18	Directed	1244		76.0	birth
2338	18	Directed	101		73.0	birth
2129	18	Directed	979		66.0	birth
2190	18	Directed	787		64.0	birth
2479	18	Directed	1531		63.0	birth
2239	18	Directed	1431		61.0	birth
2264	18	Directed	907		61.0	birth
2362	18	Directed	1014		57.0	birth
2343	18	Directed	707		45.0	birth
2091	18	Directed	670		44.0	birth
2439	18	Directed	981		44.0	birth
2463	18	Directed	596		43.0	birth
2517	18	Directed	1037		40.0	birth
2624	18	Directed	1597		40.0	birth
2299	18	Directed	666		38.0	birth
2710	18	Directed	1629		38.0	birth
2056	18	Directed	1511		36.0	birth
2369	18	Directed	797		31.0	birth
2220	18	Directed	1595		29.0	birth
2442	18	Directed	1311		29.0	birth
2857	18	Directed	5888		29.0	birth
2255	18	Directed	1617		26.0	birth
2425	18	Directed	6185		26.0	birth
2638	18	Directed	1162		26.0	birth
2850	18	Directed	5768		26.0	birth
2176	18	Directed	840		25.0	birth
2231	18	Directed	770		25.0	birth
2885	18	Directed	1098		25.0	birth
2447	18	Directed	866		23.0	birth
2454	18	Directed	1529		23.0	birth
2914	18	Directed	5736		23.0	birth
2364	18	Directed	6206		22.0	birth
2839	18	Directed	6253		22.0	birth
1987	18	Directed	9160		21.0	birth
2884	18	Directed	846		20.0	birth
2144	18	Directed	1325		19.0	birth
2280	18	Directed	738		19.0	birth
2734	18	Directed	1590		19.0	birth
2092	18	Directed	1581		18.0	birth
2341	18	Directed	5758		18.0	birth
2388	18	Directed	774		18.0	birth
2874	18	Directed	1012		18.0	birth
2156	18	Directed	832		17.0	birth
2389	18	Directed	5708		17.0	birth
3081	18	Directed	5783		17.0	birth
1996	18	Directed	1515		16.0	birth
