"Source";"Target";"Kind";"Type";"Id";"Label";"Weight";"distance"
"464";"464";"degree";"Directed";"64535";"";"2758";"0,0"
"619";"725";"degree";"Directed";"64536";"";"16";"50671,03290309445"
"725";"418";"degree";"Directed";"64537";"";"6";"758727,3116164176"
"418";"418";"degree";"Directed";"64538";"";"14292";"0,0"
"2";"559";"degree";"Directed";"64539";"";"15";"8877102,058064617"
"772";"2";"degree";"Directed";"64540";"";"5";"961481,3812737572"
"18";"2";"degree";"Directed";"64541";"";"219";"489931,98240375536"
"260";"422";"degree";"Directed";"64542";"";"26";"215797,2359649051"
"422";"2";"degree";"Directed";"64543";"";"10";"543246,0614440286"
"18";"610";"degree";"Directed";"64544";"";"3";"8202858,186746892"
"361";"2";"degree";"Directed";"64545";"";"59";"1934090,0983610533"
"2";"921";"degree";"Directed";"64546";"";"7";"241648,89251541533"
"921";"2";"degree";"Directed";"64547";"";"24";"241648,89251541533"
"2";"128";"degree";"Directed";"64548";"";"1";"489931,98240375536"
"128";"2";"degree";"Directed";"64549";"";"3";"489931,98240375536"
"2";"640";"degree";"Directed";"64550";"";"5";"8539132,082449015"
"700";"2";"degree";"Directed";"64551";"";"10";"2826807,493625254"
"2";"699";"degree";"Directed";"64552";"";"1";"2826807,493625254"
"699";"237";"degree";"Directed";"64553";"";"4";"1875096,8149827046"
"2";"260";"degree";"Directed";"64554";"";"114";"590253,4365256573"
"1040";"1040";"degree";"Directed";"64555";"";"15";"0,0"
"1040";"2";"degree";"Directed";"64556";"";"41";"146922,13657113243"
"2";"418";"degree";"Directed";"64557";"";"273";"543246,0614440286"
"2";"329";"degree";"Directed";"64558";"";"1";"1317012,2300596"
"329";"2";"degree";"Directed";"64559";"";"1";"1317012,2300596"
"409";"409";"degree";"Directed";"64560";"";"2211";"0,0"
"409";"2";"degree";"Directed";"64561";"";"62";"2910008,133256402"
"2";"777";"degree";"Directed";"64562";"";"54";"624596,1178551328"
"458";"166";"degree";"Directed";"64563";"";"61";"1125776,1200686248"
"166";"2";"degree";"Directed";"64564";"";"44";"749606,3361527188"
"2";"488";"degree";"Directed";"64565";"";"30";"563706,8738984863"
"876";"27";"degree";"Directed";"64566";"";"4";"158134,3435310274"
"27";"94";"degree";"Directed";"64567";"";"10";"0,0"
"593";"2";"degree";"Directed";"64568";"";"54";"571084,4654303318"
"296";"294";"degree";"Directed";"64569";"";"2";"0,0"
"294";"641";"degree";"Directed";"64570";"";"1";"175697,586798321"
"18";"83";"degree";"Directed";"64571";"";"2";"0,0"
"83";"18";"degree";"Directed";"64572";"";"4";"0,0"
"287";"2";"degree";"Directed";"64573";"";"346";"251990,60245042332"
"2";"505";"degree";"Directed";"64574";"";"4";"718470,9038002989"
"505";"505";"degree";"Directed";"64575";"";"64";"0,0"
"362";"2";"degree";"Directed";"64576";"";"7";"1934090,0983610533"
"2";"631";"degree";"Directed";"64577";"";"7";"10177175,958298407"
"258";"18";"degree";"Directed";"64578";"";"16";"1566223,4192740617"
"378";"378";"degree";"Directed";"64579";"";"10127";"0,0"
"699";"839";"degree";"Directed";"64580";"";"11";"2263471,8419889105"
"839";"2";"degree";"Directed";"64581";"";"4";"766747,123586677"
"438";"564";"degree";"Directed";"64582";"";"19";"104547,91958827394"
"564";"2";"degree";"Directed";"64583";"";"119";"2698703,9722734103"
"641";"641";"degree";"Directed";"64584";"";"118";"0,0"
"669";"260";"degree";"Directed";"64585";"";"362";"242462,7573029593"
"260";"2";"degree";"Directed";"64586";"";"89";"590253,4365256573"
"18";"458";"degree";"Directed";"64587";"";"184";"853893,6379324811"
"458";"3";"degree";"Directed";"64588";"";"14";"8174129,979700641"
"287";"284";"degree";"Directed";"64589";"";"227";"0,0"
"284";"284";"degree";"Directed";"64590";"";"409";"0,0"
"705";"166";"degree";"Directed";"64591";"";"14";"2854128,3892205684"
"315";"18";"degree";"Directed";"64592";"";"191";"742917,5413481342"
"627";"2";"degree";"Directed";"64593";"";"21";"2406346,887568487"
"645";"2";"degree";"Directed";"64594";"";"24";"406165,6905775978"
"491";"458";"degree";"Directed";"64595";"";"5";"251799,82182463096"
"669";"418";"degree";"Directed";"64596";"";"216";"422381,5294467775"
"418";"2";"degree";"Directed";"64597";"";"121";"543246,0614440286"
"641";"707";"degree";"Directed";"64598";"";"1";"2913603,15193815"
"707";"2";"degree";"Directed";"64599";"";"2";"2987318,751413373"
"290";"2";"degree";"Directed";"64600";"";"112";"251990,60245042332"
"350";"350";"degree";"Directed";"64601";"";"494";"0,0"
"350";"2";"degree";"Directed";"64602";"";"64";"349769,70622475375"
"488";"458";"degree";"Directed";"64603";"";"994";"251799,82182463096"
"9";"2";"degree";"Directed";"64604";"";"62";"0,0"
"880";"2";"degree";"Directed";"64605";"";"171";"91180,22946795612"
"908";"549";"degree";"Directed";"64606";"";"1";"1268719,117577537"
"549";"669";"degree";"Directed";"64607";"";"3";"821422,0080930537"
"669";"2";"degree";"Directed";"64608";"";"91";"544723,5103808183"
"593";"593";"degree";"Directed";"64609";"";"223";"0,0"
"362";"165";"degree";"Directed";"64610";"";"3";"1212039,7811230305"
"165";"165";"degree";"Directed";"64611";"";"285";"0,0"
"165";"361";"degree";"Directed";"64612";"";"14";"1212039,7811230305"
"361";"4";"degree";"Directed";"64613";"";"5";"6810121,0434618015"
"766";"766";"degree";"Directed";"64614";"";"246";"0,0"
"766";"2";"degree";"Directed";"64615";"";"56";"321648,9610627567"
"458";"350";"degree";"Directed";"64616";"";"158";"31428,11072260168"
"350";"166";"degree";"Directed";"64617";"";"8";"1099331,2598389168"
"847";"2";"degree";"Directed";"64618";"";"140";"601254,7012166727"
"18";"27";"degree";"Directed";"64619";"";"770";"0,0"
"27";"2";"degree";"Directed";"64620";"";"41";"489931,98240375536"
"2";"4";"degree";"Directed";"64621";"";"20";"8735515,518660331"
"589";"589";"degree";"Directed";"64622";"";"593";"0,0"
"589";"2";"degree";"Directed";"64623";"";"47";"1546512,9898657226"
"365";"2";"degree";"Directed";"64624";"";"5";"1934090,0983610533"
"1040";"697";"degree";"Directed";"64625";"";"2";"370911,34598886967"
"323";"651";"degree";"Directed";"64626";"";"23";"851050,6220632205"
"651";"18";"degree";"Directed";"64627";"";"120";"86867,34531525729"
"697";"697";"degree";"Directed";"64628";"";"64";"0,0"
"697";"488";"degree";"Directed";"64629";"";"30";"272940,65891365893"
"675";"675";"degree";"Directed";"64630";"";"224";"0,0"
