Source,Target,Kind,Type,Id,Label,Weight,distance
13,613,degree,Directed,94964,,1,5618826.634712019
362,613,degree,Directed,95076,,3,8077145.722969872
846,613,degree,Directed,95134,,1,10103347.331987686
905,613,degree,Directed,95343,,1,313673.21252298396
355,613,degree,Directed,95560,,1,6462251.97047963
694,613,degree,Directed,95679,,1,9473992.26408386
580,613,degree,Directed,96443,,1,11141128.339736313
627,613,degree,Directed,96940,,1,7619149.8265061565
141,613,degree,Directed,97204,,1,9508110.489088878
63,613,degree,Directed,97239,,2,9508110.489088878
840,613,degree,Directed,97624,,1,9265627.595028488
41,613,degree,Directed,98845,,1,8025777.590688242
1045,613,degree,Directed,99911,,1,143394.14369521185
763,613,degree,Directed,100062,,1,9519324.13562555
884,613,degree,Directed,101249,,1,6213110.279149525
555,613,degree,Directed,101941,,1,9295236.070272502
890,613,degree,Directed,101991,,1,6424686.604825325
847,613,degree,Directed,102045,,2,10594485.82163219
466,613,degree,Directed,102179,,1,10359542.744555961
1039,613,degree,Directed,102661,,1,334977.08882602374
435,613,degree,Directed,102819,,1,7417315.132675818
167,613,degree,Directed,103174,,1,9289162.597145958
856,613,degree,Directed,104198,,1,5985719.679262036
543,613,degree,Directed,104531,,1,8644153.903423298
687,613,degree,Directed,104624,,1,6378316.429259225
109,613,degree,Directed,104713,,1,9508110.489088878
678,613,degree,Directed,105891,,1,6965453.674492698
474,613,degree,Directed,105914,,1,8765433.420658378
1008,613,degree,Directed,106058,,1,335315.14391466277
887,613,degree,Directed,106159,,1,1208870.564511108
493,613,degree,Directed,106355,,1,5464445.2942935815
815,613,degree,Directed,106588,,1,6242270.389991409
992,613,degree,Directed,106891,,1,1465602.7306201982
656,613,degree,Directed,107407,,1,960417.647680297
392,613,degree,Directed,107469,,1,9012867.036163876
677,613,degree,Directed,107547,,1,175377.17775367846
614,613,degree,Directed,107703,,1,0.0
1029,613,degree,Directed,107710,,1,75720.05201564396
813,613,degree,Directed,107719,,1,534260.0747006749
762,613,degree,Directed,108120,,1,9519324.13562555
518,613,degree,Directed,108463,,1,344156.1519024294
791,613,degree,Directed,108616,,1,6496329.879221626
608,613,degree,Directed,108914,,1,1322794.8509959134
