Source,Target,Kind,Type,Id,Label,Weight,distance
829,678,degree,Directed,103301,,1,4709715.1258536065
1039,678,degree,Directed,103362,,1,6728825.976537261
547,678,degree,Directed,103481,,1,4674629.8137125345
716,678,degree,Directed,103978,,1,749260.690906378
857,678,degree,Directed,104499,,1,1219499.9715528588
787,678,degree,Directed,104557,,1,6909918.052609105
998,678,degree,Directed,105141,,1,6792383.987288869
675,678,degree,Directed,105156,,1,7189510.905264491
890,678,degree,Directed,106290,,1,1269534.8234445855
48,678,degree,Directed,106338,,1,7045876.682435987
257,678,degree,Directed,107400,,1,7691983.229558149
7913,678,degree,Directed,107486,,1,2359194.4655617042
803,678,degree,Directed,107495,,1,6883168.459504049
640,678,degree,Directed,107538,,3,1584996.7197724232
612,678,degree,Directed,107659,,1,7069283.7342155175
544,678,degree,Directed,107661,,1,7132071.4754104605
941,678,degree,Directed,107741,,1,7880772.6641008295
954,678,degree,Directed,107828,,2,1551518.4299379291
1048,678,degree,Directed,107900,,1,7252189.6446042275
642,678,degree,Directed,108199,,1,6648259.179458697
185,678,degree,Directed,108305,,1,7193798.9851238215
1122,678,degree,Directed,108364,,1,7589162.860371676
878,678,degree,Directed,108689,,1,1710997.5476400594
