X,Y,id,nome,sigla
-52.252997473168861,-27.542207809318285,1,Sul,S
-45.483580762670456,-19.730012175225117,2,Sudeste,SE
-59.199124766032241,-4.603292804452683,3,Norte,N
-41.742753186913212,-8.624365109342701,4,Nordeste,NE
-54.305408301942968,-15.298172714728562,5,Centro-Oeste,CO
