"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"11";"3";"0";"0";"0"
"sudeste";"2";"192";"0";"1";"0"
"centro-oeste";"0";"0";"0";"0";"0"
"nordeste";"0";"0";"0";"2";"0"
"norte";"0";"1";"0";"0";"0"
""
