"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"16";"36";"0";"0";"0"
"sudeste";"4";"516";"2";"1";"2"
"centro-oeste";"0";"5";"0";"0";"0"
"nordeste";"0";"11";"0";"6";"0"
"norte";"1";"0";"0";"2";"4"
""
