"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"30";"20";"0";"2";"0"
"sudeste";"6";"676";"1";"3";"0"
"centro-oeste";"1";"9";"2";"1";"0"
"nordeste";"1";"24";"1";"11";"0"
"norte";"1";"5";"0";"0";"1"
""
