"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"123";"81";"2";"0";"1"
"sudeste";"23";"1436";"5";"2";"2"
"centro-oeste";"0";"20";"7";"0";"0"
"nordeste";"2";"79";"3";"15";"1"
"norte";"0";"10";"0";"0";"3"
""
