"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"1539";"400";"29";"21";"4"
"sudeste";"144";"5725";"63";"98";"30"
"centro-oeste";"15";"132";"292";"12";"4"
"nordeste";"35";"264";"20";"1039";"10"
"norte";"6";"73";"8";"24";"111"
""
