names,sul,sudeste,centro-oeste,nordeste,norte
sul,1082,305,6,18,8
sudeste,139,4638,39,60,12
centro-oeste,10,84,132,10,0
nordeste,30,209,9,500,4
norte,5,57,2,5,24
