"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"75";"77";"0";"0";"0"
"sudeste";"10";"1155";"3";"2";"4"
"centro-oeste";"1";"21";"10";"0";"0"
"nordeste";"2";"38";"0";"17";"1"
"norte";"0";"4";"0";"0";"3"
""
