"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"8";"32";"0";"0";"0"
"sudeste";"1";"510";"0";"0";"0"
"centro-oeste";"0";"10";"1";"0";"0"
"nordeste";"0";"18";"0";"3";"0"
"norte";"0";"3";"0";"0";"3"
""
