"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"30";"36";"1";"0";"1"
"sudeste";"5";"783";"1";"3";"1"
"centro-oeste";"0";"12";"0";"0";"1"
"nordeste";"0";"21";"0";"4";"0"
"norte";"0";"5";"0";"0";"3"
""
