names,sul,sudeste,centro-oeste,nordeste,norte
sul,1323,309,22,23,5
sudeste,135,5435,62,80,15
centro-oeste,16,99,212,10,1
nordeste,33,180,12,751,9
norte,12,44,3,7,67
