names,sul,sudeste,centro-oeste,nordeste,norte
sul,1191,332,15,19,3
sudeste,148,5249,59,74,18
centro-oeste,16,102,219,8,3
nordeste,30,196,12,634,3
norte,3,51,3,4,65
