"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"1756";"384";"24";"37";"9"
"sudeste";"158";"5984";"78";"97";"26"
"centro-oeste";"33";"137";"359";"16";"1"
"nordeste";"40";"264";"19";"1250";"16"
"norte";"10";"68";"10";"7";"157"
""
