"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"12";"26";"0";"0";"0"
"sudeste";"0";"394";"1";"3";"0"
"centro-oeste";"0";"4";"1";"0";"0"
"nordeste";"0";"11";"0";"2";"0"
"norte";"0";"2";"0";"0";"0"
""
