"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"220";"131";"4";"5";"1"
"sudeste";"60";"2356";"7";"16";"3"
"centro-oeste";"1";"41";"28";"0";"0"
"nordeste";"6";"102";"3";"80";"2"
"norte";"2";"6";"0";"2";"11"
""
