"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"1615";"364";"20";"28";"5"
"sudeste";"157";"5843";"74";"81";"20"
"centro-oeste";"16";"113";"302";"14";"5"
"nordeste";"25";"205";"20";"983";"12"
"norte";"7";"43";"7";"10";"98"
""
