"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"13";"16";"0";"0";"0"
"sudeste";"1";"360";"0";"0";"0"
"centro-oeste";"0";"3";"0";"0";"0"
"nordeste";"1";"10";"0";"1";"0"
"norte";"0";"2";"0";"0";"3"
""
