"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"727";"292";"11";"15";"3"
"sudeste";"126";"4127";"25";"37";"6"
"centro-oeste";"8";"96";"75";"4";"0"
"nordeste";"26";"203";"7";"281";"2"
"norte";"3";"30";"3";"4";"27"
""
