"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"43";"59";"0";"2";"0"
"sudeste";"13";"949";"1";"1";"0"
"centro-oeste";"0";"12";"5";"1";"0"
"nordeste";"2";"47";"1";"10";"0"
"norte";"0";"6";"0";"0";"3"
""
