"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"1459";"334";"14";"27";"3"
"sudeste";"146";"5706";"78";"84";"19"
"centro-oeste";"15";"105";"274";"7";"6"
"nordeste";"39";"199";"13";"846";"10"
"norte";"8";"44";"4";"6";"67"
""
