"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"1058";"343";"9";"13";"1"
"sudeste";"144";"4622";"38";"47";"12"
"centro-oeste";"3";"81";"124";"3";"1"
"nordeste";"37";"242";"11";"441";"3"
"norte";"4";"45";"3";"5";"31"
""
