"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"1195";"338";"9";"17";"3"
"sudeste";"124";"5088";"40";"59";"11"
"centro-oeste";"11";"113";"147";"4";"0"
"nordeste";"38";"234";"16";"580";"2"
"norte";"2";"42";"2";"3";"41"
""
