"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"79";"85";"0";"0";"0"
"sudeste";"16";"1114";"2";"1";"2"
"centro-oeste";"0";"19";"7";"0";"0"
"nordeste";"1";"44";"1";"8";"0"
"norte";"1";"3";"0";"0";"6"
""
